scenario_id,rule_id,split,initial_capital_yuan,final_equity_yuan,total_net_pnl_yuan,cumulative_return,ledger_days,mean_daily_return,median_daily_return,daily_win_rate,profit_factor,max_drawdown,avg_gross_exposure,max_gross_exposure,avg_active_positions,max_active_positions,avg_daily_turnover,annualized_turnover,total_traded_notional_yuan,total_cost_yuan,trades,avg_trade_fill_ratio,zero_fill_trades,partial_fill_trades,entry_blocked_trades,avg_net_trade_return_on_target,trade_win_rate,net_trade_pnl_yuan,exit_policy
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,research_holdout,1000000.0,1563083.6104199586,563083.6104199575,0.5630836104199586,332,0.0014054034526233446,0.0013239344580145643,0.5753012048192772,1.4261652933280091,-0.11654728289442606,0.7216659221861225,1.0521418196764794,98.81927710843374,108,0.28840659798361995,72.67846269187223,131763083.61041996,0.0,6560,1.0,0,0,0,0.00858359162225545,0.5596036585365853,563083.6104199575,delay_if_exit_blocked_max5
no_cost_full_fill_1m,low_stock_ret_60d,train,1000000.0,1744664.9627712746,744664.9627712772,0.7446649627712747,1159,0.0006644246685238986,0.0005263727550279797,0.5142364106988784,1.0858451727389145,-0.4483651056873891,0.84374223072664,1.6940551483122364,99.96289905090596,119,0.3361152226399967,84.70103610527917,462744664.9627713,0.0,23100,1.0,0,0,0,0.0032236578474947038,0.4618181818181818,744664.9627712766,delay_if_exit_blocked_max5
no_cost_full_fill_1m,low_stock_ret_60d,validation,1000000.0,1437405.616276679,437405.61627667834,0.43740561627667907,489,0.0010824468436880323,-0.0003820552311646985,0.49079754601226994,1.1128348707604063,-0.48481398613651716,0.9518126000179563,1.78943780725589,99.19427402862986,113,0.3797082855830239,95.68648796692202,194037405.61627668,0.0,9680,1.0,0,0,0,0.004518653060709488,0.4452479338842975,437405.6162766784,delay_if_exit_blocked_max5
no_cost_full_fill_1m,low_stock_ret_60d,research_holdout,1000000.0,1599528.159834534,599528.1598345332,0.5995281598345339,332,0.0015218200563304229,0.0011856363500568443,0.5331325301204819,1.295689346619365,-0.15520440775245348,0.7250306710007626,1.0696570603663393,99.02710843373494,117,0.2889201169444445,72.80786947000001,131799528.15983453,0.0,6560,1.0,0,0,0,0.009139148777965442,0.5038109756097561,599528.159834533,delay_if_exit_blocked_max5
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,1000000.0,798951.5581073797,-201048.44189262114,-0.20104844189262028,1159,-6.82675093296222e-05,0.00043474144750419575,0.5211389128559103,0.9652165264154089,-0.48887801885525295,1.0940873144209096,1.7367921665141672,99.72821397756687,120,0.4372215317529186,110.17982600173549,461494180.01814365,922988.3600362873,23100,0.997342511038961,13,142,13,-0.0008703395752927334,0.4604329004329004,-201048.4418926214,delay_if_exit_blocked_max5
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,1000000.0,1074154.9956433682,74154.99564336827,0.07415499564336825,488,0.0005087294422558551,-0.00047673984211586023,0.4774590163934426,1.0246276703374204,-0.5386879996270157,1.0825706025620576,2.0687787767305097,99.19262295081967,102,0.43300327888474854,109.11682627895664,191540243.58280897,383080.487165618,9680,0.9869990087809918,10,301,10,0.0007660640045802509,0.42541322314049584,74154.99564336828,delay_if_exit_blocked_max5
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,1000000.0,1299557.4431991195,299557.4431991177,0.2995574431991195,332,0.0008574361483236379,0.0007918042694792301,0.5271084337349398,1.2081245365297708,-0.12913367956032806,0.7888636150334413,1.0563932807548253,98.81927710843374,108,0.3152711266693492,79.448323920676,131763083.61041996,263526.1672208399,6560,1.0,0,0,0,0.004566424439010939,0.5129573170731707,299557.4431991176,delay_if_exit_blocked_max5
base_1m_5pct_signal_40bps,low_stock_ret_60d,train,1000000.0,816245.4793012767,-183754.520698723,-0.18375452069872322,1159,0.00021418769471866827,-0.0001873432530155535,0.49611734253666956,0.979855659009503,-0.6080376235919613,1.269004141092237,2.6152641646080794,99.96289905090596,119,0.505587183893863,127.40797034125349,462340927.33396924,924681.8546679385,23100,0.9991341991341991,20,0,20,-0.0007954741155788895,0.43857142857142856,-183754.52069872347,delay_if_exit_blocked_max5
base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,1000000.0,1052357.5918829734,52357.59188297449,0.05235759188297351,489,0.0007079967645279363,-0.0013420788085599172,0.4723926380368098,1.0128609381678946,-0.6644588243043843,1.1698012458472369,2.7868672651341053,99.19427402862986,113,0.46657433538760196,117.5767325176757,193940238.06801903,387880.4761360381,9680,0.9994834710743802,5,0,5,0.0005408842136670942,0.4240702479338843,52357.59188297471,delay_if_exit_blocked_max5
base_1m_5pct_signal_40bps,low_stock_ret_60d,research_holdout,1000000.0,1334348.8050349173,334348.8050349192,0.33434880503491726,332,0.0009899011526808739,0.000571188293645142,0.5150602409638554,1.1554538031927704,-0.16792396776490315,0.792178451007895,1.0740043929096028,99.02710843373494,117,0.31570095147273763,79.55663977112988,131717784.37378249,263435.568747565,6560,0.999390243902439,4,0,4,0.005096780564556688,0.4768292682926829,334348.80503491877,delay_if_exit_blocked_max5
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,1000000.0,-585530.9819470517,-1585530.9819470523,-1.5855309819470516,1159,-0.004429844700350881,-0.0005772836776954504,0.4926660914581536,0.7552362999544536,-1.5960328194150524,2.1113250260183833,722.3673828875463,99.72821397756687,120,0.8420309758490222,212.1918059139536,461494180.01814365,2307470.9000907186,23100,0.997342511038961,13,142,13,-0.006863770484619274,0.3978787878787879,-1585530.9819470523,delay_if_exit_blocked_max5
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,1000000.0,499534.2648949416,-500465.7351050587,-0.5004657351050584,488,0.00011548157114363505,-0.0020128829553729055,0.42213114754098363,0.8494169243203362,-0.8236873166793588,1.8192476445724852,5.490192336606099,99.19262295081967,102,0.727332427831663,183.28777181357907,191540243.58280897,957701.217914045,9680,0.9869990087809918,10,301,10,-0.005170100569267135,0.3693181818181818,-500465.73510505864,delay_if_exit_blocked_max5
