exit_policy,scenario_id,rule_id,split,month,ledger_days,start_equity_yuan,end_equity_yuan,monthly_return,net_pnl_yuan,total_cost_yuan,traded_notional_yuan,avg_exposure,max_exposure,avg_active_positions,max_drawdown_in_month,daily_win_rate
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202501,17,1000000.0,1021873.4902189553,0.021873490218955238,21873.490218955376,12075.47722167584,6037738.61083792,0.8739587443484775,1.0563932807548253,88.23529411764706,-0.031883828585890006,0.47058823529411764
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202502,18,1021873.4902189553,1139246.975706743,0.11486107293246084,117373.48548778819,14647.565115961988,7323782.557980994,0.9277680806081481,0.9974941771384658,100.0,-0.015813745669114643,0.6111111111111112
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202503,21,1139246.975706743,1154622.562722419,0.013496271961694228,15375.587015675757,16890.316933967213,8445158.466983607,0.860350437962127,0.8884766292677034,100.0,-0.04117953656660045,0.42857142857142855
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202504,21,1154622.562722419,1186052.8024972898,0.027221224311400283,31430.23977487074,16839.596656740145,8419798.328370072,0.8810345334662322,0.9437544713106721,100.28571428571429,-0.10860450285713918,0.6190476190476191
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202505,19,1186052.8024972898,1211328.1733195279,0.0213104937394184,25275.370822238147,15327.226867096419,7663613.43354821,0.8281176773713852,0.8764320226955572,100.05263157894737,-0.023893897242502238,0.47368421052631576
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202506,20,1211328.1733195279,1249592.8116488338,0.03158899394244696,38264.638329305526,16086.145359594539,8043072.6797972685,0.8212420257561576,0.8452609716531131,100.0,-0.03063962062565695,0.65
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202507,23,1249592.8116488338,1283864.5729324245,0.02742634317683801,34271.761283589956,18555.304869692587,9277652.434846291,0.7892432062642925,0.8103468434766463,100.0,-0.022327803482572683,0.6956521739130435
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202508,21,1283864.5729324245,1323080.2561978216,0.030545031066498085,39215.68326539726,16884.16207875512,8442081.039377559,0.7659731901439221,0.7807515194188772,100.0,-0.01792113427905906,0.7142857142857143
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202509,22,1323080.2561978216,1293273.55723729,-0.022528262228164397,-29806.69896053141,17571.48213392035,8785741.066960176,0.759296516720915,0.7732731793520863,100.0,-0.03430556389295947,0.4090909090909091
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202510,17,1293273.55723729,1345314.3883767566,0.0402396158556253,52040.83113946613,13676.71804382751,6838359.021913756,0.7730171725122054,0.7955612432973557,100.0,-0.02484702110801551,0.5294117647058824
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202511,20,1345314.3883767566,1317735.6971274295,-0.020499811410330082,-27578.691249326974,16023.748226911175,8011874.113455587,0.7483585838060907,0.7693725648059447,100.0,-0.05041477573833031,0.5
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202512,23,1317735.6971274295,1315005.3140466514,-0.002072026345442568,-2730.3830807787303,18435.85315932961,9217926.579664804,0.7638323904522717,0.7782075260649028,100.0,-0.03590856674027021,0.4782608695652174
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202601,20,1315005.3140466514,1399905.8559562617,0.06456288883605099,84900.54190961005,16207.288731769728,8103644.365884865,0.7378239491924609,0.7803765616282562,100.0,-0.01324039043825087,0.7
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202602,14,1399905.8559562617,1405487.5571375543,0.00398719753727983,5581.70118129246,11235.36335386008,5617681.67693004,0.7143994863314717,0.7277363992319228,100.0,-0.007797966485062258,0.42857142857142855
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202603,22,1405487.5571375543,1285195.749657329,-0.08558724470333567,-120291.80748022565,17398.420380528572,8699210.190264286,0.7319716111020718,0.7746296923312379,100.0,-0.08275060803047418,0.3181818181818182
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202604,21,1285195.749657329,1346029.219144246,0.0473340107941822,60833.46948691729,16923.204763923393,8461602.381961696,0.7624180571205327,0.8074902873134563,99.95238095238095,-0.027787488082769207,0.5238095238095238
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,202605,13,1346029.219144246,1299557.4431991195,-0.03452508703687096,-46471.77594512642,8748.293323285645,4374146.661642822,0.6250804746613368,0.7601073096134511,84.76923076923077,-0.05599968109953812,0.3076923076923077
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,201804,16,1000000.0,953974.1390062168,-0.04602586099378325,-46025.86099378341,11142.097788100764,5571048.894050382,0.8878000213388905,1.060622486866688,87.5,-0.05890232831623843,0.4375
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,201805,22,953974.1390062168,931220.6949503972,-0.023851216846949796,-22753.444055819775,17616.701133826286,8808350.566913143,1.0244034946097729,1.0639126650186952,100.04545454545455,-0.078088211703364,0.45454545454545453
