trade_id,rule_id,split,trade_date,ts_code,industry,original_exit_date,exit_suspend_flag_5d,exit_limit_down_close_flag_5d,resolved,unresolved,delay_days,delayed_exit_date,original_return,delayed_return,return_delta
113,combo_low_liquidity_weak_momentum,train,20180412,600397.SH,专用机械,20180419,True,False,True,False,1.0,20180420,-0.030303030303030387,-0.022727272727272818,0.007575757575757569
412,combo_low_liquidity_weak_momentum,train,20180507,002199.SZ,元器件,20180514,False,True,True,False,1.0,20180515,-0.12420886075949378,-0.17484177215189878,-0.050632911392405
900,combo_low_liquidity_weak_momentum,train,20180611,600234.SH,装修装饰,20180619,False,True,True,False,2.0,20180621,-0.10000000000000009,-0.16941176470588237,-0.06941176470588228
905,combo_low_liquidity_weak_momentum,train,20180611,000722.SZ,水力发电,20180619,False,True,True,False,1.0,20180620,-0.11948790896159311,-0.11664295874822184,0.002844950213371278
906,combo_low_liquidity_weak_momentum,train,20180611,600556.SH,互联网,20180619,False,True,True,False,1.0,20180620,-0.06363636363636371,-0.1000000000000002,-0.03636363636363649
907,combo_low_liquidity_weak_momentum,train,20180611,002058.SZ,电气设备,20180619,False,True,True,False,1.0,20180620,-0.1657370517928286,-0.20318725099601598,-0.03745019920318737
909,combo_low_liquidity_weak_momentum,train,20180611,000518.SZ,生物制药,20180619,False,True,True,False,1.0,20180620,-0.16179337231968804,-0.17543859649122784,-0.013645224171539794
911,combo_low_liquidity_weak_momentum,train,20180611,600620.SH,综合类,20180619,False,True,True,False,1.0,20180620,-0.11954992967651201,-0.19549929676511957,-0.07594936708860756
912,combo_low_liquidity_weak_momentum,train,20180611,600829.SH,医药商业,20180619,False,True,True,False,1.0,20180620,-0.12286689419795216,-0.14220705346985207,-0.019340159271899915
913,combo_low_liquidity_weak_momentum,train,20180611,002730.SZ,专用机械,20180619,False,True,True,False,1.0,20180620,-0.11440677966101698,-0.11864406779661008,-0.004237288135593098
