exit_policy,scenario_id,rule_id,split,months,positive_months,negative_months,monthly_win_rate,mean_monthly_return,median_monthly_return,best_month_return,worst_month_return,longest_negative_month_streak,avg_monthly_turnover
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,17,12,5,0.7058823529411765,0.016425541332276864,0.021873490218955238,0.11486107293246084,-0.08558724470333567,2,6.24049215029922
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,58,26,32,0.4482758620689655,-0.0005511259121832763,-0.008593610725471212,0.2864995892834632,-0.23631117755090458,4,8.782113648326767
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,25,11,14,0.44,0.009272200026816715,-0.010580848869612414,0.3703692614348597,-0.26929335312540614,3,8.343786283225946
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,low_stock_ret_60d,research_holdout,17,10,7,0.5882352941176471,0.01977428167467073,0.010318278926505942,0.2502783208147119,-0.09686851071456326,2,6.2958719115310045
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,low_stock_ret_60d,train,58,28,30,0.4827586206896552,0.009132030645451176,-0.012251636954610956,0.8677067613513847,-0.3194154431200368,5,10.256095292888505
delay_if_exit_blocked_max5,base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,25,11,14,0.44,0.014172734064383068,-0.009676345910040185,0.48452163879103294,-0.34823562718335377,4,8.984859698226494
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,research_holdout,17,10,7,0.5882352941176471,-0.004602816019051979,0.0037602743864415533,0.0950447434992987,-0.13620115778326813,2,7.286286325991214
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,58,23,35,0.39655172413793105,0.04493723906038263,-0.04953728801717966,5.162748025154423,-2.952724145373179,8,-6.989640835468509
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,25,11,14,0.44,-0.005094850873754977,-0.04028420399287369,0.9258705528443365,-0.417985996474479,3,13.348498132854541
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,17,9,8,0.5294117647058824,-0.00042754417727443886,5.661766212505803e-05,0.231488870366501,-0.14823613176858463,2,7.332350570015942
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,58,23,35,0.39655172413793105,0.06746954555948718,-0.04122726728027476,6.9465233260511665,-8.698613671355535,7,8.352095575747908
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,validation,25,8,17,0.32,0.018471469004644792,-0.048585119725870984,1.0426874100321095,-0.5670937484167815,9,15.309037731660458
delay_if_exit_blocked_max5,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,research_holdout,17,13,4,0.7647058823529411,0.027400744539832798,0.03394896744063125,0.12768623477669894,-0.06328225288409306,1,5.739939818437158
delay_if_exit_blocked_max5,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,58,32,26,0.5517241379310345,0.010937043316221213,0.0075738070014165215,0.24962418755626148,-0.12388671614393165,4,6.1280111332002285
delay_if_exit_blocked_max5,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,validation,25,13,12,0.52,0.019201480147455676,0.005620777635540586,0.2725258572791689,-0.20832953114846553,3,6.991468956529251
delay_if_exit_blocked_max5,no_cost_full_fill_1m,low_stock_ret_60d,research_holdout,17,11,6,0.6470588235294118,0.030462773861680725,0.01438130103125701,0.26242010513172875,-0.07376671471465712,2,5.794677667626117
delay_if_exit_blocked_max5,no_cost_full_fill_1m,low_stock_ret_60d,train,58,30,28,0.5172413793103449,0.015942106515966673,0.004737253581058032,0.6427932390569524,-0.23396600406265522,5,6.829741403411174
delay_if_exit_blocked_max5,no_cost_full_fill_1m,low_stock_ret_60d,validation,25,15,10,0.6,0.021718359340992848,0.007891148792047886,0.36942972924536255,-0.2685891444936723,3,7.388791662473128
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,17,12,5,0.7058823529411765,0.01612182987240902,0.021727149670999868,0.11418923981481122,-0.08556120621109131,2,6.2408935351599055
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,58,28,30,0.4827586206896552,0.0003333069261708801,-0.005939839413058257,0.27102928667664994,-0.14356074142742792,4,7.599621727410369
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,25,12,13,0.48,0.004773261676612121,-0.0017443770974290285,0.3361207088430824,-0.28418988730879635,3,6.597321627417808
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,low_stock_ret_60d,research_holdout,17,10,7,0.5882352941176471,0.01956466896058874,0.010354400811140474,0.2502783208147117,-0.09717489519779621,2,6.299111924941918
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,58,28,30,0.4827586206896552,0.008493231112078356,-0.014387909404718124,0.8676462018081466,-0.319400270614976,5,10.417131470173336
delay_if_exit_blocked_max5,strict_5m_1pct_signal_40bps,low_stock_ret_60d,validation,25,11,14,0.44,0.01466758586710498,-0.009596469148738351,0.4799743191022998,-0.3460985124620042,4,8.849347617146655
planned_t5_close,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,17,12,5,0.7058823529411765,0.016534280258546093,0.021873490218955238,0.11486107293246084,-0.08548478088372424,2,6.2346681399329436
planned_t5_close,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,58,27,31,0.46551724137931033,-0.00027627927088820075,-0.008554464934494965,0.284408608915244,-0.23098147884348563,4,8.664605487381978
planned_t5_close,base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,25,11,14,0.44,0.009263693595516341,-0.010580848869612414,0.3706621633802454,-0.26929335312540614,3,8.345756036093041
planned_t5_close,base_1m_5pct_signal_40bps,low_stock_ret_60d,research_holdout,17,11,6,0.6470588235294118,0.02193594590452046,0.02180723942042362,0.25009213871519065,-0.09467438769714032,2,6.204110280216728
planned_t5_close,base_1m_5pct_signal_40bps,low_stock_ret_60d,train,58,28,30,0.4827586206896552,0.009931510585382974,-0.009199669136316091,0.8227891468744684,-0.2972343083947626,5,9.341598404887081
planned_t5_close,base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,25,11,14,0.44,0.015184381630156047,-0.009571766750755661,0.4716369443277717,-0.3445528682639297,4,8.803280859776793
planned_t5_close,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,research_holdout,17,10,7,0.5882352941176471,-0.004452542030663077,0.0037602743864415533,0.0950447434992987,-0.13598864992177517,2,7.27764461213303
