scenario_id,rule_id,split,cumulative_return_planned,max_drawdown_planned,profit_factor_planned,daily_win_rate_planned,trade_win_rate_planned,total_net_pnl_yuan_planned,total_cost_yuan_planned,avg_trade_fill_ratio_planned,zero_fill_trades_planned,partial_fill_trades_planned,cumulative_return_delayed,max_drawdown_delayed,profit_factor_delayed,daily_win_rate_delayed,trade_win_rate_delayed,total_net_pnl_yuan_delayed,total_cost_yuan_delayed,avg_trade_fill_ratio_delayed,zero_fill_trades_delayed,partial_fill_trades_delayed,cumulative_return_delta,max_drawdown_delta,profit_factor_delta,daily_win_rate_delta,trade_win_rate_delta,total_net_pnl_yuan_delta,total_cost_yuan_delta,avg_trade_fill_ratio_delta,zero_fill_trades_delta,partial_fill_trades_delta
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,0.3019711049178371,-0.12925501565158082,1.2098243356469613,0.5271084337349398,0.5129573170731707,301971.1049178355,263531.00421827217,1.0,0,0,0.2995574431991195,-0.12913367956032806,1.2081245365297708,0.5271084337349398,0.5129573170731707,299557.4431991177,263526.1672208399,1.0,0,0,-0.002413661718717597,0.00012133609125275502,-0.0016997991171905369,0.0,0.0,-2413.6617187177762,-4.8369974322849885,0.0,0,0
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,-0.18243904095923236,-0.4805662470344282,0.9683493767730051,0.5220017256255393,0.46056277056277056,-182439.04095923348,923025.6534249315,0.997342511038961,13,142,-0.20104844189262028,-0.48887801885525295,0.9652165264154089,0.5211389128559103,0.4604329004329004,-201048.44189262114,922988.3600362873,0.997342511038961,13,142,-0.01860940093338792,-0.008311771820824765,-0.0031328503575962507,-0.0008628127696289623,-0.00012987012987014657,-18609.40093338766,-37.29338864411693,0.0,0,0
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,0.07380027422865543,-0.5389480542654719,1.0245095884635298,0.4774590163934426,0.42541322314049584,73800.27422865601,383079.77630105946,0.9869990087809918,10,301,0.07415499564336825,-0.5386879996270157,1.0246276703374204,0.4774590163934426,0.42541322314049584,74154.99564336827,383080.487165618,0.9869990087809918,10,301,0.0003547214147128219,0.00026005463845613086,0.00011808187389061864,0.0,0.0,354.7214147122577,0.7108645585249178,0.0,0,0
base_1m_5pct_signal_40bps,low_stock_ret_60d,research_holdout,0.38590163165965974,-0.164538335503417,1.1818307734181837,0.5210843373493976,0.4774390243902439,385901.63165966,263538.8810253701,0.999390243902439,4,0,0.33434880503491726,-0.16792396776490315,1.1554538031927704,0.5150602409638554,0.4768292682926829,334348.8050349192,263435.568747565,0.999390243902439,4,0,-0.051552826624742476,-0.003385632261486138,-0.0263769702254133,-0.006024096385542244,-0.0006097560975609762,-51552.82662474085,-103.31227780511836,0.0,0,0
base_1m_5pct_signal_40bps,low_stock_ret_60d,train,-0.04161435668067848,-0.5777233247553013,0.9953920499598418,0.5004314063848145,0.43883116883116885,-41614.35668067867,924966.7046960307,0.9991341991341991,20,0,-0.18375452069872322,-0.6080376235919613,0.979855659009503,0.49611734253666956,0.43857142857142856,-183754.520698723,924681.8546679385,0.9991341991341991,20,0,-0.14214016401804475,-0.030314298836660036,-0.015536390950338763,-0.004314063848144978,-0.00025974025974029313,-142140.16401804434,-284.850028092158,0.0,0,0
base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,0.10000594587662626,-0.6556074875706877,1.0247529125310775,0.4733606557377049,0.4243801652892562,100005.94587662729,387975.963819392,0.9994834710743802,5,0,0.05235759188297351,-0.6644588243043843,1.0128609381678946,0.4723926380368098,0.4240702479338843,52357.59188297449,387880.4761360381,0.9994834710743802,5,0,-0.04764835399365275,-0.008851336733696646,-0.0118919743631829,-0.0009680177008951074,-0.00030991735537189147,-47648.353993652796,-95.48768335394561,0.0,0,0
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,research_holdout,-0.09332540140957435,-0.21585824527281938,0.9427256809821529,0.4939759036144578,0.4410060975609756,-93325.4014095728,658827.5105456805,1.0,0,0,-0.09573180763214362,-0.2168017674211652,0.9412465128377574,0.4939759036144578,0.4410060975609756,-95731.80763214215,658815.4180520999,1.0,0,0,-0.0024064062225692684,-0.00094352214834581,-0.0014791681443955262,0.0,0.0,-2406.4062225693488,-12.092493580654263,0.0,0,0
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,train,-1.5669775210966301,-1.5775929641660609,0.7575287305347788,0.48748921484037966,0.39796536796536797,-1566977.5210966307,2307564.1335623283,0.997342511038961,13,142,-1.5855309819470516,-1.5960328194150524,0.7552362999544536,0.4926660914581536,0.3978787878787879,-1585530.9819470523,2307470.9000907186,0.997342511038961,13,142,-0.01855346085042142,-0.0184398552489915,-0.0022924305803251332,0.00517687661777394,-8.658008658007921e-05,-18553.460850421572,-93.23347160965204,0.0,0,0
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,-0.5008193902229325,-0.8239502947008938,0.8493153446688428,0.42213114754098363,0.3693181818181818,-500819.39022293314,957699.4407526486,0.9869990087809918,10,301,-0.5004657351050584,-0.8236873166793588,0.8494169243203362,0.42213114754098363,0.3693181818181818,-500465.7351050587,957701.217914045,0.9869990087809918,10,301,0.00035365511787410764,0.0002629780215349653,0.00010157965149337755,0.0,0.0,353.6551178744412,1.7771613963413984,0.0,0,0
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,-0.009406689878394547,-0.19578769293614895,0.9959342042429851,0.4939759036144578,0.4336890243902439,-9406.689878394973,658847.2025634252,0.999390243902439,4,0,-0.06080454808642832,-0.22299968405024606,0.9740655074539869,0.48493975903614456,0.4329268292682927,-60804.548086428345,658588.9218689124,0.999390243902439,4,0,-0.051397858208033775,-0.02721199111409711,-0.021868696788998165,-0.009036144578313254,-0.0007621951219512479,-51397.85820803337,-258.2806945127668,0.0,0,0
