group_id,strategy_id,regime_id,scenario_id,matched_day_count,random_runs,actual_cumulative_return,random_cumulative_return_mean,random_cumulative_return_median,random_cumulative_return_p05,random_cumulative_return_p95,random_cumulative_return_min,random_cumulative_return_max,actual_percentile_vs_random,random_max_drawdown_mean,random_max_drawdown_p05,random_max_drawdown_p95
S2_U3_filter_only_no_refill__R2_market_down,S2_U3_filter_only_no_refill,R2_market_down,10bp_one_way_slippage,29,1000,0.0728444071435339,0.11053694125504035,0.10531191217096336,-0.04564422139065649,0.28435077841784673,-0.16527582196005175,0.4456561950200133,0.374,-0.0814577205273045,-0.1423661307679683,-0.04008563616884548
S2_U3_filter_only_no_refill__R2_market_down,S2_U3_filter_only_no_refill,R2_market_down,10bp_slippage_plus_impact,29,1000,0.0701863514301504,0.10556842196918374,0.10089465627937044,-0.05137611216724706,0.27904183022509377,-0.15165011831580744,0.5147608956200105,0.388,-0.08244886850287464,-0.1389818852627199,-0.0393875098101224
S2_U3_filter_only_no_refill__R3_low_tail_vol,S2_U3_filter_only_no_refill,R3_low_tail_vol,5bp_one_way_slippage,29,1000,0.03487250581747392,0.1346296523822348,0.1296818270637473,-0.02254066628008982,0.30243050149236905,-0.11852578540364966,0.4746341822666127,0.162,-0.07744732797965324,-0.13325915453624526,-0.03643635591380627
S2_U3_filter_only_no_refill__R3_low_tail_vol,S2_U3_filter_only_no_refill,R3_low_tail_vol,10bp_one_way_slippage,29,1000,0.007297943002919638,0.11160050636857621,0.10236860609638232,-0.05030725198208195,0.2833961015969051,-0.17055669700123022,0.42439024664748093,0.157,-0.08287897073384656,-0.1470255503582828,-0.03802039286233164
S2_U3_filter_only_no_refill__R3_low_tail_vol,S2_U3_filter_only_no_refill,R3_low_tail_vol,10bp_slippage_plus_impact,29,1000,0.0033362857409580116,0.09966740371519169,0.09199051452037088,-0.054482391899132995,0.2763878568095135,-0.1637247287795287,0.47218606251210216,0.157,-0.08332596591444658,-0.14492055543034585,-0.03938750981012251
S2_U3_filter_only_no_refill__R4_tail_breadth_Q2,S2_U3_filter_only_no_refill,R4_tail_breadth_Q2,5bp_one_way_slippage,11,1000,0.24253426504988673,0.05153528297496024,0.04860582494577026,-0.06489909580023547,0.17849200733654666,-0.12730426810420103,0.3382442942672519,0.992,-0.04448309057327932,-0.09164795384982657,-0.01279114812158777
S2_U3_filter_only_no_refill__R4_tail_breadth_Q2,S2_U3_filter_only_no_refill,R4_tail_breadth_Q2,10bp_one_way_slippage,11,1000,0.22893788472909327,0.043083998867702464,0.03712733598454421,-0.07351811403860113,0.17175529267083986,-0.163559724073859,0.29906717549471473,0.99,-0.047639137389557745,-0.10002910605962193,-0.013239902221201305
S2_U3_filter_only_no_refill__R4_tail_breadth_Q2,S2_U3_filter_only_no_refill,R4_tail_breadth_Q2,10bp_slippage_plus_impact,11,1000,0.2274602949689466,0.04040769994972449,0.03339861275644673,-0.06701653191525209,0.16679729403854923,-0.19953286817805826,0.29034504853385856,0.992,-0.04745005601790294,-0.1001708308070435,-0.013296956992318143
S2_U3_filter_only_no_refill__R5_tail_ret_median_Q2,S2_U3_filter_only_no_refill,R5_tail_ret_median_Q2,5bp_one_way_slippage,11,1000,0.054198719986619626,0.051130802017318226,0.04571935717654685,-0.062284247238315264,0.17888923595588596,-0.1602040307939453,0.3273012859690563,0.53,-0.04375101646550215,-0.09289527984401923,-0.010537883188365477
S2_U3_filter_only_no_refill__R5_tail_ret_median_Q2,S2_U3_filter_only_no_refill,R5_tail_ret_median_Q2,10bp_one_way_slippage,11,1000,0.04266319365644122,0.03871842960792508,0.03619349521519566,-0.07410870920517323,0.17126221146567575,-0.14160649490935917,0.3269176998650585,0.529,-0.04749382856558522,-0.09989246702349931,-0.01320401828649787
S2_U3_filter_only_no_refill__R5_tail_ret_median_Q2,S2_U3_filter_only_no_refill,R5_tail_ret_median_Q2,10bp_slippage_plus_impact,11,1000,0.041411498520246726,0.03827602916617232,0.03205517987490747,-0.07187133564243624,0.16879911526800087,-0.17516418740192408,0.3044296018163002,0.549,-0.04847865236694697,-0.10072419998301664,-0.013296956992318254
S2_U3_filter_only_no_refill__R6_market_dispersion_Q1_low,S2_U3_filter_only_no_refill,R6_market_dispersion_Q1_low,5bp_one_way_slippage,12,1000,0.08147077379627299,0.053734716425750784,0.04858945682195559,-0.059423759739744154,0.19275441711872804,-0.1570203973710559,0.32442777722205896,0.673,-0.04747641726657073,-0.0937967700629507,-0.01316089333629078
S2_U3_filter_only_no_refill__R6_market_dispersion_Q1_low,S2_U3_filter_only_no_refill,R6_market_dispersion_Q1_low,10bp_one_way_slippage,12,1000,0.06963682413391403,0.04368368207050741,0.04113623864532312,-0.06863308434411958,0.17326222326098958,-0.13108811109660978,0.30096047025431827,0.653,-0.049346446643476295,-0.09754709292650297,-0.014201227612392953
S2_U3_filter_only_no_refill__R6_market_dispersion_Q1_low,S2_U3_filter_only_no_refill,R6_market_dispersion_Q1_low,10bp_slippage_plus_impact,12,1000,0.06773553826932743,0.04038940584866478,0.03650390694544281,-0.07327861082010574,0.17783831561931943,-0.14970190238902814,0.28126235431985136,0.675,-0.05133957782244225,-0.10094306603183076,-0.014719442950760315
