scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,group_id,group_type,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99,min_filled_notional_return,strategy_id,strategy_name,regime_id,regime_side,regime_field,regime_value,regime_description,gate_day_count,no_trade_days,active_trade_days,zero_holding_gate_days,avg_daily_holdings,avg_daily_holdings_all_legacy_days,actual_percentile_vs_random,random_cumulative_return_p95,random_cumulative_return_mean,base_strategy_max_drawdown,base_strategy_cumulative_return,base_strategy_profit_factor,condition_positive_10bp_impact,condition_pf_gt_105,condition_trade_days_ge_20,condition_drop_top3_not_materially_negative,condition_random_percentile_gt_90,condition_random_percentile_gt_95,drawdown_delta_vs_base,condition_drawdown_not_materially_worse_than_base,condition_avg_daily_holdings_ge_2,screen_pass_count,candidate_status
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.18853395204260393,0.007867163631150979,0.5087719298245614,0.5217391304347826,-0.06780614746025959,1.5613829701406778,0.4495073891625615,57,23,2.4782608695652173,1.0,0,0,20260429,0.09385402214144478,20260402,-0.053455811306316214,0.08655627532072674,0.012926364782142263,-0.03785763005523468,57,0,0,0,0,20260309,20260402,9,S2_U3_filter_only_no_refill__R1_tail_down,R0_market_regime_gate,0.0010557993102885425,0.006577243573008535,0.015668606215214494,-0.073378862732145,S2_U3_filter_only_no_refill,"S2: U3 filter-only, no refill",R1_tail_down,positive_diagnostic,tail_direction,tail_down,market_tail_ret_median < 0,23,35,18,5,2.4782608695652173,0.9827586206896551,0.868,0.2538785030612458,0.08309692115965174,-0.10239983869118807,0.21197039081344515,1.1003689351725896,True,True,True,True,False,False,0.03459369123092848,True,True,6,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.02084143252120163,0.0007903850007276906,0.46206896551724136,0.4827586206896552,-0.04887237743768924,1.089345354621465,0.5211226851851851,290,29,10.0,1.0,0,0,20260309,0.023710527469023156,20260320,-0.033128116696921006,-0.0028026428085238253,-0.041521578509530865,-0.07229727934186914,290,0,0,0,0,20260417,20260518,9,S0_v7_original_top10__R2_market_down,R0_market_regime_gate,0.0048251010736759135,0.014724554439467767,0.0450902322851383,-0.09014183482235782,S0_v7_original_top10,S0: v7 original Top10,R2_market_down,positive_diagnostic,market_direction,market_down,market_ret_median_1450 < 0,29,29,29,0,10.0,5.0,0.712,0.08361419552970978,-0.005148079591872357,-0.07516067028871343,-0.013778899874267725,0.9836220614972012,True,True,True,False,False,False,0.026288292851024186,True,True,5,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.01589500795562504,0.0006031002647540577,0.42758620689655175,0.5172413793103449,-0.04636158785793476,1.0723142481497387,0.47537177016945803,290,29,10.0,1.0,0,0,20260407,0.030104859907573923,20260402,-0.021260081516785222,-0.013794568402700436,-0.038680298912399214,-0.0576431808922685,290,0,0,0,0,20260226,20260402,13,S0_v7_original_top10__R3_low_tail_vol,R0_market_regime_gate,0.005731125535302918,0.01850467608535513,0.050286345217498286,-0.073378862732145,S0_v7_original_top10,S0: v7 original Top10,R3_low_tail_vol,positive_diagnostic,tail_vol_regime,low_tail_vol,market_tail_vol_proxy below validation median,29,29,29,0,10.0,5.0,0.684,0.07831677334306707,-0.007216227537668636,-0.07516067028871343,-0.013778899874267725,0.9836220614972012,True,True,True,False,False,False,0.028799082430778666,True,True,5,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.13248537434047902,0.004650643925162863,0.40816326530612246,0.5517241379310345,-0.09330085482752803,0.9572916578606502,0.525858322468492,98,29,3.3793103448275863,1.0,0,0,20260429,0.09385402214144478,20260506,-0.028983784346924613,0.035316734607242495,-0.05349073559926265,-0.10559147641904687,98,0,0,0,0,20260225,20260327,10,S2_U3_filter_only_no_refill__C2_market_up,R0_market_regime_gate,0.0015561465898809147,0.008911788845517247,0.02396268350962028,-0.07062030179147338,S2_U3_filter_only_no_refill,"S2: U3 filter-only, no refill",C2_market_up,negative_control,market_direction,market_up,market_ret_median_1450 >= 0,29,29,28,1,3.3793103448275863,1.6896551724137931,0.63,0.2711988843621828,0.1017090163288199,-0.10239983869118807,0.21197039081344515,1.1003689351725896,True,False,True,False,False,False,0.009098983863660037,True,True,4,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.04728009242112319,0.0017676719766550545,0.41566265060240964,0.4827586206896552,-0.07136298116887818,0.8814624028002473,0.5499999999999999,166,29,5.724137931034483,1.0,0,0,20260414,0.046568041140218064,20260306,-0.03542416177407515,0.0006803678814126801,-0.06504888883926108,-0.10722873501241914,166,0,0,0,0,20260225,20260327,10,S1_U2_filter_only_no_refill__C2_market_up,R0_market_regime_gate,0.0028433657223143356,0.011086806022675776,0.03103778015044884,-0.07062030179147338,S1_U2_filter_only_no_refill,"S1: U2 filter-only, no refill",C2_market_up,negative_control,market_direction,market_up,market_ret_median_1450 >= 0,29,29,29,0,5.724137931034483,2.8620689655172415,0.604,0.15211609871767806,0.03207757689553876,-0.07013401001765451,0.06306922419504435,1.0223623010717215,True,False,True,False,False,False,-0.0012289711512236678,True,True,4,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.020283552141551642,0.000797349661118325,0.45454545454545453,0.4827586206896552,-0.07009695260570892,1.1544808490833616,0.46520310633213857,165,29,5.689655172413793,1.0,0,0,20260407,0.032413570216882126,20260402,-0.027004263910243465,-0.011749185041012744,-0.058588272770255245,-0.09165342296067513,165,0,0,0,0,20260226,20260403,14,S1_U2_filter_only_no_refill__R3_low_tail_vol,R0_market_regime_gate,0.0035326247655995202,0.01564318868645704,0.047758903108378735,-0.073378862732145,S1_U2_filter_only_no_refill,"S1: U2 filter-only, no refill",R3_low_tail_vol,positive_diagnostic,tail_vol_regime,low_tail_vol,market_tail_vol_proxy below validation median,29,29,29,0,5.689655172413793,2.8448275862068964,0.436,0.14354867052976694,0.0335489893192603,-0.07013401001765451,0.06306922419504435,1.0223623010717215,True,True,True,False,False,False,3.705741194559575e-05,True,True,5,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.0150763218819705,0.0006473101995158753,0.4585987261146497,0.5517241379310345,-0.06182410766163993,1.1915709468772537,0.5507246376811594,157,29,5.413793103448276,1.0,0,0,20260309,0.028669755864734674,20260512,-0.039387509810122456,-0.013214575334079548,-0.06002714136924958,-0.09315872318007123,157,0,0,0,0,20260417,20260518,9,S1_U2_filter_only_no_refill__R2_market_down,R0_market_regime_gate,0.0017123745086341348,0.009099381847126725,0.03371192420454285,-0.073378862732145,S1_U2_filter_only_no_refill,"S1: U2 filter-only, no refill",R2_market_down,positive_diagnostic,market_direction,market_down,market_ret_median_1450 < 0,29,29,29,0,5.413793103448276,2.706896551724138,0.426,0.14813654454314834,0.03107715888218387,-0.07013401001765451,0.06306922419504435,1.0223623010717215,True,True,True,False,False,False,0.008309902356014587,True,True,5,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.0701863514301504,0.002538701870377355,0.45161290322580644,0.41379310344827586,-0.07538782221763185,1.2525839012657891,0.5270774976657329,93,29,3.206896551724138,1.0,0,0,20260309,0.04027950261203017,20260402,-0.053455811306316214,0.028748859073957744,-0.038109994517382284,-0.08217864574400013,93,0,0,0,0,20260309,20260409,13,S2_U3_filter_only_no_refill__R2_market_down,R0_market_regime_gate,0.0007868804988192858,0.0036336808330632215,0.02524380969074496,-0.073378862732145,S2_U3_filter_only_no_refill,"S2: U3 filter-only, no refill",R2_market_down,positive_diagnostic,market_direction,market_down,market_ret_median_1450 < 0,29,29,23,6,3.206896551724138,1.603448275862069,0.388,0.27904183022509377,0.10556842196918374,-0.10239983869118807,0.21197039081344515,1.1003689351725896,True,True,True,False,False,False,0.027012016473556222,True,True,5,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.03391352593317676,-0.001093743881375782,0.40344827586206894,0.41379310344827586,-0.06392565594389576,0.8869632955690651,0.5492475715939403,290,29,10.0,1.0,0,0,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.06214744569450403,-0.09762034910703077,-0.12113495168377908,290,0,0,0,0,20260225,20260327,10,S0_v7_original_top10__C2_market_up,R0_market_regime_gate,0.005283184046716485,0.01556645472998042,0.03758660617633042,-0.07062030179147338,S0_v7_original_top10,S0: v7 original Top10,C2_market_up,negative_control,market_direction,market_up,market_ret_median_1450 >= 0,29,29,29,0,10.0,5.0,0.281,0.07507586875759885,-0.0046655155418325175,-0.07516067028871343,-0.013778899874267725,0.9836220614972012,False,False,True,False,False,False,0.011235014344817662,True,True,3,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.0033362857409580116,0.0004219355746203922,0.4157303370786517,0.4482758620689655,-0.12791929322676598,1.0860618312518382,0.4261954261954262,89,29,3.0689655172413794,1.0,0,0,20260429,0.09385402214144478,20260402,-0.053455811306316214,-0.08275120314800277,-0.1301062802719869,-0.16716733987000654,89,0,0,0,0,20260310,20260402,12,S2_U3_filter_only_no_refill__R3_low_tail_vol,R0_market_regime_gate,0.001773604053891314,0.011174080903418947,0.06143554324760705,-0.073378862732145,S2_U3_filter_only_no_refill,"S2: U3 filter-only, no refill",R3_low_tail_vol,positive_diagnostic,tail_vol_regime,low_tail_vol,market_tail_vol_proxy below validation median,29,29,27,2,3.0689655172413794,1.5344827586206897,0.157,0.2763878568095135,0.09966740371519169,-0.10239983869118807,0.21197039081344515,1.1003689351725896,True,True,True,False,False,False,-0.025519454535577912,False,True,4,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.01971877936727262,0.0007870361301198242,0.39552238805970147,0.45714285714285713,-0.09953908021507674,0.9460884114110176,0.5072701688555348,134,35,3.8285714285714287,1.0,0,0,20260414,0.046568041140218064,20260512,-0.039387509810122456,-0.025654578314557863,-0.10118066507273893,-0.14820357474308365,134,0,0,0,0,20260226,20260408,15,S2_U3_filter_only_no_refill__C1_tail_up,R0_market_regime_gate,0.0011212444359930077,0.00572540514316749,0.04348825435418106,-0.07062030179147338,S2_U3_filter_only_no_refill,"S2: U3 filter-only, no refill",C1_tail_up,negative_control,tail_direction,tail_up,market_tail_ret_median >= 0,35,23,33,2,3.8285714285714287,2.310344827586207,0.148,0.29012526456376464,0.12725940277686182,-0.10239983869118807,0.21197039081344515,1.1003689351725896,True,False,True,False,False,False,0.002860758476111336,True,True,4,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.08821543300057777,-0.0025602977447472678,0.38,0.34285714285714286,-0.10779015054252838,0.7539194105653045,0.53024,350,35,10.0,1.0,0,0,20260513,0.022817280446094757,20260306,-0.03496015667654036,-0.10855576608780637,-0.13903816972316752,-0.16271235270992812,350,0,0,0,0,20260226,20260519,33,S0_v7_original_top10__C1_tail_up,R0_market_regime_gate,0.004588812534207011,0.015154939843325005,0.04038355820617373,-0.09014183482235782,S0_v7_original_top10,S0: v7 original Top10,C1_tail_up,negative_control,tail_direction,tail_up,market_tail_ret_median >= 0,35,23,35,0,10.0,6.0344827586206895,0.054,0.07302615574727925,-0.009505461072388869,-0.07516067028871343,-0.013778899874267725,0.9836220614972012,False,False,True,False,False,False,-0.03262948025381496,False,True,2,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.06828301263662062,-0.001860743199775085,0.36893203883495146,0.4,-0.08701585298215497,0.725112650522156,0.5278814262023217,206,35,5.885714285714286,1.0,0,0,20260414,0.046568041140218064,20260512,-0.039387509810122456,-0.10974064682092755,-0.1602899325102568,-0.18662465191399502,206,0,0,0,0,20260226,20260519,33,S1_U2_filter_only_no_refill__C1_tail_up,R0_market_regime_gate,0.0019850640466352607,0.009276288273199335,0.04374253112348293,-0.07062030179147338,S1_U2_filter_only_no_refill,"S1: U2 filter-only, no refill",C1_tail_up,negative_control,tail_direction,tail_up,market_tail_ret_median >= 0,35,23,35,0,5.885714285714286,3.5517241379310347,0.05,0.14205954279396646,0.03567221228712408,-0.07013401001765451,0.06306922419504435,1.0223623010717215,False,False,True,False,False,False,-0.01688184296450046,True,True,3,diagnostic_only
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.08163829025015468,0.003513609283798247,0.5130434782608696,0.6086956521739131,-0.03312811669692117,1.4671295105540691,0.43693284936479126,230,23,10.0,1.0,0,0,20260407,0.030104859907573923,20260320,-0.033128116696921006,0.05002736357073867,0.005067371428179035,-0.025603839149467622,230,0,0,0,0,20260319,20260320,2,S0_v7_original_top10__R1_tail_down,R0_market_regime_gate,0.005556635376066591,0.016457632833428115,0.04659319779670727,-0.073378862732145,S0_v7_original_top10,S0: v7 original Top10,R1_tail_down,positive_diagnostic,tail_direction,tail_down,market_tail_ret_median < 0,23,35,23,0,10.0,3.9655172413793105,0.957,0.07830307628067533,-0.005935652783866612,-0.07516067028871343,-0.013778899874267725,0.9836220614972012,True,True,True,True,True,True,0.042032553591792254,True,True,7,forward_shadow_candidate
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.14097868624610155,0.0058765432652645635,0.5555555555555556,0.6956521739130435,-0.033218485752857796,1.8958963486154319,0.45532039976484423,117,23,5.086956521739131,1.0,0,0,20260407,0.032413570216882126,20260320,-0.028233036201437633,0.10515661471440407,0.048032054034154115,-0.0006303478503693061,117,0,0,0,0,20260331,20260403,3,S1_U2_filter_only_no_refill__R1_tail_down,R0_market_regime_gate,0.0033419622799401387,0.011961479633774521,0.030029842911679015,-0.073378862732145,S1_U2_filter_only_no_refill,"S1: U2 filter-only, no refill",R1_tail_down,positive_diagnostic,tail_direction,tail_down,market_tail_ret_median < 0,23,35,23,0,5.086956521739131,2.0172413793103448,0.948,0.14294262315794692,0.02464648888150583,-0.07013401001765451,0.06306922419504435,1.0223623010717215,True,True,True,True,True,False,0.03691552426479672,True,True,7,forward_shadow_candidate
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.2274602949689466,0.019199135842991336,0.5348837209302325,0.7272727272727273,-0.009833298533389767,1.9645619560764016,0.4521739130434782,43,11,3.909090909090909,1.0,0,0,20260429,0.09385402214144478,20260302,-0.009833298533389823,0.12214269008760414,0.04610128499950794,-0.00634596497232498,43,0,0,0,0,20260224,20260302,2,S2_U3_filter_only_no_refill__R4_tail_breadth_Q2,R0_market_regime_gate,0.000687526095453749,0.005367206185668732,0.012144241876391218,-0.034085583307691736,S2_U3_filter_only_no_refill,"S2: U3 filter-only, no refill",R4_tail_breadth_Q2,positive_diagnostic,market_tail_breadth_positive_qbucket,Q2,market_tail_breadth_positive second quintile,11,47,11,0,3.909090909090909,0.7413793103448276,0.992,0.16679729403854923,0.04040769994972449,-0.10239983869118807,0.21197039081344515,1.1003689351725896,True,True,False,True,True,True,0.0925665401577983,True,True,6,observation_only_n_lt_20
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.09221553246746939,0.008123772911035413,0.5909090909090909,0.7272727272727273,-0.011866433487828565,2.2475383077951787,0.4502688172043011,110,11,10.0,1.0,0,0,20260407,0.030104859907573923,20260302,-0.011866433487828532,0.06029548541831797,0.015966147004572884,-0.004074684489251745,110,0,0,0,0,20260224,20260302,2,S0_v7_original_top10__R4_tail_breadth_Q2,R0_market_regime_gate,0.003865869139169078,0.01460673392075613,0.04822497961813717,-0.034085583307691736,S0_v7_original_top10,S0: v7 original Top10,R4_tail_breadth_Q2,positive_diagnostic,market_tail_breadth_positive_qbucket,Q2,market_tail_breadth_positive second quintile,11,47,11,0,10.0,1.896551724137931,0.985,0.06183665004836059,-0.0018821535851767002,-0.07516067028871343,-0.013778899874267725,0.9836220614972012,True,True,False,True,True,True,0.06329423680088486,True,True,6,observation_only_n_lt_20
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.11977558642282515,0.009652307076944937,0.5263157894736842,0.5833333333333334,-0.03455745558202716,1.6475418438432123,0.5763546798029556,57,12,4.75,1.0,0,0,20260414,0.046568041140218064,20260327,-0.01707153891710362,0.06995010587448158,0.010965956388983011,-0.030907417319589015,57,0,0,0,0,20260324,20260327,4,S1_U2_filter_only_no_refill__R6_market_dispersion_Q1_low,R0_market_regime_gate,0.004536759774662901,0.019217377083484893,0.026692789743001325,-0.05037675484981452,S1_U2_filter_only_no_refill,"S1: U2 filter-only, no refill",R6_market_dispersion_Q1_low,positive_diagnostic,market_dispersion_proxy_qbucket,Q1_low,market_dispersion_proxy lowest quintile,12,46,12,0,4.75,0.9827586206896551,0.973,0.1068630271720913,0.014605854594405028,-0.07013401001765451,0.06306922419504435,1.0223623010717215,True,True,False,True,True,True,0.03557655443562735,True,True,6,observation_only_n_lt_20
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.12109703519487303,0.010536707722581699,0.6164383561643836,0.7272727272727273,-0.010970736497406097,2.5146321174515576,0.5023255813953489,73,11,6.636363636363637,1.0,0,0,20260407,0.032413570216882126,20260302,-0.010970736497406097,0.08589916631894012,0.03085894035775616,0.0018625773363492026,73,0,0,0,0,20260224,20260302,2,S1_U2_filter_only_no_refill__R4_tail_breadth_Q2,R0_market_regime_gate,0.0018610582312093137,0.009229660266011786,0.030991396069283958,-0.034085583307691736,S1_U2_filter_only_no_refill,"S1: U2 filter-only, no refill",R4_tail_breadth_Q2,positive_diagnostic,market_tail_breadth_positive_qbucket,Q2,market_tail_breadth_positive second quintile,11,47,11,0,6.636363636363637,1.2586206896551724,0.97,0.10723508889000857,0.01419997045049735,-0.07013401001765451,0.06306922419504435,1.0223623010717215,True,True,False,True,True,True,0.059163273520248416,True,True,6,observation_only_n_lt_20
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.06823077681526635,0.006121595271464177,0.5636363636363636,0.6363636363636364,-0.021260081516785267,1.7904249010531414,0.4076666666666667,110,11,10.0,1.0,0,0,20260407,0.030104859907573923,20260402,-0.021260081516785222,0.037011685306594044,-0.006344192907701496,-0.025944933199599785,110,0,0,0,0,20260326,20260402,2,S0_v7_original_top10__R5_tail_ret_median_Q2,R0_market_regime_gate,0.0032624631936482643,0.014556986734549275,0.04822497961813717,-0.073378862732145,S0_v7_original_top10,S0: v7 original Top10,R5_tail_ret_median_Q2,positive_diagnostic,market_tail_ret_median_qbucket,Q2,market_tail_ret_median second quintile,11,47,11,0,10.0,1.896551724137931,0.954,0.06586515709852232,-0.0003809218411177653,-0.07516067028871343,-0.013778899874267725,0.9836220614972012,True,True,False,True,True,True,0.05390058877192816,True,True,6,observation_only_n_lt_20
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.05027660815738133,0.004159524297906505,0.5416666666666666,0.5833333333333334,-0.01655263832026388,1.6751645466003648,0.5334815226451792,120,12,10.0,1.0,0,0,20260407,0.030104859907573923,20260327,-0.012277949329020276,0.019582228018627967,-0.004448693477851928,-0.02162464467149683,120,0,0,0,0,20260415,20260421,3,S0_v7_original_top10__R6_market_dispersion_Q1_low,R0_market_regime_gate,0.006862802077487317,0.019329343882241286,0.036801994491786595,-0.05037675484981452,S0_v7_original_top10,S0: v7 original Top10,R6_market_dispersion_Q1_low,positive_diagnostic,market_dispersion_proxy_qbucket,Q1_low,market_dispersion_proxy lowest quintile,12,46,12,0,10.0,2.0689655172413794,0.891,0.06904004798900935,-0.00010565220392174346,-0.07516067028871343,-0.013778899874267725,0.9836220614972012,True,True,False,True,False,False,0.05860803196844955,True,True,5,observation_only_n_lt_20
