trade_date,scenario_id,daily_return,gate_active,selected_trade_count,group_id,strategy_id,regime_id
20260508,5bp_one_way_slippage,0.0005459795521586708,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260511,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260512,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260513,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260514,5bp_one_way_slippage,-0.003402313258937917,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260515,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260518,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260519,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260520,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260224,10bp_one_way_slippage,0.007416027474770381,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260225,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260226,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260227,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260302,10bp_one_way_slippage,-0.011821230613456635,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260303,10bp_one_way_slippage,-0.0020294361777550398,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260304,10bp_one_way_slippage,0.01959276551135337,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260305,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260306,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260309,10bp_one_way_slippage,0.023895577747574205,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260310,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260311,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260312,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260313,10bp_one_way_slippage,-0.002849224893438573,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260316,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260317,10bp_one_way_slippage,0.005005120518680783,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260318,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260319,10bp_one_way_slippage,0.0005260576786518811,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260320,10bp_one_way_slippage,-0.0329693861341806,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260323,10bp_one_way_slippage,0.0207823358023727,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260324,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260325,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260326,10bp_one_way_slippage,0.0010773020084645535,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260327,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260330,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260331,10bp_one_way_slippage,0.010097838165562211,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260401,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260402,10bp_one_way_slippage,-0.021067010131027963,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260403,10bp_one_way_slippage,0.012093361026970673,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260407,10bp_one_way_slippage,0.03030295219418422,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260408,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260409,10bp_one_way_slippage,0.010163969790288363,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260410,10bp_one_way_slippage,-0.00010219971137853667,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260413,10bp_one_way_slippage,0.010111634478213349,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260414,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260415,10bp_one_way_slippage,0.008977247338194628,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260416,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260417,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260420,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260421,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260422,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260423,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260424,10bp_one_way_slippage,-0.00651003422334423,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260427,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260428,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260429,10bp_one_way_slippage,0.007447733616913477,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260430,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260506,10bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
