scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,group_id,group_type,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99,min_filled_notional_return,strategy_id,strategy_name,regime_id,regime_side,regime_field,regime_value,regime_description,gate_day_count,no_trade_days,active_trade_days,zero_holding_gate_days,avg_daily_holdings,avg_daily_holdings_all_legacy_days
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.0942315950490582,0.008292943648281616,0.6,0.7272727272727273,-0.011821230613456635,2.284747719858989,0.4502688172043011,110,11,10.0,1.0,0,0,20260407,0.03030295219418422,20260302,-0.011821230613456635,0.06204839335724355,0.017330098750133693,-0.002987401467551609,110,0,0,0,0,20260224,20260302,2,S0_v7_original_top10__R4_tail_breadth_Q2,R0_market_regime_gate,0.0,0.0,0.0,-0.03404906057481427,S0_v7_original_top10,S0: v7 original Top10,R4_tail_breadth_Q2,positive_diagnostic,market_tail_breadth_positive_qbucket,Q2,market_tail_breadth_positive second quintile,11,47,11,0,10.0,1.896551724137931
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.09221553246746939,0.008123772911035413,0.5909090909090909,0.7272727272727273,-0.011866433487828565,2.2475383077951787,0.4502688172043011,110,11,10.0,1.0,0,0,20260407,0.030104859907573923,20260302,-0.011866433487828532,0.06029548541831797,0.015966147004572884,-0.004074684489251745,110,0,0,0,0,20260224,20260302,2,S0_v7_original_top10__R4_tail_breadth_Q2,R0_market_regime_gate,0.003865869139169078,0.01460673392075613,0.04822497961813717,-0.034085583307691736,S0_v7_original_top10,S0: v7 original Top10,R4_tail_breadth_Q2,positive_diagnostic,market_tail_breadth_positive_qbucket,Q2,market_tail_breadth_positive second quintile,11,47,11,0,10.0,1.896551724137931
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.08195764530320737,0.007290264642405537,0.5636363636363636,0.8181818181818182,-0.020087340919378915,2.004631876414151,0.4076666666666667,110,11,10.0,1.0,0,0,20260407,0.03133403000173749,20260402,-0.02008734091937897,0.04908556668239128,0.002904758578763378,-0.019088927437978853,110,0,0,0,0,20260326,20260402,2,S0_v7_original_top10__R5_tail_ret_median_Q2,R0_market_regime_gate,0.0,0.0,0.0,-0.0724135121371573,S0_v7_original_top10,S0: v7 original Top10,R5_tail_ret_median_Q2,positive_diagnostic,market_tail_ret_median_qbucket,Q2,market_tail_ret_median second quintile,11,47,11,0,10.0,1.896551724137931
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.0701183680693176,0.006283224626829276,0.5636363636363636,0.6363636363636364,-0.021067010131028074,1.8175264410514602,0.4076666666666667,110,11,10.0,1.0,0,0,20260407,0.03030295219418422,20260402,-0.021067010131027963,0.038644377161436205,-0.0050884748822462855,-0.02495824493327714,110,0,0,0,0,20260326,20260402,2,S0_v7_original_top10__R5_tail_ret_median_Q2,R0_market_regime_gate,0.0,0.0,0.0,-0.07334086817739194,S0_v7_original_top10,S0: v7 original Top10,R5_tail_ret_median_Q2,positive_diagnostic,market_tail_ret_median_qbucket,Q2,market_tail_ret_median second quintile,11,47,11,0,10.0,1.896551724137931
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.06823077681526635,0.006121595271464177,0.5636363636363636,0.6363636363636364,-0.021260081516785267,1.7904249010531414,0.4076666666666667,110,11,10.0,1.0,0,0,20260407,0.030104859907573923,20260402,-0.021260081516785222,0.037011685306594044,-0.006344192907701496,-0.025944933199599785,110,0,0,0,0,20260326,20260402,2,S0_v7_original_top10__R5_tail_ret_median_Q2,R0_market_regime_gate,0.0032624631936482643,0.014556986734549275,0.04822497961813717,-0.073378862732145,S0_v7_original_top10,S0: v7 original Top10,R5_tail_ret_median_Q2,positive_diagnostic,market_tail_ret_median_qbucket,Q2,market_tail_ret_median second quintile,11,47,11,0,10.0,1.896551724137931
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.06572422363130381,0.005382092397768,0.5583333333333333,0.6666666666666666,-0.014244730209680201,1.9566548429444661,0.5334815226451792,120,12,10.0,1.0,0,0,20260407,0.03133403000173749,20260327,-0.011047883018484916,0.0333453494494973,0.006463658785230919,-0.013363775690404145,120,0,0,0,0,20260415,20260421,3,S0_v7_original_top10__R6_market_dispersion_Q1_low,R0_market_regime_gate,0.0,0.0,0.0,-0.049346639183908025,S0_v7_original_top10,S0: v7 original Top10,R6_market_dispersion_Q1_low,positive_diagnostic,market_dispersion_proxy_qbucket,Q1_low,market_dispersion_proxy lowest quintile,12,46,12,0,10.0,2.0689655172413794
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.053008779238527426,0.004376960080374092,0.55,0.5833333333333334,-0.016214765685813037,1.7214778012861511,0.5334815226451792,120,12,10.0,1.0,0,0,20260407,0.03030295219418422,20260327,-0.012036589442290968,0.022038010272597885,-0.002556133413067596,-0.020247838840850352,120,0,0,0,0,20260415,20260421,3,S0_v7_original_top10__R6_market_dispersion_Q1_low,R0_market_regime_gate,0.0,0.0,0.0,-0.0502970563664108,S0_v7_original_top10,S0: v7 original Top10,R6_market_dispersion_Q1_low,positive_diagnostic,market_dispersion_proxy_qbucket,Q1_low,market_dispersion_proxy lowest quintile,12,46,12,0,10.0,2.0689655172413794
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.05027660815738133,0.004159524297906505,0.5416666666666666,0.5833333333333334,-0.01655263832026388,1.6751645466003648,0.5334815226451792,120,12,10.0,1.0,0,0,20260407,0.030104859907573923,20260327,-0.012277949329020276,0.019582228018627967,-0.004448693477851928,-0.02162464467149683,120,0,0,0,0,20260415,20260421,3,S0_v7_original_top10__R6_market_dispersion_Q1_low,R0_market_regime_gate,0.006862802077487317,0.019329343882241286,0.036801994491786595,-0.05037675484981452,S0_v7_original_top10,S0: v7 original Top10,R6_market_dispersion_Q1_low,positive_diagnostic,market_dispersion_proxy_qbucket,Q1_low,market_dispersion_proxy lowest quintile,12,46,12,0,10.0,2.0689655172413794
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-0.049870091706497255,-0.0013855980756936623,0.39714285714285713,0.4,-0.07443819071984159,0.8571588378088066,0.53024,350,35,10.0,1.0,0,0,20260513,0.02394654063347289,20260306,-0.03382598351049495,-0.0720903185964209,-0.10591275629999852,-0.1325879460754773,350,0,0,0,0,20260226,20260427,23,S0_v7_original_top10__C1_tail_up,R0_market_regime_gate,0.0,0.0,0.0,-0.08914158773351832,S0_v7_original_top10,S0: v7 original Top10,C1_tail_up,negative_control,tail_direction,tail_up,market_tail_ret_median >= 0,35,23,35,0,10.0,6.0344827586206895
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.08255749494824138,-0.0023839643839648397,0.38285714285714284,0.37142857142857144,-0.10255720475385255,0.768537331618988,0.53024,350,35,10.0,1.0,0,0,20260513,0.022922848479955592,20260306,-0.03479191749275214,-0.1031166168445048,-0.13407759256951046,-0.1582302014131346,350,0,0,0,0,20260226,20260519,33,S0_v7_original_top10__C1_tail_up,R0_market_regime_gate,0.0,0.0,0.0,-0.09005221985404444,S0_v7_original_top10,S0: v7 original Top10,C1_tail_up,negative_control,tail_direction,tail_up,market_tail_ret_median >= 0,35,23,35,0,10.0,6.0344827586206895
