scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,group_id,group_type,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99,min_filled_notional_return,strategy_id,strategy_name,avg_daily_holdings
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.0563104482106116,0.0010326747876184769,0.44655172413793104,0.5172413793103449,-0.06142807961348873,1.119888709620435,0.5274665946821433,580,58,10.0,1.0,0,0,20260407,0.03133403000173749,20260306,-0.03382598351049495,0.02421758371420335,-0.024056056257852454,-0.06417169996848882,580,0,0,0,0,20260305,20260320,12,S0_v7_original_top10,R0_base_strategy,0.0,0.0,0.0,-0.08914158773351832,S0_v7_original_top10,S0: v7 original Top10,10.0
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.003227249600176618,3.1890807274591157e-05,0.4362068965517241,0.46551724137931033,-0.07266548976260367,1.003480207336016,0.5274665946821433,580,58,10.0,1.0,0,0,20260407,0.03030295219418422,20260306,-0.03479191749275214,-0.03254402185585592,-0.07629633670246394,-0.11249098218166709,580,0,0,0,0,20260226,20260320,17,S0_v7_original_top10,R0_base_strategy,0.0,0.0,0.0,-0.09005221985404444,S0_v7_original_top10,S0: v7 original Top10,10.0
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.013778899874267725,-0.00015167944032404588,0.43275862068965515,0.4482758620689655,-0.07516067028871343,0.9836220614972012,0.5274665946821433,580,58,10.0,1.0,0,0,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.042601254969109714,-0.08563913959214298,-0.12114172000547108,580,0,0,0,0,20260226,20260320,17,S0_v7_original_top10,R0_base_strategy,0.005080519027543372,0.015271386012349815,0.043954333911475366,-0.09014183482235782,S0_v7_original_top10,S0: v7 original Top10,10.0
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.13673531490034407,0.0023649205076230026,0.43962848297213625,0.5862068965517241,-0.05930274931742763,1.1397103887871392,0.543144208037825,323,58,5.568965517241379,1.0,0,0,20260414,0.04790525403756751,20260512,-0.038352691823991036,0.08476917213699875,0.01115223694859968,-0.04341374768251627,323,0,0,0,0,20260430,20260519,11,S1_U2_filter_only_no_refill,R0_base_strategy,0.0,0.0,0.0,-0.0724135121371573,S1_U2_filter_only_no_refill,"S1: U2 filter-only, no refill",5.568965517241379
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.07266456393500698,0.0013628046125394267,0.43653250773993807,0.5172413793103449,-0.06866518703285529,1.0358478064607721,0.543144208037825,323,58,5.568965517241379,1.0,0,0,20260414,0.04685760912289849,20260512,-0.039314100222540616,0.024651829042662277,-0.042972671320052225,-0.0928048176954861,323,0,0,0,0,20260430,20260519,11,S1_U2_filter_only_no_refill,R0_base_strategy,0.0,0.0,0.0,-0.07334086817739194,S1_U2_filter_only_no_refill,"S1: U2 filter-only, no refill",5.568965517241379
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.06306922419504435,0.001207491088085465,0.43653250773993807,0.5172413793103449,-0.07013401001765451,1.0223623010717215,0.543144208037825,323,58,5.568965517241379,1.0,0,0,20260414,0.046568041140218064,20260512,-0.039387509810122456,0.015766947208561755,-0.05095326494349539,-0.10000864504375229,323,0,0,0,0,20260226,20260320,17,S1_U2_filter_only_no_refill,R0_base_strategy,0.0022590267886691733,0.010146015634920062,0.03132271093474741,-0.073378862732145,S1_U2_filter_only_no_refill,"S1: U2 filter-only, no refill",5.568965517241379
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.2834479682043496,0.004587368174011021,0.43455497382198954,0.5,-0.08783002573109167,1.2064086912544787,0.5148148148148148,191,58,3.293103448275862,1.0,0,0,20260429,0.09511520030282283,20260402,-0.05242796039748193,0.17197530255214133,0.06883710767752316,-0.011639796960587478,191,0,0,0,0,20260310,20260402,18,S2_U3_filter_only_no_refill,R0_base_strategy,0.0,0.0,0.0,-0.0724135121371573,S2_U3_filter_only_no_refill,"S2: U3 filter-only, no refill",3.293103448275862
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.2196175762515482,0.0037036900546906252,0.4293193717277487,0.4827586206896552,-0.10051459736843738,1.1095634782580963,0.5148148148148148,191,58,3.293103448275862,1.0,0,0,20260429,0.09402035717062773,20260402,-0.053375297024288004,0.11480336563913873,0.01873245480701402,-0.05608545893306627,191,0,0,0,0,20260310,20260402,18,S2_U3_filter_only_no_refill,R0_base_strategy,0.0,0.0,0.0,-0.07334086817739194,S2_U3_filter_only_no_refill,"S2: U3 filter-only, no refill",3.293103448275862
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.21197039081344515,0.003594672897770109,0.4293193717277487,0.4827586206896552,-0.10239983869118807,1.1003689351725896,0.5148148148148148,191,58,3.293103448275862,1.0,0,0,20260429,0.09385402214144478,20260402,-0.053455811306316214,0.10798183878390222,0.012941296263860425,-0.061196739633305075,191,0,0,0,0,20260310,20260402,18,S2_U3_filter_only_no_refill,R0_base_strategy,0.0010936057636523283,0.0063398033139419885,0.02609829282074395,-0.073378862732145,S2_U3_filter_only_no_refill,"S2: U3 filter-only, no refill",3.293103448275862
