scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,group_id,group_type,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99,min_filled_notional_return,regime_field,regime_value,regime_trade_days,regime_trade_count
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.008594709930874078,0.0008491015028126225,0.44545454545454544,0.36363636363636365,-0.043045929803542604,1.0847095818102233,0.5444106720702466,110,11,10.0,1.0,0,0,20260513,0.022922848479955592,20260327,-0.012036589442290968,-0.014007056905975479,-0.04804415041166332,-0.048127676603460845,110,0,0,0,0,20260305,20260512,8,E_market_tail_breadth_positive_qbucket_Q4,E_market_regime,0.0,0.0,0.0,-0.09005221985404444,market_tail_breadth_positive_qbucket,Q4,11,110
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.006563985191618604,0.0006661158447926947,0.44545454545454544,0.2727272727272727,-0.04443878697920656,1.0658048157311202,0.5444106720702466,110,11,10.0,1.0,0,0,20260513,0.022817280446094757,20260327,-0.012277949329020276,-0.01589071241286366,-0.04954174226347996,-0.04954174226347996,110,0,0,0,0,20260305,20260512,8,E_market_tail_breadth_positive_qbucket_Q4,E_market_regime,0.005167820571526118,0.015885991300701927,0.027743620619419547,-0.09014183482235782,market_tail_breadth_positive_qbucket,Q4,11,110
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-0.033823299983456234,-0.0028177762848490564,0.38333333333333336,0.3333333333333333,-0.035374290952208565,0.6976777446887508,0.5790625,120,12,10.0,1.0,0,0,20260324,0.015428961165166432,20260408,-0.018782288322670482,-0.04850389641448438,-0.060632783923496136,-0.06214073797419084,120,0,0,0,0,20260226,20260519,12,E_market_tail_breadth_positive_qbucket_Q5_high,E_market_regime,0.0,0.0,0.0,-0.049346639183908025,market_tail_breadth_positive_qbucket,Q5_high,12,120
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.04535101590680879,-0.0038147107707184,0.375,0.3333333333333333,-0.045929668277680524,0.6159330814508618,0.5790625,120,12,10.0,1.0,0,0,20260324,0.014413784475027969,20260408,-0.01976326226269167,-0.058915603569766106,-0.06905126680953577,-0.06961555347468362,120,0,0,0,0,20260226,20260519,12,E_market_tail_breadth_positive_qbucket_Q5_high,E_market_regime,0.0,0.0,0.0,-0.0502970563664108,market_tail_breadth_positive_qbucket,Q5_high,12,120
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.04755227237233206,-0.0040065656914670955,0.36666666666666664,0.3333333333333333,-0.04799811396689968,0.6011473863433274,0.5790625,120,12,10.0,1.0,0,0,20260324,0.014142004278276544,20260408,-0.01991468724008546,-0.060833962492771065,-0.0705522798843159,-0.07098735515572807,120,0,0,0,0,20260226,20260519,12,E_market_tail_breadth_positive_qbucket_Q5_high,E_market_regime,0.0055280036068986425,0.017643386852676367,0.05170432936905484,-0.05037675484981452,market_tail_breadth_positive_qbucket,Q5_high,12,120
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.027539028341722283,0.002349846605390744,0.48333333333333334,0.5833333333333334,-0.032001628249901715,1.351349208541172,0.49775533108866443,120,12,10.0,1.0,0,0,20260323,0.02180388583340658,20260320,-0.032001628249901735,0.005612762476077338,-0.018301898227690017,-0.03615933257358972,120,0,0,0,0,20260319,20260320,2,E_market_tail_ret_median_qbucket_Q1_low,E_market_regime,0.0,0.0,0.0,-0.042736288490202945,market_tail_ret_median_qbucket,Q1_low,12,120
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.015279181857453139,0.0013477457804644685,0.475,0.5833333333333334,-0.032969386134180656,1.1870680634609105,0.49775533108866443,120,12,10.0,1.0,0,0,20260323,0.0207823358023727,20260320,-0.0329693861341806,-0.005391114003353126,-0.027099744828666505,-0.04288434414122633,120,0,0,0,0,20260319,20260320,2,E_market_tail_ret_median_qbucket_Q1_low,E_market_regime,0.0,0.0,0.0,-0.04369331438113788,market_tail_ret_median_qbucket,Q1_low,12,120
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.012551139440918124,0.0011229554617711464,0.4666666666666667,0.5833333333333334,-0.03312811669692106,1.153465859048267,0.49775533108866443,120,12,10.0,1.0,0,0,20260323,0.020535868102504316,20260320,-0.033128116696921006,-0.00782405490209015,-0.028954120027138708,-0.04430020346520591,120,0,0,0,0,20260319,20260320,2,E_market_tail_ret_median_qbucket_Q1_low,E_market_regime,0.0067740352013087105,0.022092693669924515,0.03765026269874771,-0.04379377059310652,market_tail_ret_median_qbucket,Q1_low,12,120
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.08195764530320737,0.007290264642405537,0.5636363636363636,0.8181818181818182,-0.020087340919378915,2.004631876414151,0.4076666666666667,110,11,10.0,1.0,0,0,20260407,0.03133403000173749,20260402,-0.02008734091937897,0.04908556668239128,0.002904758578763378,-0.019088927437978853,110,0,0,0,0,20260326,20260402,2,E_market_tail_ret_median_qbucket_Q2,E_market_regime,0.0,0.0,0.0,-0.0724135121371573,market_tail_ret_median_qbucket,Q2,11,110
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.0701183680693176,0.006283224626829276,0.5636363636363636,0.6363636363636364,-0.021067010131028074,1.8175264410514602,0.4076666666666667,110,11,10.0,1.0,0,0,20260407,0.03030295219418422,20260402,-0.021067010131027963,0.038644377161436205,-0.0050884748822462855,-0.02495824493327714,110,0,0,0,0,20260326,20260402,2,E_market_tail_ret_median_qbucket_Q2,E_market_regime,0.0,0.0,0.0,-0.07334086817739194,market_tail_ret_median_qbucket,Q2,11,110
