dimension_type,dimension_value,trade_count,cumulative_return_5bp,cumulative_return_10bp,cumulative_return_10bp_impact,mean_trade_return_5bp,mean_trade_return_10bp,mean_trade_return_10bp_impact,decay_5bp_to_10bp_sum,decay_10bp_to_impact_sum,decay_5bp_to_10bp_contribution,decay_10bp_to_impact_contribution,avg_participation
stock,301001.SZ,7,0.022080888170283197,0.014949516743137492,0.012836919495045507,0.003220461253284964,0.002217490030004408,0.0019196673856902555,0.0070207985629638925,0.0020847585101990695,0.012095342597709271,0.019580576218103024,0.014827550359197287
stock,001270.SZ,9,0.3062657273496743,0.2945591492595394,0.292291247529495,0.030388161382795802,0.029358029208871872,0.029157659579898416,0.009271189565315363,0.0018033266607611065,0.01597228763581795,0.01693729751164242,0.013805643271149571
stock,002836.SZ,6,-0.05686100226262336,-0.06250430915838445,-0.06399125890964563,-0.009692885941090893,-0.010682947025341727,-0.010944627433365125,0.0059403665055050014,0.0015700824481403863,0.010233987970979125,0.014746609208748606,0.012094633403735474
stock,301043.SZ,6,0.007259523457801231,0.0012325490370779235,-0.00028460776989425174,0.0013416501960037037,0.00034055731701271297,8.752356237932506e-05,0.006006557273945945,0.0015182025278003275,0.010348020586203578,0.014259339949773074,0.0128625855205387
stock,605167.SH,6,0.034603623942878636,0.028413035090776306,0.02692152670745296,0.005767639703181042,0.0047621219342662835,0.004518566233726022,0.006033106613488548,0.001461334203241571,0.0103937594511818,0.013725218343855166,0.01145542852109027
stock,603268.SH,4,0.11109639230333723,0.10665976971422908,0.1051050787977792,0.026916641872189506,0.025889980355319114,0.025528156164759314,0.0041066460674815675,0.001447296762239203,0.00707487768923481,0.013593375167722625,0.053010704971913694
stock,688291.SH,6,-0.10274788283020875,-0.10811662388768584,-0.10939525711949305,-0.017747452199847042,-0.018729460718898545,-0.01896481199938462,0.005892051114309016,0.0014121076829164414,0.010150750828648825,0.013262870485116285,0.010125558241222672
stock,688478.SH,5,0.026192929143627364,0.021073485805792602,0.01968209875529392,0.005269003625931701,0.004263984369214024,0.00399010745175612,0.005025096283588382,0.0013693845872895238,0.00865717205690889,0.012861604426671808,0.01064427160899446
stock,688651.SH,5,-0.006139087422947775,-0.011097233677056395,-0.012405428140112251,-0.0010064566042359059,-0.0020052019597853743,-0.002268955347858248,0.004993726777747343,0.0013187669403643687,0.0086031290706495,0.012386190757054799,0.011289247106881475
stock,688500.SH,6,0.15528440978806302,0.14837172301340673,0.14692280584511241,0.02535406199024372,0.02432896266505132,0.02411383998994643,0.006150595951154414,0.0012907360506293486,0.010596168589957414,0.012122917591250384,0.00834193717616143
stock,688767.SH,3,-0.03258749451410248,-0.03548611117584832,-0.036663943635110385,-0.010824803183083579,-0.011813732631303586,-0.01221877547642225,0.0029667883446600207,0.0012151285353559915,0.0051111452809443425,0.011412792793472251,0.028674265214009245
stock,688448.SH,4,-0.031708285287900706,-0.03557468691074517,-0.03658091454122958,-0.007932714491021176,-0.008924535309428855,-0.009183605869984818,0.003967283273630717,0.0010362822422238516,0.006834785237944147,0.009733023430801718,0.010985996110879174
stock,002910.SZ,4,-0.019879734310191077,-0.023793367493525897,-0.024807230313112827,-0.004926048031717756,-0.005920874769614781,-0.006179200185289946,0.003979306951588102,0.0010333016627006586,0.00685549947762427,0.009705029078341958,0.00980159006459412
stock,301067.SZ,4,-0.0020821747231490884,-0.006066873797294314,-0.007068075029144527,-0.00037361450099465676,-0.001372992541425505,-0.0016253480393054465,0.003997512161723393,0.0010094219915197655,0.006886863182432898,0.009480745201176699,0.008425607595312155
stock,301161.SZ,4,-0.010063270494571785,-0.014016100947748855,-0.01500485236224014,-0.0024439689583136137,-0.003441277158641648,-0.0036911578949813395,0.003989232801312137,0.0009995229453587662,0.00687259960546712,0.009387770870148086,0.007981982844097964
stock,301010.SZ,4,-0.014944148598727058,-0.0188774896410826,-0.019848914695798747,-0.003707268405620856,-0.0047033136203529224,-0.00495005723160491,0.003984180858928266,0.0009869744450079487,0.006863896183289598,0.009269912199064588,0.008401762751116315
stock,688399.SH,4,0.06949637368621242,0.06522586052161716,0.06418942555466045,0.01699253496215658,0.01597579508667213,0.015729166522877813,0.004066959501937806,0.000986514255177262,0.007006506178149098,0.009265589980442876,0.012502055361780074
stock,002098.SZ,3,0.033152896400746146,0.03005730462096623,0.029067406504867943,0.010983446475784309,0.009972714195900881,0.009648911965132992,0.0030321968396502808,0.0009714066923036668,0.005223830205403101,0.009123695950573696,0.015916928785282034
stock,301321.SZ,4,-0.026575331129987334,-0.03046222870666937,-0.03132247599394,-0.006513521947423301,-0.007506761605793361,-0.007728501466479409,0.003972958633480239,0.0008869594427441951,0.006844562675813875,0.008330546145299362,0.009694403832808491
stock,002295.SZ,3,-0.054361553756657854,-0.05719492973714668,-0.05803943518655219,-0.018332601422486716,-0.019314024937688818,-0.019608246374805183,0.002944270545606309,0.0008826643113490906,0.005072351902718428,0.008290205191065492,0.017465709137883017
