scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,group_id,group_type,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99,min_filled_notional_return
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.0563104482106116,0.0010326747876184769,0.44655172413793104,0.5172413793103449,-0.06142807961348873,1.119888709620435,0.5274665946821433,580,58,10.0,1.0,0,0,20260407,0.03133403000173749,20260306,-0.03382598351049495,0.02421758371420335,-0.024056056257852454,-0.06417169996848882,580,0,0,0,0,20260305,20260320,12,v7_original_top10,D_original,0.0,0.0,0.0,-0.08914158773351832
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.003227249600176618,3.1890807274591157e-05,0.4362068965517241,0.46551724137931033,-0.07266548976260367,1.003480207336016,0.5274665946821433,580,58,10.0,1.0,0,0,20260407,0.03030295219418422,20260306,-0.03479191749275214,-0.03254402185585592,-0.07629633670246394,-0.11249098218166709,580,0,0,0,0,20260226,20260320,17,v7_original_top10,D_original,0.0,0.0,0.0,-0.09005221985404444
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.013778899874267725,-0.00015167944032404588,0.43275862068965515,0.4482758620689655,-0.07516067028871343,0.9836220614972012,0.5274665946821433,580,58,10.0,1.0,0,0,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.042601254969109714,-0.08563913959214298,-0.12114172000547108,580,0,0,0,0,20260226,20260320,17,v7_original_top10,D_original,0.005080519027543372,0.015271386012349815,0.043954333911475366,-0.09014183482235782
