trade_date,daily_return,equity,drawdown
20260224,0.0084242011451366,1.0084242011451365,0.0
20260225,0.003559272937959151,1.0120134581142555,0.0
20260226,0.00160786816503506,1.0136406423361444,0.0
20260227,-0.021536007463901358,0.9918108698970793,-0.021536007463901385
20260302,-0.0108323086688578,0.9810672684132259,-0.032135031452415364
20260303,-0.0010307150746492408,0.9800560675904274,-0.033132624465722293
20260304,0.02061312507746136,1.0002580858945938,-0.01320246632051747
20260305,0.017398914538842392,1.0176614908478598,0.0
20260306,-0.03382598351049494,0.9832380900391744,-0.03382598351049493
20260309,0.02492024336191525,1.0077406225256555,-0.009748691889617245
20260310,-0.00391360132775015,1.0037967274873114,-0.013624140723844325
20260311,-0.00332423503678779,1.0004598712359851,-0.016903085914691807
20260312,-0.0034238395763923095,0.997034457134255,-0.02026905203656626
20260313,-0.0018513241955833003,0.9951886231199321,-0.02208285164569268
20260316,0.0007551812003477905,0.9959401708589123,-0.021344346999757735
20260317,0.006010881468930809,1.0019266491760919,-0.015461763870674328
20260318,-0.01667397076504956,0.9852205535190056,-0.03187792563696812
20260319,0.0015273361975130196,0.9867253165329289,-0.030399277749182163
20260320,-0.03200162824990173,0.9551484997684756,-0.06142807961348895
20260323,0.02180388583340654,0.975974448611377,-0.04096356461494033
20260324,0.0154289611651664,0.9910327204771966,-0.026166628697404715
20260325,-0.0005387642871377997,0.9904987874400184,-0.026691295339485555
20260326,0.0020791321862273704,0.9925581653494042,-0.024667657884490546
20260327,-0.01104788301848494,0.981592498849582,-0.0354430155043276
20260330,0.0096124444207097,0.9910280021885592,-0.02617126510025547
20260331,0.01110869566351666,1.0020370306588948,-0.015353298055866826
20260401,-0.0049054463218038595,0.9971215917925379,-0.02018342959819497
20260402,-0.02008734091937897,0.9770920704401274,-0.039865339086312734
20260403,0.01310621554855049,0.9898980497260951,-0.0272816072647436
20260407,0.03133403000173744,1.020915544914874,0.0
20260408,-0.018782288322670482,1.0017404147971865,-0.018782288322670482
20260409,0.011174893469602872,1.0129347572167406,-0.007817284924188983
20260410,0.00089845007760182,1.0138448285279678,-0.006925858286833786
20260413,0.01112250578285609,1.025121323496189,0.0
20260414,0.010009049205052299,1.0353818132642105,0.0
20260415,0.009986983402563859,1.0457221542485966,0.0
20260416,-0.010267501995042661,1.0349851999435888,-0.010267501995042672
20260417,0.015090819134830338,1.0506039744031637,0.0
20260420,-0.0007277906654587802,1.0498393546374991,-0.0007277906654588051
20260421,-0.004018488048694449,1.0456205877378393,-0.00474335409606208
20260422,0.0028739489848441007,1.0486256479645006,-0.0018830372689070396
20260423,-0.00778879206513271,1.04045812083834,-0.009657162748301307
20260424,-0.00551579708798743,1.0347191649652472,-0.01511969288612336
20260427,-0.00592667190522087,1.028586723960454,-0.02095675533230057
20260428,0.0010885892457620405,1.0297064324064908,-0.01989097938501949
20260429,0.008455939017266881,1.0384135672046075,-0.011603237276425982
20260430,0.01369762138385871,1.0526373630880383,0.0
20260506,-0.0030942258786325902,1.0493802653183557,-0.003094225878632617
20260507,0.00947043201416713,1.0593183497780618,0.0
20260508,0.0005459795521586399,1.059896715936267,0.0
20260511,-0.01068099355246816,1.0485759659470697,-0.010680993552468099
20260512,-0.00901451966969041,1.0391235572768753,-0.019599229195687906
20260513,0.02394654063347287,1.064006971764405,0.0
20260514,-0.0034023132589379307,1.0603868867367685,-0.003402313258937917
20260515,-0.004227526640332811,1.0559040729240292,-0.007615456529329823
20260518,-0.00759140315719631,1.0478882794111373,-0.015149047685785955
20260519,-0.01180635798654786,1.0355165352545017,-0.026776550592200077
20260520,0.02008071551556397,1.0563104482106098,-0.00723352737156624
