trade_date,ts_code,amount_sofar_log,tail_amount_share,tail_amount_vs_prev20,target_return,amount_sofar,tail_1430_1450_amount,buy_100000_pct_amount_sofar,buy_100000_pct_tail_1430_1450,buy_500000_pct_amount_sofar,buy_500000_pct_tail_1430_1450,buy_1000000_pct_amount_sofar,buy_1000000_pct_tail_1430_1450,buy_5000000_pct_amount_sofar,buy_5000000_pct_tail_1430_1450
20260224,002647.SZ,18.30209177236685,0.0082676481033341,35.61034272064774,0.045754733552308,88817277.99999999,734309.9999999974,0.00011259070560572687,0.0136182266345277,0.0005629535280286343,0.0680911331726385,0.0011259070560572686,0.136182266345277,0.005629535280286343,0.680911331726385
20260224,605188.SH,17.9075961038626,0.1182399230824368,399.9795058675407,-0.0010317793093769,59864610.999999925,7078386.999999992,0.0001670435977609545,0.0014127512383824185,0.0008352179888047725,0.007063756191912092,0.001670435977609545,0.014127512383824184,0.008352179888047725,0.07063756191912092
20260224,301001.SZ,17.820505238297038,0.0961989734148389,209.23029070452537,0.028035279345753,54871531.500000045,5278585.0,0.00018224386538217896,0.0018944470914080194,0.0009112193269108947,0.009472235457040097,0.0018224386538217895,0.018944470914080195,0.009112193269108948,0.09472235457040097
20260224,601089.SH,17.754641967801657,0.133758391751712,484.9110423387811,-0.0082628673155465,51373957.99999998,6871697.999999996,0.0001946511499075077,0.001455244395198975,0.0009732557495375385,0.007276221975994875,0.001946511499075077,0.01455244395198975,0.009732557495375384,0.07276221975994875
20260224,600327.SH,17.934099632394766,0.0809628905776274,455.22504020034614,0.0104813701105295,61472447.000000075,4976987.000000006,0.0001626745068404384,0.002009247763757468,0.0008133725342021921,0.010046238818787339,0.0016267450684043841,0.020092477637574678,0.00813372534202192,0.1004623881878734
20260224,301043.SZ,17.981819594307773,0.0934682799978268,463.3142265828287,0.0029566686283273,64477029.000000075,6026557.000000006,0.00015509399479309116,0.0016593222299233195,0.0007754699739654559,0.008296611149616597,0.0015509399479309118,0.016593222299233195,0.007754699739654558,0.08296611149616598
20260224,605288.SH,17.898470375887293,0.0672540290597623,183.79332098092576,-0.001974998869392,59320788.00000008,3989562.000000004,0.00016857496903109221,0.0025065408182652605,0.000842874845155461,0.012532704091326303,0.001685749690310922,0.025065408182652606,0.00842874845155461,0.12532704091326302
20260224,603130.SH,18.04366855011797,0.1160795687233136,463.88568981054,-0.0051924989795321,68590770.00000006,7961987.000000004,0.0001457922108178694,0.0012559678884178026,0.0007289610540893469,0.006279839442089014,0.0014579221081786938,0.012559678884178027,0.00728961054089347,0.06279839442089014
20260224,000850.SZ,18.26672114453475,0.1293303808121884,651.8981519913187,0.0076152495621746,85730664.59999996,11087579.499999994,0.00011664437744251435,0.0009019101058080355,0.0005832218872125718,0.004509550529040177,0.0011664437744251437,0.009019101058080355,0.005832218872125718,0.04509550529040177
20260224,603222.SH,18.051648071130373,0.0809559480963058,465.99083419222666,0.0058608547261211,69140281.00000006,5597317.000000003,0.0001446334879662984,0.001786570244279535,0.0007231674398314921,0.008932851221397677,0.0014463348796629842,0.017865702442795353,0.007231674398314921,0.08932851221397677
20260225,603268.SH,21.76336800722169,0.0210947271719779,1804.754142584512,0.0478716403379988,2829506090.0000076,59687659.00000011,3.5341857136628297e-06,0.00016753882071334012,1.7670928568314148e-05,0.0008376941035667005,3.5341857136628295e-05,0.001675388207133401,0.0001767092856831415,0.008376941035667005
20260225,301218.SZ,19.6530394728706,0.1116597955696964,819.265984715298,0.0624607829573051,342930880.3999999,38291591.99999999,2.916039520365108e-05,0.0002611539368747061,0.0001458019760182554,0.0013057696843735305,0.0002916039520365108,0.002611539368747061,0.0014580197601825541,0.013057696843735306
20260225,600481.SH,21.228583474568545,0.1104912739077224,1001.106850682449,-0.0105593460537675,1657511923.9999971,183140603.99999964,6.0331391015682475e-06,5.460285584730309e-05,3.0165695507841237e-05,0.00027301427923651545,6.0331391015682475e-05,0.0005460285584730309,0.0003016569550784124,0.0027301427923651545
20260225,301067.SZ,17.79367484592147,0.1083657283645542,435.73085385275016,-0.0092900493854204,53418881.47999995,5788775.99999999,0.00018719972644399158,0.0017274809044260854,0.000935998632219958,0.008637404522130427,0.001871997264439916,0.017274809044260854,0.00935998632219958,0.08637404522130428
20260225,300071.SZ,19.611477970302747,0.1131045275977651,412.6245876757728,-0.0035932621931503,328970278.9999996,37208027.99999994,3.03978828433921e-05,0.0002687592043308508,0.0001519894142169605,0.0013437960216542537,0.000303978828433921,0.0026875920433085073,0.001519894142169605,0.013437960216542538
20260225,600977.SH,21.36412003886413,0.0596017963945098,716.5003067289232,-0.0117331848224401,1898101548.0000055,113130262.0000002,5.268422024383688e-06,8.83936784306217e-05,2.6342110121918436e-05,0.00044196839215310854,5.268422024383687e-05,0.0008839367843062171,0.00026342110121918436,0.004419683921531086
20260225,002627.SZ,18.635844411315187,0.083545051531957,397.7946957759417,-0.0135726158120875,124006482.85000008,10360128.0,8.064094529715947e-05,0.0009652390395176585,0.0004032047264857973,0.004826195197588292,0.0008064094529715946,0.009652390395176584,0.004032047264857974,0.04826195197588292
20260225,603737.SH,19.921366720804222,0.175297634639429,1958.8707013749256,-0.0224412212119193,448476444.9999999,78616859.99999996,2.2297715100734002e-05,0.000127199178395067,0.00011148857550367002,0.0006359958919753349,0.00022297715100734003,0.0012719917839506699,0.0011148857550367002,0.006359958919753349
20260225,300051.SZ,18.974629763182747,0.0726507712418078,255.5373897299617,-0.0127273860015998,174011118.9999999,12642041.999999989,5.7467592056574296e-05,0.000791011452105602,0.0002873379602828715,0.00395505726052801,0.000574675920565743,0.00791011452105602,0.002873379602828715,0.0395505726052801
20260225,301162.SZ,19.191985285883053,0.1321221072522934,1078.8334001730757,0.0091773715646725,216258558.79999974,28572536.499999963,4.624094443008011e-05,0.0003499864284012731,0.00023120472215040056,0.0017499321420063657,0.0004624094443008011,0.0034998642840127314,0.0023120472215040055,0.017499321420063656
20260226,603268.SH,20.11546677926887,0.0385475060788435,457.1674105352696,0.0478777778849937,544548068.9999993,20990969.999999963,1.8363851731884505e-05,0.0004763953261807348,9.181925865942253e-05,0.0023819766309036735,0.00018363851731884506,0.004763953261807347,0.0009181925865942253,0.023819766309036736
20260226,603667.SH,21.519776340351683,0.0847871592571072,431.08145435707195,-0.0090564073072213,2217788444.000003,188039982.0000002,4.508996350420152e-06,5.3180179521608275e-05,2.2544981752100757e-05,0.0002659008976080414,4.5089963504201514e-05,0.0005318017952160828,0.00022544981752100758,0.002659008976080414
20260226,601089.SH,18.48993441876051,0.1560973094509705,1244.7537656228596,-0.0028184840029272,107170803.00000016,16729074.000000022,9.330899573459373e-05,0.0005977617171159615,0.0004665449786729686,0.0029888085855798077,0.0009330899573459372,0.005977617171159615,0.004665449786729686,0.029888085855798077
