environment_type,environment,rows,days,selected_trades,selected_days,avg_candidates_per_day,min_candidates_per_day,auc,trade_win_rate,daily_win_rate,avg_trade_return,avg_daily_return,cumulative_return,max_drawdown,profit_factor
market_direction,market_down,91335,31,310,31,2946.2903225806454,2872,0.532869581666863,0.4774193548387097,0.5483870967741935,0.002179976904040969,0.002179976904040969,0.06736245984078004,-0.039795789727081754,1.2676125993863716
market_direction,market_up,79170,27,270,27,2932.222222222222,2883,0.5539028816806235,0.4111111111111111,0.48148148148148145,-0.0002845980127185034,-0.00028459801271850317,-0.01035450659546211,-0.05910506342378019,0.9688980205641688
volume_regime,market_high_amount,85067,29,290,29,2933.344827586207,2872,0.5471306873885774,0.43103448275862066,0.4482758620689655,0.0009555017608695066,0.0009555017608695068,0.026290788945523502,-0.033132624465722293,1.1128273327637161
volume_regime,market_low_amount,85438,29,290,29,2946.137931034483,2883,0.5041315463967365,0.46206896551724136,0.5862068965517241,0.0011098478143674053,0.0011098478143674055,0.02925063694270369,-0.07803784587404472,1.1267164355013195
volatility_regime,high_tail_vol_proxy,85314,29,290,29,2941.862068965517,2872,0.5539816890152748,0.45517241379310347,0.5172413793103449,0.0011404122127392398,0.0011404122127392396,0.030941067455536375,-0.046688197630119,1.1385056886871203
volatility_regime,low_tail_vol_proxy,85191,29,290,29,2937.6206896551726,2893,0.5281413144882307,0.4379310344827586,0.5172413793103449,0.0009249373624976719,0.0009249373624976722,0.024607983478326156,-0.05253975975039615,1.1028446568752597
