metric,date,value
max_gain_day,20260407,0.03133403000173744
max_loss_day,20260306,-0.03382598351049494
top3_gain_sum,,0.08020081399712556
top5_gain_sum,,0.12261782490799344
cum_without_top1_gain,,0.024217583714201796
cum_without_top3_gain,,-0.024056056257853675
cum_without_top5_gain,,-0.06417169996849015
