run,avg_daily_return,cumulative_return,daily_win_rate,max_drawdown
0,-0.0009771860109538957,-0.05909856687339565,0.46551724137931033,-0.09209868595657766
1,-0.0009162246453649536,-0.055838318429610956,0.43103448275862066,-0.08676140252101605
2,-0.002258531007180759,-0.12609413070049547,0.3620689655172414,-0.13888367576287342
3,8.339213418324265e-05,0.0005149195857139244,0.4827586206896552,-0.050362086135730566
4,-0.00174742179634653,-0.10008691617392873,0.41379310344827586,-0.11945780661803773
5,-0.0008675044129243283,-0.05328822515175102,0.46551724137931033,-0.1069121647112532
6,-0.00036266252599913946,-0.024598359190295738,0.5344827586206896,-0.08611209666741126
7,-0.0008571947849379722,-0.052729833313430285,0.41379310344827586,-0.10072222378960782
8,-0.0018821619585759441,-0.1067927256943173,0.43103448275862066,-0.15699868176551635
9,-0.0031817458802920365,-0.17241447747341088,0.39655172413793105,-0.17798178512013862
10,-0.0010545502872969308,-0.06303382990504769,0.43103448275862066,-0.09034719345848174
11,-0.0013548304838487226,-0.07954956048469675,0.4827586206896552,-0.10544264126839209
12,-0.0023960343457929407,-0.13402966054204202,0.43103448275862066,-0.14846348241557783
13,-0.0019569651635978295,-0.11045379453149362,0.39655172413793105,-0.12442523176270626
14,-0.0009059260740547687,-0.054376048720161996,0.4482758620689655,-0.10129975929185231
15,-0.0010526249359596805,-0.06280491012120859,0.4827586206896552,-0.09817430905729307
16,-0.0005710683758621422,-0.03625897715513304,0.46551724137931033,-0.08742472014333302
17,-0.0008818792504331622,-0.05272634428121281,0.3793103448275862,-0.1006044018479636
18,0.0009308409529623891,0.050560488321078845,0.5344827586206896,-0.06747639098785241
19,-0.000970144804166368,-0.05820656688347137,0.4482758620689655,-0.11902957096152966
20,-0.0012987293543585392,-0.07675628885584462,0.43103448275862066,-0.11968251017714926
21,-0.0011108308410224955,-0.06599638037060296,0.43103448275862066,-0.09264342552566274
22,-0.001874155009630637,-0.1067248724819494,0.39655172413793105,-0.1251360328180292
23,-0.0017179603261978948,-0.09773638398179008,0.4482758620689655,-0.10282508146520486
24,-0.0017643219849550861,-0.10039516425521089,0.41379310344827586,-0.1483060760891205
25,-0.0014851016531156592,-0.0857855109841692,0.4482758620689655,-0.11118685062717748
26,-0.0021487065993827043,-0.1200707520576001,0.4482758620689655,-0.1401742365084908
27,-0.0015993756522713451,-0.09255860021370343,0.39655172413793105,-0.11877524180796961
28,-0.0016816412491676052,-0.09634422157133493,0.4482758620689655,-0.11417173888587184
29,-0.001836088324568388,-0.1044045444901015,0.41379310344827586,-0.1102273668485042
30,-0.001933063690207274,-0.10997552586247994,0.4482758620689655,-0.12471436574278216
31,-0.0030014822279061924,-0.16265795449430087,0.3793103448275862,-0.1769165951348054
32,-0.0025857144546437612,-0.14215540835445029,0.41379310344827586,-0.1405784972767392
33,-0.00046144021978881267,-0.030583602725400172,0.5172413793103449,-0.0797886419029118
34,-0.0027490392069958957,-0.150141536332835,0.41379310344827586,-0.16227895933971048
35,-0.0014274805848322801,-0.083182135435383,0.3793103448275862,-0.09071181158320407
36,-0.0008806163670284233,-0.052589228661356846,0.4482758620689655,-0.10574468820284033
37,-0.002288724509112995,-0.12818794250382115,0.41379310344827586,-0.13370560996336756
38,-0.0021230304058928906,-0.11909601495413336,0.4827586206896552,-0.12015431581693692
39,-0.0018673340579268404,-0.10562422992568454,0.43103448275862066,-0.11526975614298529
40,-0.0018224013170552679,-0.10419199914946209,0.46551724137931033,-0.11286681281020627
41,-0.0014227526816657527,-0.08311957265763992,0.43103448275862066,-0.13085961788131972
42,-0.0006368209392385551,-0.03874232673455724,0.4827586206896552,-0.07385093988268976
43,-0.0010253751622672804,-0.061639314344841045,0.5,-0.07505170525347371
44,-0.0028712572661077386,-0.1569836123340712,0.3620689655172414,-0.16724920631500562
45,-0.002794344865901509,-0.1539724699866193,0.41379310344827586,-0.1712380281000795
46,-0.00146971505983384,-0.08510286074856432,0.43103448275862066,-0.10973861593705381
47,-0.0013006734730739032,-0.07766968746527148,0.43103448275862066,-0.09116879337192019
