trade_date,daily_return,equity,drawdown
20260305,0.017398914538842392,1.0176614908478598,0.0
20260306,-0.03382598351049494,0.9832380900391744,-0.03382598351049493
20260309,0.02492024336191525,1.0077406225256555,-0.009748691889617245
20260310,-0.00391360132775015,1.0037967274873114,-0.013624140723844325
20260311,-0.00332423503678779,1.0004598712359851,-0.016903085914691807
20260312,-0.0034238395763923095,0.997034457134255,-0.02026905203656626
20260313,-0.0018513241955833003,0.9951886231199321,-0.02208285164569268
20260316,0.0007551812003477905,0.9959401708589123,-0.021344346999757735
20260317,0.006010881468930809,1.0019266491760919,-0.015461763870674328
20260318,-0.01667397076504956,0.9852205535190056,-0.03187792563696812
20260319,0.0015273361975130196,0.9867253165329289,-0.030399277749182163
20260320,-0.03200162824990173,0.9551484997684756,-0.06142807961348895
