score_decile,samples,avg_target_return,win_rate,cumulative_return_equal_decile_daily,max_drawdown,profit_factor
1,17078,-0.0027561942768978666,0.34963110434477107,-0.14891850797530393,-0.15653240166889015,0.6341020669857556
2,17047,-0.002142855304658789,0.3841731682994075,-0.11861543991491708,-0.1274809944832216,0.768182166059378
3,17040,-0.0018684101310481173,0.3928403755868545,-0.10497713139705334,-0.11283328780077928,0.8066566482050788
4,17047,-0.001763837979010371,0.4019475567548542,-0.09930254674295358,-0.10830967051566043,0.8224040636706116
5,17055,-0.0012861379993338673,0.41084725886836704,-0.07444787890516391,-0.08162290659577054,0.8685739810983566
6,17035,-0.0012482071437599294,0.41878485471088933,-0.0722790011305382,-0.08514359640013047,0.8725987979495481
7,17041,-0.0015209459269876005,0.4170529898480136,-0.08688397131333325,-0.09826841918453388,0.8469017706181216
8,17046,-0.0008915587058752843,0.42702100199460286,-0.05318619380840628,-0.086376791269003,0.9086333627586257
9,17041,-0.0010252219790053774,0.4267942022181797,-0.06035386531257614,-0.09371397345302912,0.8929706837789622
10,17075,-0.0010300138730425113,0.4301610541727672,-0.0607748871656596,-0.08018609855707448,0.8899366962142471
