ts_code,trade_date,target_return,target_return_before_repair,target_return_after_repair,delta
300065.SZ,20250123,0.001643059203428221,0.2024228616113226,0.001643059203428221,-0.2007798024078944
301316.SZ,20250430,0.0024677780822586204,0.20296133369871017,0.0024677780822586204,-0.20049355561645155
688585.SH,20250701,-0.0012246374204505361,0.19904425373403778,-0.0012246374204505361,-0.20026889115448832
300111.SZ,20250905,0.003117969370586504,0.20333708019253827,0.003117969370586504,-0.20021911082195176
300277.SZ,20241025,0.002419649619253894,0.20256999563308176,0.002419649619253894,-0.20015034601382786
300291.SZ,20251215,-0.003007129987420143,0.1971396563002834,-0.003007129987420143,-0.20014678628770355
300067.SZ,20260407,0.001567102721734548,0.2014047194168076,0.001567102721734548,-0.19983761669507305
300427.SZ,20240930,-0.004757542652642055,0.19507460429505574,-0.004757542652642055,-0.1998321469476978
300620.SZ,20250728,-0.0007687794702375683,0.19900488564747976,-0.0007687794702375683,-0.19977366511771733
301213.SZ,20251219,-0.0017234264042372827,0.19793188831491526,-0.0017234264042372827,-0.19965531471915254
300710.SZ,20251203,-0.005146108963673068,0.1939793297785377,-0.005146108963673068,-0.19912543874221078
688228.SH,20250808,-0.0048245466207200716,0.19421031851647053,-0.0048245466207200716,-0.1990348651371906
300131.SZ,20251024,-0.006030206612206768,0.19241557998419911,-0.006030206612206768,-0.19844578659640588
300781.SZ,20241022,-0.00862546798025643,0.18958980859011443,-0.00862546798025643,-0.19821527657037086
300051.SZ,20250403,-0.0017441041609326247,0.19355592038607927,-0.0017441041609326247,-0.1953000245470119
688109.SH,20250917,-0.0005072864985281589,0.18561629330523588,-0.0005072864985281589,-0.18612357980376404
300442.SZ,20260205,0.0043825294613917265,0.15821670400883314,0.0043825294613917265,-0.15383417454744142
300046.SZ,20250612,-0.0009425270868055335,0.14754402453449678,-0.0009425270868055335,-0.1484865516213023
300672.SZ,20250521,-0.000700798040264905,0.14633730295070024,-0.000700798040264905,-0.14703810099096515
688521.SH,20250828,0.003927484564630435,0.1509299673801805,0.003927484564630435,-0.14700248281555006
688037.SH,20250305,-0.005377266481032983,0.131326483792652,-0.005377266481032983,-0.13670375027368498
688368.SH,20241021,0.011384789281370766,0.14195111777537606,0.011384789281370766,-0.1305663284940053
688591.SH,20250822,0.002756757324932746,0.12560097757849764,0.002756757324932746,-0.1228442202535649
300959.SZ,20250619,0.0009184185194508476,0.12360339042891999,0.0009184185194508476,-0.12268497190946914
688766.SH,20251124,-0.00036831926618519084,0.118606082955931,-0.00036831926618519084,-0.1189744022221162
300943.SZ,20250304,-0.0013887420723973642,0.104714365082474,-0.0013887420723973642,-0.10610310715487137
688313.SH,20250627,-0.005053164481143457,0.09968709102953732,-0.005053164481143457,-0.10474025551068078
002969.SZ,20251209,0.03460462317428736,0.13897263340678112,0.03460462317428736,-0.10436801023249376
600157.SH,20240724,0.03018592732425107,0.13320448436714094,0.03018592732425107,-0.10301855704288987
300185.SZ,20250429,-0.0004925979269890801,0.10213436685709709,-0.0004925979269890801,-0.10262696478408617
000407.SZ,20251027,0.006247137870879049,0.1074043059979477,0.006247137870879049,-0.10115716812706865
002277.SZ,20241126,-0.00566046280977206,0.09525757977072868,-0.00566046280977206,-0.10091804258050074
600933.SH,20250103,0.003498835611139617,0.10411349459062058,0.003498835611139617,-0.10061465897948096
002490.SZ,20250429,-0.007777766655156282,0.09270043418989116,-0.007777766655156282,-0.10047820084504744
002251.SZ,20250417,-0.001998501124156782,0.09845683045360132,-0.001998501124156782,-0.1004553315777581
002370.SZ,20250926,-0.0010940566696374665,0.09932505932653646,-0.0010940566696374665,-0.10041911599617392
002527.SZ,20250207,-0.0017603047779215508,0.09855540843651389,-0.0017603047779215508,-0.10031571321443544
600250.SH,20241115,-0.002071219699728011,0.09813920175301893,-0.002071219699728011,-0.10021042145274695
600721.SH,20260330,-0.00012068479989923997,0.10006381415164478,-0.00012068479989923997,-0.10018449895154402
001212.SZ,20250327,0.000572113148291864,0.10073187712248055,0.000572113148291864,-0.10015976397418869
000603.SZ,20241018,-4.2206895907948017e-05,0.10010084160347077,-4.2206895907948017e-05,-0.10014304849937872
600499.SH,20260114,0.00024154222036365525,0.10036667968345525,0.00024154222036365525,-0.1001251374630916
001331.SZ,20251204,-0.002156788188836245,0.09796582267350051,-0.002156788188836245,-0.10012261086233676
000695.SZ,20250429,0.0007966068692641937,0.1008762675561905,0.0007966068692641937,-0.10007966068692631
600482.SH,20241025,-0.0010756495348380746,0.0989863821755943,-0.0010756495348380746,-0.10006203171043238
000958.SZ,20240927,-0.0018591341163334274,0.09819899669352061,-0.0018591341163334274,-0.10005813080985404
000777.SZ,20241227,-0.0011139573510677847,0.09894048300280955,-0.0011139573510677847,-0.10005444035387734
603887.SH,20240930,-0.0010345259465092127,0.09899719946615448,-0.0010345259465092127,-0.1000317254126637
603496.SH,20250916,-0.0016065355828870365,0.09838760054323004,-0.0016065355828870365,-0.09999413612611707
600095.SH,20250314,-0.0015276415451798142,0.09846451046263227,-0.0015276415451798142,-0.09999215200781209
002155.SZ,20260109,-0.0016623770096201307,0.09830175620904025,-0.0016623770096201307,-0.09996413321866038
600208.SH,20250729,0.004481902157440043,0.10444247979932131,0.004481902157440043,-0.09996057764188127
