trade_date,date,ts_code,entry_vwap,exit_time,exit_reason,target_return,target_win,ret_to_prev_close_1450,intraday_ret_1450,tail_ret_1420_1450,tail_ret_1430_1450,late_ret_1445_1450,afternoon_ret_1305_1450,vwap_pos_1450,close_to_high_sofar,close_to_low_sofar,range_sofar,tail_amount_share,tail_amount_vs_prev20,amount_sofar_log,open_gap,prev_ret_1d,prev_ret_3d,prev_ret_5d,prev_volatility_20d,prev_amount_ratio_5_20,open_auction_ret,open_auction_amount_log,prev_close_auction_ret,prev_close_auction_amount_log,prev_net_mf_amount_ratio,prev_elg_net_amount_ratio,prev_ths_net_amount_ratio,price_vs_ma5_prev,price_vs_ma10_prev,price_vs_ma20_prev,liquidity_rank,market_ret_median_1450,market_breadth_positive,market_tail_ret_median,market_tail_breadth_positive,market_amount_log,extreme_side,name,industry,market,list_date,is_st
20250728,2025-07-28,002594.SZ,338.74560298293636,09:40,stop_loss,-0.6694788101062326,0,0.0013316367295002074,0.0019839507269552303,0.005527160347081894,0.004303564538628235,0.0011242603550296604,0.005616808820469998,0.003986219656806345,-0.0003545051698671253,0.008494024379340326,0.00885166751110189,0.14571039196998115,1012.5376357223987,21.956582686183342,-0.000651022401089052,-0.013976423902894552,-0.011004126547455306,0.02679955030233061,0.011645054437991915,0.24637816003582524,-0.00038469505518889946,17.74525487409424,0.0,20.59768073586326,-0.024825797778327798,-0.02261891614489466,-0.02482576189403927,-0.0015520527815973129,0.02016328401046752,0.024959108257103013,89,0.0,0.48853132488873674,0.0016550202280249948,0.7045532351934269,27.905937688628917,negative,比亚迪,汽车整车,主板,20110630,False
20240613,2024-06-13,300580.SZ,27.32754382072332,09:40,stop_loss,-0.3757604050807828,0,0.012222222222222134,0.02015677491601342,-0.002918642831083562,0.002567865003668235,-0.00036576444769576,-0.001461454146876262,0.004850809232237907,-0.018671454219030603,0.03955876759224042,0.05933815138836063,0.06080861381837958,1004.3306558665822,19.635092399291015,-0.007777777777777772,0.03053435114503822,0.033295063145809545,0.007086907870197834,0.030445693722149992,0.09645954602872187,-0.007407407407407418,14.277777460775786,0.0,17.54614943171821,0.003263511552644278,0.0016141165551775006,,0.038926480650802064,0.05216554379210758,0.06648456172869621,2590,-0.007393401370054509,0.3304380664652568,0.0,0.4176737160120846,27.081548838796696,negative,贝斯特,汽车配件,创业板,20170111,False
20240620,2024-06-20,301548.SZ,88.52834688346883,09:40,stop_loss,-0.37178080696817795,0,-0.06259298618490972,-0.02637969094922743,0.004097894137734759,0.004784143979952082,0.00811428571428574,-0.016610925306577595,-0.004396293198397627,-0.04129985871100983,0.018591224018475794,0.062471131639723065,0.10025215279586437,1393.5678814075752,19.463581127024028,-0.03719447396386821,0.07285372249458444,0.2950729424717864,0.4604997671891973,0.06877514581435612,0.7626416205131226,-0.028905419766206197,15.731698176575312,0.0,18.264767619064163,0.006630107197078545,0.007236692885075056,,0.08534094544380744,0.2689712715607151,0.3708060731324494,2650,-0.021038198787645512,0.17138599105812222,-0.0012376256580629574,0.264903129657228,27.0273813245225,negative,崇德科技,机械基件,创业板,20230920,False
20260507,2026-05-07,688256.SH,1866.845864803073,09:40,stop_loss,-0.36398078282902313,0,0.020816438356164424,0.02287901082731203,-0.009158551438403162,-0.010384905500015917,-0.0002468539536880643,0.013546670728854515,0.006226273477220934,-0.011954198554252615,0.03915104863900054,0.05172356091030794,0.09708203350036973,1357.1690045826344,23.69003772772171,-0.002016438356164385,0.07355467187463227,0.3277555474718079,0.34935304990757854,0.047725030544965276,0.4706217641907533,-3.2876712328766544e-05,19.184448747580056,0.0,22.772623555155523,-0.006188559023251491,-0.0011488455585966565,-0.006195987532832967,0.21402067821306647,0.2943264012739073,0.4066931923763315,9,0.008623001128853836,0.6577686516084873,0.0003033674569957734,0.5112936344969199,28.560933916713555,negative,寒武纪,半导体,科创板,20200720,False
20260515,2026-05-15,688332.SH,131.63342693315084,09:40,stop_loss,-0.3522592979446757,0,-0.008562415502478493,-0.004900113079532642,-0.0051251130539644585,0.0038022813688212143,0.00022732439190731313,-0.006024096385542244,0.005512232689218743,-0.014042426053181956,0.027157419656058,0.041786631390553275,0.08879127985180471,1004.8749778794772,19.797494899592834,-0.003680336487907332,-0.007750782530928757,0.11321070234113706,0.1589484679665738,0.03498026934178743,0.4850669970453121,-0.003680336487907332,14.302708636753966,0.0,18.196867156714212,-0.016562706433017063,0.0025687616296979723,-0.01656273621541529,0.05144095203198917,0.0908279549455,0.062357145156617166,1063,-0.009557945041816063,0.31832035218421945,0.0009523809523810378,0.5706061632238402,28.65609315421635,negative,中科蓝讯,半导体,科创板,20220715,False
20260520,2026-05-20,301319.SZ,134.04922934933086,09:40,stop_loss,-0.35220291103077284,0,0.13814783347493642,0.10674157303370779,0.000971381603526833,0.013849996215848037,0.0002239976106921393,0.09462330446151346,0.057791958204597815,-0.00763019482924665,0.1399880861203302,0.1487532975916943,0.08969007267082028,1392.3733085278493,21.070123466415403,0.028377230246389162,0.009087791495199005,0.16707982151710477,0.2204479469099958,0.07209984704062723,0.31710894125113454,0.01954120645709434,17.22250294675747,0.0,18.934343780612394,0.006215825162373257,-0.002326657429000241,0.006216053955787619,0.23349477910167393,0.33243151843084195,0.5501579550319962,2182,-0.011272141706924366,0.32085743450153115,0.0015847860538829028,0.6594079618918,28.501319150646147,negative,唯特偶,元器件,创业板,20220929,False
20250520,2025-05-20,301600.SZ,167.70465201465203,09:40,stop_loss,-0.35173105719245146,0,0.0077430972388954356,0.0113855421686746,-0.005390995260663667,-0.0012492563950030622,0.00023830801310698035,0.018564581690226234,0.014925785047743778,-0.009498525073746378,0.03629405592247381,0.046231714091722775,0.10280463948026634,732.0749029355846,19.210006736946056,-0.0036014405762304635,-0.011041196723257873,0.031259671928195454,0.025609455799064262,0.051390260324385206,-0.23979246973965196,-0.0036014405762304635,13.704536493560427,0.0,17.51117414074967,-0.01365642963591406,-0.0008483023393877206,-0.01365646336965325,0.022646979996588934,0.02117280684147449,-0.003090662399316102,2051,0.0035320425654014054,0.6313061506565307,0.0,0.3956461644782308,27.416106627290084,negative,慧翰股份,通信设备,创业板,20240911,False
20240613,2024-06-13,000567.SZ,9.39798424446397,09:40,stop_loss,-0.3482608154386665,0,-0.010537407797681753,-0.012618296529968376,0.004278074866310266,0.002134471718249875,0.002134471718249875,0.005353319057815886,0.004835306787845051,-0.014690451206715527,0.012944983818770295,0.028047464940668787,0.09761764188569493,1135.4318649326535,17.956178413336303,0.0021074815595363283,-0.01556016597510379,0.011727078891258014,-0.021649484536082397,0.011931615462927505,0.18389030655255523,0.0021074815595363283,11.841127886451838,0.0,16.84190013891989,-0.018012156975817793,0.0025996012510388056,,-0.014276716355238195,-0.027245415932870554,-0.039631807721810186,2144,-0.007393401370054509,0.3304380664652568,0.0,0.4176737160120846,27.081548838796696,negative,海德股份,多元金融,主板,19940525,False
20240701,2024-07-01,688120.SH,187.80467100633356,09:40,stop_loss,-0.3420176289969076,0,-0.009336427893237742,-0.009336427893237742,0.004331550802139095,0.004385261243916805,0.003258547008547108,0.021872789596822484,0.010634674601487593,-0.020802919708029277,0.0313563975837452,0.05326743547501378,0.061893452385209116,562.354317751894,19.436030789745416,0.0,-0.019701122084906042,-0.024242112306346097,-0.06610837438423645,0.019791648084633465,-0.004011185043662824,0.002215423567886843,13.090090154453977,0.0,17.828164388878694,0.00438146428739483,-0.002101289269721434,,-0.03697056712132096,-0.0533722448197822,-0.03503093080132347,527,0.005520029584200725,0.610248447204969,0.0,0.453804347826087,26.920717741969412,negative,华海清科,半导体,科创板,20220608,False
20250529,2025-05-29,301031.SZ,116.31465425531916,09:40,stop_loss,-0.3374647387363725,0,0.008422332204567118,0.003629450397511169,0.0007755277897458779,0.0015522593997931988,-0.0009462365591398347,0.0012068965517242347,-0.00039094758263502616,-0.011910838863365747,0.008334780343809634,0.02048966834519872,0.06898530080404064,547.3856481841092,18.185231042883945,0.0047755491881567025,-0.012348855158219707,-0.033322142017794154,-0.052956171367486204,0.017815295692301822,0.03444793663739021,0.005470174524615734,12.614466793144217,0.0,16.08281776360155,-0.0022125001744528723,-0.00125452553227952,-0.0022125001744528723,-0.018706592088142293,-0.040862843551797146,-0.05386084895092935,1508,0.01200000000000001,0.8034843205574913,0.0,0.4484320557491289,27.42588920832761,negative,中熔电气,电气设备,创业板,20210715,False
