cost_case,rows,days,selected_trades,selected_days,avg_candidates_per_day,min_candidates_per_day,auc,trade_win_rate,daily_win_rate,avg_trade_return,avg_daily_return,cumulative_return,max_drawdown,profit_factor
no_cost,170505,58,580,58,2939.7413793103447,2872,0.5334428792730082,0.4810344827586207,0.5862068965517241,0.0030372458510228633,0.003037245851022863,0.1862667287724813,-0.040949691979037195,1.4018021756548045
basic_cost_no_slippage,170505,58,580,58,2939.7413793103447,2872,0.5334428792730082,0.4689655172413793,0.5517241379310345,0.0020344593018091412,0.0020344593018091412,0.11940429529870711,-0.05104417973651132,1.2518629990889827
base_5bp_slippage,170505,58,580,58,2939.7413793103447,2872,0.5334428792730082,0.44655172413793104,0.5172413793103449,0.0010326747876184767,0.0010326747876184769,0.0563104482106116,-0.06142807961348873,1.119888709620435
10bp_slippage,170505,58,580,58,2939.7413793103447,2872,0.5334428792730082,0.4362068965517241,0.46551724137931033,3.189080727459117e-05,3.1890807274591157e-05,-0.003227249600176618,-0.07266548976260367,1.003480207336016
20bp_slippage,170505,58,580,58,2939.7413793103447,2872,0.5334428792730082,0.41206896551724137,0.3793103448275862,-0.001966681541598857,-0.001966681541598857,-0.11242472974811923,-0.13245101003646953,0.8090038424362932
