stat,avg_daily_return,cumulative_return,daily_win_rate,max_drawdown
mean,-0.0015438676565373863,-0.08797488791724868,0.42782758620689654,-0.11698113748610486
median,-0.0015770838808683543,-0.09073749288151223,0.43103448275862066,-0.11436123178788543
min,-0.004268456512870761,-0.22344494375786528,0.27586206896551724,-0.23033087466608038
max,0.0012469841801416727,0.07125213656992302,0.5862068965517241,-0.033019823475543775
q05,-0.0030051401338907846,-0.16278238365804187,0.3448275862068966,-0.17931782006064312
q95,-2.0524415837090807e-05,-0.005151574928136384,0.5172413793103449,-0.06862012658665564
model_percentile_cumulative_return,,0.999,,
