variant,label,features,regime,train_rows,validation_rows,train_positive_rate,validation_positive_rate,trading_days,cash_days,auc,trade_win_rate,daily_win_rate,avg_daily_return,cumulative_return,max_drawdown,profit_factor
v1_event_clean_win_label,label_win,34,False,1154259,170554,0.3984720933516654,0.4058538644652134,58,0,0.5325692065733892,0.4482758620689655,0.5172413793103449,0.0005061819620697,0.0247946381965891,-0.0830360841197931,1.0679779317707796
v2_event_clean_strong_label_003,label_static_003,34,False,1154259,170554,0.3441506628928169,0.362342718435217,58,0,0.5324916235114905,0.4551724137931034,0.5517241379310345,0.0001216428003227,0.0010558713848847,-0.1173608197935216,1.012467042283056
v3_event_clean_dynamic_amp10,label_dynamic_amp10,34,False,1154259,170554,0.3312766025649356,0.3507862612427735,58,0,0.5220783505923031,0.443103448275862,0.4827586206896552,0.0005578915303315,0.0260669723992608,-0.1054265687042969,1.0638742112176272
v4_strong_label_resonance_industry,label_static_003,43,False,1154259,170554,0.3441506628928169,0.362342718435217,58,0,0.5273325499079037,0.4655172413793103,0.4655172413793103,0.0002976843770752,0.0131668806651987,-0.0943335821442281,1.0325755148532845
v5_strong_label_resonance_industry_regime,label_static_003,43,True,1154259,170554,0.3441506628928169,0.362342718435217,39,19,0.5273325499079037,0.4435897435897435,0.293103448275862,6.007801443822733e-06,-0.0024236294483724,-0.0705244199497618,1.0009064020576983
v6_cap20_win_label,label_win,34,False,1153918,170505,0.3985075195984463,0.4059177150230199,58,0,0.5227127626985946,0.443103448275862,0.5172413793103449,0.0003798006563466,0.0179395347433559,-0.0821445706534532,1.0559420561600843
v7_cap20_strong_label_003,label_static_003,34,False,1153918,170505,0.3441700363457369,0.362394064690185,58,0,0.5334428792730082,0.446551724137931,0.5172413793103449,0.0010326747876184,0.0563104482106096,-0.0614280796134892,1.1198887096204315
v8_cap20_strong_label_resonance_industry,label_static_003,43,False,1153918,170505,0.3441700363457369,0.362394064690185,58,0,0.538719270905529,0.4482758620689655,0.4310344827586206,-0.0001541142055256,-0.0143330844624448,-0.0853620679493107,0.9830505556418944
