ts_code,name,industry,signals,win_rate,avg_return,sum_return,portfolio_contribution
001270.SZ,铖昌科技,半导体,9,0.8888888888888888,0.030388161382795764,0.2734934524451619,0.02734934524451619
688500.SH,慧辰股份,互联网,6,0.6666666666666666,0.025354061990243686,0.1521243719414621,0.015212437194146212
603268.SH,松发股份,船舶,4,0.75,0.02691664187218945,0.1076665674887578,0.01076665674887578
002300.SZ,太阳电缆,电气设备,1,1.0,0.1000330601049406,0.1000330601049406,0.01000330601049406
605299.SH,舒华体育,文教休闲,1,1.0,0.0951152003028228,0.0951152003028228,0.009511520030282281
301529.SZ,福赛科技,汽车配件,1,1.0,0.0782495225790067,0.0782495225790067,0.007824952257900671
002865.SZ,钧达股份,电气设备,1,1.0,0.0763051096756706,0.0763051096756706,0.0076305109675670595
000659.SZ,珠海中富,广告包装,1,1.0,0.0756068313394888,0.0756068313394888,0.00756068313394888
002036.SZ,联创电子,元器件,1,1.0,0.0696080023710719,0.0696080023710719,0.006960800237107189
688399.SH,硕世生物,医疗保健,4,1.0,0.01699253496215655,0.0679701398486262,0.00679701398486262
603026.SH,石大胜华,化工原料,1,1.0,0.0658796127373984,0.0658796127373984,0.00658796127373984
301550.SZ,斯菱智驱,汽车配件,1,1.0,0.0657222231804461,0.0657222231804461,0.00657222231804461
301218.SZ,华是科技,软件服务,1,1.0,0.0624607829573051,0.0624607829573051,0.00624607829573051
603358.SH,华达科技,汽车配件,1,1.0,0.0610937185598612,0.0610937185598612,0.006109371855986119
688323.SH,瑞华泰,塑料,1,1.0,0.0606204668120575,0.0606204668120575,0.00606204668120575
002545.SZ,东方铁塔,农药化肥,1,1.0,0.0578801655785752,0.0578801655785752,0.00578801655785752
605086.SH,龙高股份,矿物制品,2,1.0,0.0288122105221733,0.0576244210443466,0.00576244210443466
301077.SZ,星华新材,化工原料,2,1.0,0.02848259131974205,0.0569651826394841,0.00569651826394841
003033.SZ,征和工业,汽车配件,3,1.0,0.018754178471891966,0.0562625354156759,0.00562625354156759
600173.SH,卧龙新能,全国地产,2,1.0,0.02563749550683445,0.0512749910136689,0.0051274991013668895
605179.SH,一鸣食品,乳制品,2,1.0,0.024854646640783698,0.049709293281567396,0.004970929328156739
300177.SZ,中海达,通信设备,1,1.0,0.045782394125138,0.045782394125138,0.0045782394125138005
002647.SZ,仁东控股,多元金融,1,1.0,0.045754733552308,0.045754733552308,0.0045754733552308
301380.SZ,挖金客,软件服务,2,1.0,0.022712864126389502,0.045425728252779005,0.004542572825277901
300600.SZ,国瑞科技,船舶,1,1.0,0.0451450142550806,0.0451450142550806,0.00451450142550806
603344.SH,星德胜,电气设备,2,1.0,0.02237298665294845,0.0447459733058969,0.00447459733058969
002015.SZ,协鑫能科,新型电力,1,1.0,0.0433321275692824,0.0433321275692824,0.00433321275692824
300982.SZ,苏文电能,建筑工程,1,1.0,0.0428867184937342,0.0428867184937342,0.00428867184937342
688663.SH,新风光,电气设备,1,1.0,0.0403518296546665,0.0403518296546665,0.00403518296546665
301160.SZ,翔楼新材,机械基件,1,1.0,0.0395232221292984,0.0395232221292984,0.00395232221292984
