ts_code,name,industry,market,list_date,avg_amount,days,liquidity_rank,rank_start,rank_end
300835.SZ,龙磁科技,矿物制品,创业板,20200525,319874.6743833333,60,1623,20251120,20260213
002725.SZ,跃岭股份,汽车配件,主板,20140129,319806.33163333335,60,1624,20251120,20260213
300360.SZ,炬华科技,电器仪表,创业板,20140121,318792.45966666663,60,1625,20251120,20260213
000778.SZ,新兴铸管,钢加工,主板,19970606,318721.4034666667,60,1626,20251120,20260213
300925.SZ,法本信息,软件服务,创业板,20201230,318361.4786166667,60,1627,20251120,20260213
600072.SH,中船科技,电气设备,主板,19970603,317923.17901666666,60,1628,20251120,20260213
300945.SZ,曼卡龙,服饰,创业板,20210210,317581.17295,60,1629,20251120,20260213
301201.SZ,诚达药业,生物制药,创业板,20220120,317575.70905,60,1630,20251120,20260213
000670.SZ,盈方微,元器件,主板,19961217,317398.45114,50,1631,20251120,20260213
301330.SZ,熵基科技,IT设备,创业板,20220817,317184.20211666665,60,1632,20251120,20260213
603353.SH,和顺石油,石油贸易,主板,20200407,316671.9879666667,60,1633,20251120,20260213
000756.SZ,新华制药,化学制药,主板,19970806,316413.27558333334,60,1634,20251120,20260213
001298.SZ,好上好,元器件,主板,20221031,316245.10768333334,60,1635,20251120,20260213
601700.SH,风范股份,电气设备,主板,20110118,316185.2424,60,1636,20251120,20260213
301449.SZ,天溯计量,电器仪表,创业板,20251223,315943.5242972973,37,1637,20251120,20260213
688510.SH,航亚科技,航空,科创板,20201216,315251.7102166667,60,1638,20251120,20260213
300872.SZ,天阳科技,软件服务,创业板,20200824,314828.7356166666,60,1639,20251120,20260213
002416.SZ,爱施德,电器连锁,主板,20100528,314524.64673333336,60,1640,20251120,20260213
600258.SH,首旅酒店,酒店餐饮,主板,20000601,314045.7318333333,60,1641,20251120,20260213
600808.SH,马钢股份,普钢,主板,19940106,313805.33101666666,60,1642,20251120,20260213
300487.SZ,蓝晓科技,化工原料,创业板,20150702,313754.11096666666,60,1643,20251120,20260213
603191.SH,望变电气,电气设备,主板,20220428,313160.2656666667,60,1644,20251120,20260213
300533.SZ,冰川网络,互联网,创业板,20160818,312951.1393166667,60,1645,20251120,20260213
300640.SZ,德艺文创,家居用品,创业板,20170417,312489.60891666665,60,1646,20251120,20260213
300617.SZ,安靠智电,电气设备,创业板,20170228,312464.87378333334,60,1647,20251120,20260213
301487.SZ,盟固利,化工原料,创业板,20230809,312356.09105,60,1648,20251120,20260213
600654.SH,中安科,仓储物流,主板,19901219,312297.61213333334,60,1649,20251120,20260213
688790.SH,昂瑞微-UW,半导体,科创板,20251216,312130.7386666667,42,1650,20251120,20260213
300157.SZ,新锦动力,专用机械,创业板,20110107,311847.6136,60,1651,20251120,20260213
002243.SZ,力合科创,广告包装,主板,20080528,311403.27828333335,60,1652,20251120,20260213
300591.SZ,万里马,服饰,创业板,20170110,311275.84905,60,1653,20251120,20260213
000099.SZ,中信海直,空运,主板,20000731,311149.94506666664,60,1654,20251120,20260213
600378.SH,昊华科技,化工原料,主板,20010111,310936.62203333335,60,1655,20251120,20260213
001386.SZ,马可波罗,家居用品,主板,20251022,310804.53245,60,1656,20251120,20260213
603225.SH,新凤鸣,化纤,主板,20170418,310751.05351666664,60,1657,20251120,20260213
000682.SZ,东方电子,电气设备,主板,19970121,310321.74330000003,60,1658,20251120,20260213
600478.SH,科力远,电气设备,主板,20030918,310213.6709666667,60,1659,20251120,20260213
300895.SZ,铜牛信息,软件服务,创业板,20200924,310213.66278333333,60,1660,20251120,20260213
688783.SH,西安奕材-U,半导体,科创板,20251028,310205.5620333333,60,1661,20251120,20260213
688456.SH,有研粉材,铜,科创板,20210317,309949.68881666666,60,1662,20251120,20260213
603466.SH,风语筑,文教休闲,主板,20171020,309109.89085,60,1663,20251120,20260213
002079.SZ,苏州固锝,电气设备,主板,20061116,308581.19204999995,60,1664,20251120,20260213
300019.SZ,硅宝科技,化工原料,创业板,20091030,308166.9739666667,60,1665,20251120,20260213
300249.SZ,依米康,IT设备,创业板,20110803,308153.8993,60,1666,20251120,20260213
002448.SZ,中原内配,汽车配件,主板,20100716,307943.57725000003,60,1667,20251120,20260213
000721.SZ,西安饮食,酒店餐饮,主板,19970430,307648.2850333333,60,1668,20251120,20260213
301196.SZ,唯科科技,专用机械,创业板,20220111,307418.1598833333,60,1669,20251120,20260213
605168.SH,三人行,互联网,主板,20200528,307391.88460000005,60,1670,20251120,20260213
002534.SZ,西子洁能,专用机械,主板,20110110,307233.6397,60,1671,20251120,20260213
688392.SH,骄成超声,专用机械,科创板,20220927,306949.37456666667,60,1672,20251120,20260213
600061.SH,国投资本,证券,主板,19970519,305880.4601166667,60,1673,20251120,20260213
300319.SZ,麦捷科技,元器件,创业板,20120523,305658.06658333336,60,1674,20251120,20260213
300855.SZ,图南股份,小金属,创业板,20200723,305409.14893333334,60,1675,20251120,20260213
300941.SZ,创识科技,IT设备,创业板,20210209,305194.17965,60,1676,20251120,20260213
002418.SZ,康盛股份,家用电器,主板,20100601,304974.43113333336,60,1677,20251120,20260213
301551.SZ,无线传媒,影视音像,创业板,20240926,304936.76628333336,60,1678,20251120,20260213
300349.SZ,金卡智能,电器仪表,创业板,20120817,304762.30819999997,60,1679,20251120,20260213
002664.SZ,信质集团,汽车配件,主板,20120316,304636.33763333334,60,1680,20251120,20260213
300358.SZ,楚天科技,医疗保健,创业板,20140121,304382.5027833333,60,1681,20251120,20260213
601616.SH,广电电气,电气设备,主板,20110201,304143.4587833333,60,1682,20251120,20260213
600467.SH,好当家,渔业,主板,20040405,303327.61726666667,60,1683,20251120,20260213
688321.SH,微芯生物,化学制药,科创板,20190812,303116.67881666665,60,1684,20251120,20260213
603738.SH,泰晶科技,元器件,主板,20160928,303054.27565,60,1685,20251120,20260213
600023.SH,浙能电力,火力发电,主板,20131219,302736.44711666665,60,1686,20251120,20260213
002651.SZ,利君股份,航空,主板,20120106,301917.31385,60,1687,20251120,20260213
600722.SH,金牛化工,化工原料,主板,19960626,301870.68713333335,60,1688,20251120,20260213
600109.SH,国金证券,证券,主板,19970807,301866.923,60,1689,20251120,20260213
301251.SZ,威尔高,元器件,创业板,20230906,301390.1800666667,60,1690,20251120,20260213
688439.SH,振华风光,元器件,科创板,20220826,301387.8902833333,60,1691,20251120,20260213
002548.SZ,金新农,饲料,主板,20110218,301361.9105333333,60,1692,20251120,20260213
301307.SZ,美利信,通信设备,创业板,20230424,301134.97273333336,60,1693,20251120,20260213
000999.SZ,华润三九,中成药,主板,20000309,301015.31725,60,1694,20251120,20260213
600863.SH,华能蒙电,火力发电,主板,19940520,300909.14266666665,60,1695,20251120,20260213
688119.SH,中钢洛耐,其他建材,科创板,20220606,300448.0464333333,60,1696,20251120,20260213
000958.SZ,电投产融,新型电力,主板,19991223,300390.1594333333,60,1697,20251120,20260213
601992.SH,金隅集团,水泥,主板,20110301,300207.37528333336,60,1698,20251120,20260213
301368.SZ,丰立智能,机械基件,创业板,20221215,299628.8245166667,60,1699,20251120,20260213
688605.SH,先锋精科,半导体,科创板,20241212,299526.9906666667,60,1700,20251120,20260213
601015.SH,陕西黑猫,焦炭加工,主板,20141105,299462.03685,60,1701,20251120,20260213
000543.SZ,皖能电力,火力发电,主板,19931220,299326.79421666666,60,1702,20251120,20260213
688796.SH,百奥赛图,生物制药,科创板,20251210,298982.24354347825,46,1703,20251120,20260213
002940.SZ,昂利康,化学制药,主板,20181023,298923.9111833333,60,1704,20251120,20260213
300428.SZ,立中集团,汽车配件,创业板,20150319,298589.05645,60,1705,20251120,20260213
688323.SH,瑞华泰,塑料,科创板,20210428,298040.44141666667,60,1706,20251120,20260213
603931.SH,格林达,化工原料,主板,20200819,298033.6502833333,60,1707,20251120,20260213
600320.SH,振华重工,专用机械,主板,20001221,297957.54301666666,60,1708,20251120,20260213
688508.SH,芯朋微,半导体,科创板,20200722,297836.6349333333,60,1709,20251120,20260213
688518.SH,联赢激光,专用机械,科创板,20200622,297808.5393,60,1710,20251120,20260213
301678.SZ,新恒汇,半导体,创业板,20250620,297510.31563333335,60,1711,20251120,20260213
603530.SH,神马电力,电气设备,主板,20190805,297429.00461666664,60,1712,20251120,20260213
002777.SZ,久远银海,软件服务,主板,20151231,297283.76666666666,60,1713,20251120,20260213
002114.SZ,罗平锌电,铅锌,主板,20070215,296945.9473,60,1714,20251120,20260213
300304.SZ,云意电气,汽车配件,创业板,20120321,296910.56165,60,1715,20251120,20260213
601388.SH,怡球资源,铝,主板,20120423,296880.72566666664,60,1716,20251120,20260213
301345.SZ,涛涛车业,摩托车,创业板,20230321,296870.0373166667,60,1717,20251120,20260213
600282.SH,南钢股份,普钢,主板,20000919,296816.8184,60,1718,20251120,20260213
002965.SZ,祥鑫科技,汽车配件,主板,20191025,296741.5958833333,60,1719,20251120,20260213
301052.SZ,果麦文化,出版业,创业板,20210830,296653.6813333333,60,1720,20251120,20260213
600682.SH,南京新百,生物制药,主板,19931018,296497.2834666667,60,1721,20251120,20260213
300423.SZ,昇辉科技,电气设备,创业板,20150217,296155.42624999996,60,1722,20251120,20260213
002062.SZ,宏润建设,建筑工程,主板,20060816,295996.6877333333,60,1723,20251120,20260213
688209.SH,英集芯,半导体,科创板,20220419,295059.4774666667,60,1724,20251120,20260213
688187.SH,时代电气,运输设备,科创板,20210907,294858.72555,60,1725,20251120,20260213
605580.SH,恒盛能源,供气供热,主板,20210819,294699.84045,60,1726,20251120,20260213
300267.SZ,尔康制药,化学制药,创业板,20110927,294564.8225333333,60,1727,20251120,20260213
601155.SH,新城控股,区域地产,主板,20151204,294279.5508833333,60,1728,20251120,20260213
002530.SZ,金财互联,专用机械,主板,20101231,293847.59185,60,1729,20251120,20260213
601128.SH,常熟银行,银行,主板,20160930,293780.6996,60,1730,20251120,20260213
600131.SH,国网信通,通信设备,主板,19980402,293537.2714333333,60,1731,20251120,20260213
600721.SH,百花医药,生物制药,主板,19960626,293104.64639999997,55,1732,20251120,20260213
600208.SH,衢州发展,全国地产,主板,19990623,292915.25036666665,60,1733,20251120,20260213
003040.SZ,楚天龙,通信设备,主板,20210322,292834.1164,60,1734,20251120,20260213
002139.SZ,拓邦股份,元器件,主板,20070629,292831.9766,60,1735,20251120,20260213
600486.SH,扬农化工,农药化肥,主板,20020425,292664.8841833333,60,1736,20251120,20260213
600085.SH,同仁堂,中成药,主板,19970625,292613.0822333333,60,1737,20251120,20260213
002915.SZ,中欣氟材,化工原料,主板,20171205,292579.3124166667,60,1738,20251120,20260213
688484.SH,南芯科技,半导体,科创板,20230407,291763.9561666667,60,1739,20251120,20260213
300710.SZ,万隆光电,通信设备,创业板,20171019,291729.01858,50,1740,20251120,20260213
688586.SH,江航装备,航空,科创板,20200731,291717.38285,60,1741,20251120,20260213
300079.SZ,数码视讯,IT设备,创业板,20100430,291410.28050000005,60,1742,20251120,20260213
601808.SH,中海油服,石油开采,主板,20070928,291343.2999333333,60,1743,20251120,20260213
300258.SZ,精锻科技,汽车配件,创业板,20110826,291333.7348833333,60,1744,20251120,20260213
000571.SZ,新大洲A,煤炭开采,主板,19940525,291302.7485666667,60,1745,20251120,20260213
000623.SZ,吉林敖东,中成药,主板,19961028,291281.0871833333,60,1746,20251120,20260213
300840.SZ,酷特智能,服饰,创业板,20200708,291038.8162833333,60,1747,20251120,20260213
688596.SH,正帆科技,专用机械,科创板,20200820,290614.69995000004,60,1748,20251120,20260213
003018.SZ,金富科技,塑料,主板,20201106,290279.2150166667,60,1749,20251120,20260213
300494.SZ,盛天网络,互联网,创业板,20151231,290177.06711666664,60,1750,20251120,20260213
688700.SH,东威科技,专用机械,科创板,20210615,290028.44115,60,1751,20251120,20260213
300082.SZ,奥克股份,化工原料,创业板,20100520,289733.9827666666,60,1752,20251120,20260213
300310.SZ,宜通世纪,通信设备,创业板,20120425,289699.5799833333,60,1753,20251120,20260213
