split_type,horizon,factor,split_value,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group
size_bucket,3d,industry_amount_share,size_q5,2029,-0.015567839744091067,-0.014895738766099325,0.1923057062408272,-1.28509860321434,0.4691966485953672,879.4430754066043,industry_crowding
size_bucket,3d,stock_amount_share_in_industry,size_q5,2029,0.0013357296859012689,0.0011899122193582115,0.12424103120113766,0.1706686688061946,0.50418925579103,879.4430754066043,liquidity_crowding
size_bucket,3d,turnover_rate,size_q5,2029,-0.03398135190541421,-0.03577371005390699,0.20381725858256794,-2.6466710517276977,0.44208969935929027,879.4430754066043,liquidity
size_bucket,3d,log_amount,size_q5,2029,-0.016923637068041807,-0.015562981475614947,0.14945519979781596,-1.7975581319884157,0.4603252833908329,879.4430754066043,liquidity
size_bucket,3d,log_total_mv,size_q5,2029,0.01234617789017098,0.011520766458418583,0.12616959340327696,1.5533813873117295,0.5327747658945293,879.4430754066043,size
size_bucket,3d,stock_ret_1d,size_q5,2028,-0.00900063038303036,-0.008240077260924742,0.1542094404142849,-0.9265358685824445,0.4723865877712032,879.5655818540434,price_momentum_reversal
size_bucket,3d,stock_rel_industry_ret_1d,size_q5,2028,-0.0041269426088159375,-0.007170842650580695,0.09680332053148775,-0.6767658645187558,0.4718934911242604,879.5655818540434,relative_strength
size_bucket,3d,stock_ret_5d,size_q5,2024,-0.01574051607386058,-0.00861544214062317,0.16209071850088397,-1.5415623334048993,0.4817193675889328,880.0064229249011,price_momentum_reversal
size_bucket,3d,stock_rel_industry_ret_5d,size_q5,2024,-0.011305487420937795,-0.010195098219887958,0.10653864660130306,-1.684544104156354,0.4673913043478261,880.0064229249011,relative_strength
size_bucket,3d,industry_ret_5d,size_q5,2024,-0.010038472067608115,-0.004510071623682188,0.17081860639349694,-0.9328948828716316,0.48863636363636365,880.0568181818181,industry_strength
size_bucket,3d,industry_breadth_20d,size_q5,2020,-0.01088365076386626,-0.013370780822412326,0.17226215863501074,-1.0029631640230432,0.46683168316831686,880.5440594059406,industry_breadth
size_bucket,3d,industry_amount_share_roll20d,size_q5,2020,-0.0131308435471041,-0.01186310632379534,0.1951705177264417,-1.0680182724778822,0.47425742574257423,880.5440594059406,industry_crowding
size_bucket,3d,stock_ret_20d,size_q5,2009,-0.01845481130494934,-0.01257337741896412,0.18058903209411806,-1.6222527128914055,0.47486311597809855,881.6172224987556,price_momentum
size_bucket,3d,stock_rel_industry_ret_20d,size_q5,2009,-0.011191552878366512,-0.011197039928740663,0.11914370180438687,-1.491143816367303,0.4649079143852663,881.6172224987556,relative_strength
size_bucket,3d,industry_ret_20d,size_q5,2009,-0.012407160328417061,-0.011886322632825828,0.18440294423632234,-1.068082535496702,0.4698855151816824,881.9029367844698,industry_strength
size_bucket,3d,industry_breadth_60d,size_q5,2000,-0.015101642886024095,-0.008484798332034386,0.18746987507737928,-1.2787715823175034,0.4815,883.154,industry_breadth
size_bucket,3d,industry_amount_share_roll60d,size_q5,2000,-0.011037840390145888,-0.009372471203925443,0.1962031397255849,-0.8930554543947103,0.483,883.154,industry_crowding
size_bucket,3d,stock_ret_60d,size_q5,1969,-0.015981485339049563,-0.005588868180532625,0.20299876154548438,-1.2497525245958474,0.4906043676993398,886.2254951752159,price_momentum
size_bucket,3d,stock_rel_industry_ret_60d,size_q5,1969,-0.007930487392769288,-0.0051810304015565654,0.1386111850404455,-0.9082426101765811,0.4819705434230574,886.2254951752159,relative_strength
size_bucket,3d,industry_ret_60d,size_q5,1969,-0.012530708393855257,0.003999918219300421,0.1964683999000687,-1.0124723826877065,0.5078720162519045,887.2569832402235,industry_strength
size_bucket,3d,industry_crowding_score,size_q5,1969,-0.01528611840069248,-0.010676105198262273,0.16539676724828004,-1.4671363342553334,0.47638395124428645,887.2569832402235,industry_crowding
size_bucket,3d,industry_amount_share,size_q1,2028,-0.006967864937142962,-0.003232955629543539,0.13180401826039403,-0.839211339809658,0.48520710059171596,791.3121301775147,industry_crowding
size_bucket,3d,stock_amount_share_in_industry,size_q1,2028,-0.01929399932947143,-0.02524493468924171,0.12673605370647814,-2.4166978154387215,0.3969428007889546,791.3121301775147,liquidity_crowding
size_bucket,3d,turnover_rate,size_q1,2028,-0.04493967338271441,-0.05266320931284833,0.15704674280786188,-4.542566027616293,0.3678500986193294,791.3121301775147,liquidity
size_bucket,3d,log_amount,size_q1,2028,-0.044104310193221384,-0.04754465040050169,0.14824850749671978,-4.7227066965202384,0.3796844181459566,791.3121301775147,liquidity
size_bucket,3d,log_total_mv,size_q1,2028,-0.014770157481128884,-0.01310386345466091,0.12689093698765821,-1.8477992730463364,0.44822485207100593,791.3121301775147,size
size_bucket,3d,stock_ret_1d,size_q1,2027,-0.007189496483320061,-0.00516485451397532,0.14218362099425225,-0.8026924457384833,0.4849531327084361,791.4089787863838,price_momentum_reversal
size_bucket,3d,stock_rel_industry_ret_1d,size_q1,2027,-0.010565226515840775,-0.007661450249773925,0.12096418502264822,-1.386507679148822,0.4706462752836704,791.4089787863838,relative_strength
size_bucket,3d,stock_ret_5d,size_q1,2023,-0.028980730137180794,-0.01949208767855629,0.15036381659169362,-3.059611274603317,0.4379634206623826,791.7424616905586,price_momentum_reversal
size_bucket,3d,stock_rel_industry_ret_5d,size_q1,2023,-0.03191121391685035,-0.025605028553111614,0.12854640292876568,-3.940793400728112,0.40533860603064753,791.7424616905586,relative_strength
size_bucket,3d,industry_ret_5d,size_q1,2023,0.0005687984594211451,4.6438340945082617e-05,0.11146008535568949,0.08101012653682826,0.5002471576866041,791.7889273356401,industry_strength
size_bucket,3d,industry_breadth_20d,size_q1,2019,0.0006055613840057779,-0.003139443196430258,0.11170479024165865,0.08605708791166261,0.48588410104011887,792.1500742942051,industry_breadth
size_bucket,3d,industry_amount_share_roll20d,size_q1,2019,-0.006169547960871196,-0.003087145599021869,0.13309264731121662,-0.7358673797200147,0.4943041109460129,792.1500742942051,industry_crowding
size_bucket,3d,stock_ret_20d,size_q1,2008,-0.0383911234246256,-0.034461613171898366,0.15682470518144873,-3.886123618715189,0.39641434262948205,792.8411354581673,price_momentum
size_bucket,3d,stock_rel_industry_ret_20d,size_q1,2008,-0.03600194471271411,-0.03365869635948074,0.13192616004668062,-4.3320684415055055,0.3660358565737052,792.8411354581673,relative_strength
size_bucket,3d,industry_ret_20d,size_q1,2008,-0.006251425953388783,-0.004723383244631842,0.11329857291173064,-0.8759007984198063,0.47808764940239046,793.1364541832669,industry_strength
size_bucket,3d,industry_breadth_60d,size_q1,1999,-0.0029378252605931653,-0.00037041333624216204,0.11246628521554294,-0.41467120675301744,0.49824912456228115,794.2011005502751,industry_breadth
size_bucket,3d,industry_amount_share_roll60d,size_q1,1999,-0.004628117368085695,-0.002326418865669534,0.1319581535857613,-0.5567604848190959,0.49224612306153076,794.2011005502751,industry_crowding
size_bucket,3d,stock_ret_60d,size_q1,1968,-0.03004830390037574,-0.031168375235874193,0.16314563941719096,-2.9237804843704307,0.4166666666666667,795.9481707317074,price_momentum
size_bucket,3d,stock_rel_industry_ret_60d,size_q1,1968,-0.02408302751273933,-0.021719548723260713,0.13774621827462197,-2.7754388794559257,0.41615853658536583,795.9481707317074,relative_strength
size_bucket,3d,industry_ret_60d,size_q1,1968,-0.01072830651039339,-0.004765906364073126,0.11558133241507709,-1.4734783077309535,0.48272357723577236,797.1935975609756,industry_strength
size_bucket,3d,industry_crowding_score,size_q1,1968,-0.01091407346163889,-0.010070911941187465,0.09710520579427301,-1.7842044986566128,0.45934959349593496,797.1935975609756,industry_crowding
size_bucket,3d,industry_amount_share,size_q2,2029,-0.004720775212607789,-0.0058329396123249335,0.1518642634168359,-0.49346687339005474,0.4810251355347462,849.4923607688517,industry_crowding
size_bucket,3d,stock_amount_share_in_industry,size_q2,2029,-0.03299956764873073,-0.036630503817629397,0.11381749129212577,-4.602560557960616,0.37456875308033516,849.4923607688517,liquidity_crowding
size_bucket,3d,turnover_rate,size_q2,2029,-0.062340246011419555,-0.07042441740964764,0.1575730920439164,-6.280391612960176,0.3351404632824051,849.4923607688517,liquidity
size_bucket,3d,log_amount,size_q2,2029,-0.05985814481261092,-0.06811929698847843,0.14819141539978284,-6.4121028072490445,0.32577624445539677,849.4923607688517,liquidity
size_bucket,3d,log_total_mv,size_q2,2029,-0.00507065843854808,-0.00521706894561272,0.05063160972171677,-1.5898014642021252,0.4563824544110399,849.4923607688517,size
size_bucket,3d,stock_ret_1d,size_q2,2028,-0.007139770563067422,-0.0029654940978379755,0.12689038511699288,-0.8932145951256768,0.4921104536489152,849.6089743589744,price_momentum_reversal
size_bucket,3d,stock_rel_industry_ret_1d,size_q2,2028,-0.008847654100173862,-0.005708490126125213,0.08848583158751513,-1.5872841119583603,0.46942800788954636,849.6089743589744,relative_strength
size_bucket,3d,stock_ret_5d,size_q2,2024,-0.026632538946977646,-0.02678696708804422,0.1375738581954892,-3.0731016383571297,0.43379446640316205,850.0158102766799,price_momentum_reversal
size_bucket,3d,stock_rel_industry_ret_5d,size_q2,2024,-0.02777974563345547,-0.023617470951215566,0.10138113564062093,-4.349820978014772,0.3967391304347826,850.0158102766799,relative_strength
size_bucket,3d,industry_ret_5d,size_q2,2024,-0.0011335363285087474,-5.5011921789651024e-05,0.1320135800771976,-0.13630666900500402,0.49950592885375494,850.0775691699605,industry_strength
size_bucket,3d,industry_breadth_20d,size_q2,2020,-0.0023500792448628424,-0.0004945180713508488,0.1319331072955452,-0.28276717060592543,0.498019801980198,850.5618811881188,industry_breadth
