split_type,horizon,factor,split_value,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group
industry,3d,industry_amount_share,软件服务,729,1.810049168070372e-17,1.7888348416901638e-17,1.2659470744841014e-16,2.2697346781887293,0.5377229080932785,205.95610425240054,industry_crowding
industry,3d,stock_amount_share_in_industry,软件服务,2028,-0.044670997615470845,-0.048814693608289564,0.18796190284310352,-3.772733156665794,0.39990138067061143,209.19773175542406,liquidity_crowding
industry,3d,turnover_rate,软件服务,2028,-0.04368400516617709,-0.04759790595494505,0.18114208149205493,-3.82827710675395,0.3989151873767258,208.77810650887574,liquidity
industry,3d,log_amount,软件服务,2028,-0.044670997615470845,-0.048814693608289564,0.18796190284310352,-3.772733156665794,0.39990138067061143,209.19773175542406,liquidity
industry,3d,log_total_mv,软件服务,2028,-0.02038058135686659,-0.022883008202148676,0.19355768336627155,-1.671500161834997,0.45019723865877714,208.77810650887574,size
industry,3d,stock_ret_1d,软件服务,2027,-0.016908922480285745,-0.016123084435324835,0.15001735752822998,-1.7892651047057826,0.45535273803650717,209.23285643808583,price_momentum_reversal
industry,3d,stock_rel_industry_ret_1d,软件服务,2027,-0.016908922480285745,-0.016123084435324835,0.15001735752822998,-1.7892651047057826,0.45535273803650717,209.23285643808583,relative_strength
industry,3d,stock_ret_5d,软件服务,2023,-0.034606768909207886,-0.028486424171956574,0.15577954886281786,-3.526556786752907,0.4087988136431043,209.36282748393475,price_momentum_reversal
industry,3d,stock_rel_industry_ret_5d,软件服务,2023,-0.034606768909207886,-0.028486424171956574,0.15577954886281786,-3.526556786752907,0.4087988136431043,209.36282748393475,relative_strength
industry,3d,industry_ret_5d,软件服务,728,1.8198092077480596e-17,1.8101213196753067e-17,1.2665429477700217e-16,2.280899801667573,0.5384615384615384,206.04945054945054,industry_strength
industry,3d,industry_breadth_20d,软件服务,726,1.8644471136627787e-17,1.8101213196753067e-17,1.2558029121070024e-16,2.356833232903147,0.5385674931129476,206.2465564738292,industry_breadth
industry,3d,industry_amount_share_roll20d,软件服务,726,1.8644471136627787e-17,1.8101213196753067e-17,1.2558029121070024e-16,2.356833232903147,0.5385674931129476,206.2465564738292,industry_crowding
industry,3d,stock_ret_20d,软件服务,2008,-0.04912175267198532,-0.04725883476331984,0.1649259887570006,-4.728082305761378,0.374003984063745,209.8605577689243,price_momentum
industry,3d,stock_rel_industry_ret_20d,软件服务,2008,-0.04912175267198532,-0.04725883476331984,0.1649259887570006,-4.728082305761378,0.374003984063745,209.8605577689243,relative_strength
industry,3d,industry_ret_20d,软件服务,718,1.967498379963889e-17,1.8636701912027598e-17,1.2552981438269536e-16,2.488099633018104,0.541782729805014,207.016713091922,industry_strength
industry,3d,industry_breadth_60d,软件服务,713,1.940911789003567e-17,1.8959257181074074e-17,1.257191872712314e-16,2.4507809930419433,0.541374474053296,207.5483870967742,industry_breadth
industry,3d,industry_amount_share_roll60d,软件服务,713,1.940911789003567e-17,1.8959257181074074e-17,1.257191872712314e-16,2.4507809930419433,0.541374474053296,207.5483870967742,industry_crowding
industry,3d,stock_ret_60d,软件服务,1968,-0.04552395480587144,-0.04592852363264945,0.17304340824605327,-4.176237546403965,0.4024390243902439,211.25,price_momentum
industry,3d,stock_rel_industry_ret_60d,软件服务,1968,-0.04552395480587144,-0.04592852363264945,0.17304340824605327,-4.176237546403965,0.4024390243902439,211.25,relative_strength
industry,3d,industry_ret_60d,软件服务,701,2.039722503442145e-17,2.126377545106924e-17,1.259199261450534e-16,2.5714429731193116,0.5463623395149786,208.77175463623396,industry_strength
industry,3d,industry_crowding_score,软件服务,701,2.039722503442145e-17,2.126377545106924e-17,1.259199261450534e-16,2.5714429731193116,0.5463623395149786,208.77175463623396,industry_crowding
industry,3d,industry_amount_share,UNKNOWN,888,5.247943391164379e-18,-3.2606918139194074e-18,1.860241081622592e-16,0.44783721566201384,0.47635135135135137,112.31306306306307,industry_crowding
industry,3d,stock_amount_share_in_industry,UNKNOWN,1530,-0.06451417763145169,-0.06707709518679657,0.1589547594525641,-6.442907553262841,0.33464052287581697,118.29346405228758,liquidity_crowding
industry,3d,turnover_rate,UNKNOWN,1530,-0.0619834738644979,-0.06986637089279624,0.19783425753405334,-4.973643876003778,0.3627450980392157,117.85751633986928,liquidity
industry,3d,log_amount,UNKNOWN,1530,-0.06451417763145169,-0.06707709518679657,0.1589547594525641,-6.442907553262841,0.33464052287581697,118.29346405228758,liquidity
industry,3d,log_total_mv,UNKNOWN,1530,-0.018421338999096617,-0.016745372130048862,0.1903575461344237,-1.5362127574603608,0.4594771241830065,117.85751633986928,size
industry,3d,stock_ret_1d,UNKNOWN,1529,-0.008694394642613491,-0.010503314145981716,0.1619722005294442,-0.8521168181731019,0.47678221059516024,118.2531066056246,price_momentum_reversal
industry,3d,stock_rel_industry_ret_1d,UNKNOWN,1529,-0.008694394642613491,-0.010503314145981716,0.1619722005294442,-0.8521168181731019,0.47678221059516024,118.2531066056246,relative_strength
industry,3d,stock_ret_5d,UNKNOWN,1525,-0.023977688615762768,-0.01639333033580724,0.17376202726190818,-2.1905476849380605,0.45704918032786884,118.05245901639344,price_momentum_reversal
industry,3d,stock_rel_industry_ret_5d,UNKNOWN,1525,-0.023977688615762768,-0.01639333033580724,0.17376202726190818,-2.1905476849380605,0.45704918032786884,118.05245901639344,relative_strength
industry,3d,industry_ret_5d,UNKNOWN,886,5.756574861762559e-18,-2.382142612229694e-18,1.85685067972722e-16,0.4921386190295231,0.47742663656884876,112.16027088036117,industry_strength
industry,3d,industry_breadth_20d,UNKNOWN,884,5.578318409224766e-18,-3.2606918139194074e-18,1.858573279519891e-16,0.4764571859729315,0.4762443438914027,112.02036199095022,industry_breadth
industry,3d,industry_amount_share_roll20d,UNKNOWN,884,5.578318409224766e-18,-3.2606918139194074e-18,1.858573279519891e-16,0.4764571859729315,0.4762443438914027,112.02036199095022,industry_crowding
industry,3d,stock_ret_20d,UNKNOWN,1510,-0.031389510897537574,-0.03217292422842897,0.18117042283942786,-2.7504105242755714,0.4324503311258278,117.26688741721854,price_momentum
industry,3d,stock_rel_industry_ret_20d,UNKNOWN,1510,-0.031389510897537574,-0.03217292422842897,0.18117042283942786,-2.7504105242755714,0.4324503311258278,117.26688741721854,relative_strength
industry,3d,industry_ret_20d,UNKNOWN,879,5.399930896183914e-18,-2.345378482101756e-18,1.8598242291643548e-16,0.46091046747969533,0.4778156996587031,111.62912400455063,industry_strength
industry,3d,industry_breadth_60d,UNKNOWN,873,5.538483191462907e-18,-2.345378482101756e-18,1.8655686429022846e-16,0.47128094334794335,0.47766323024054985,111.43642611683849,industry_breadth
industry,3d,industry_amount_share_roll60d,UNKNOWN,873,5.538483191462907e-18,-2.345378482101756e-18,1.8655686429022846e-16,0.47128094334794335,0.47766323024054985,111.43642611683849,industry_crowding
industry,3d,stock_ret_60d,UNKNOWN,1470,-0.028780521909166246,-0.02060615942768492,0.18545189049309635,-2.4635856783719676,0.4435374149659864,115.17619047619047,price_momentum
industry,3d,stock_rel_industry_ret_60d,UNKNOWN,1470,-0.028780521909166246,-0.02060615942768492,0.18545189049309635,-2.4635856783719676,0.4435374149659864,115.17619047619047,relative_strength
industry,3d,industry_ret_60d,UNKNOWN,859,5.58188763283731e-18,0.0,1.8773683926716266e-16,0.47198897926831185,0.479627473806752,110.61350407450524,industry_strength
industry,3d,industry_crowding_score,UNKNOWN,859,5.58188763283731e-18,0.0,1.8773683926716266e-16,0.47198897926831185,0.479627473806752,110.61350407450524,industry_crowding
industry,3d,stock_ret_1d,区域地产,2019,-0.000464980728234936,-0.0013775220808686058,0.21329665919888216,-0.0346059814335938,0.4962852897473997,41.11144130757801,price_momentum_reversal
industry,3d,stock_ret_5d,区域地产,2015,-0.03280172890147925,-0.028710828052885932,0.21314860772606975,-2.4429495882367753,0.4461538461538462,41.11017369727047,price_momentum_reversal
industry,3d,stock_ret_20d,区域地产,2000,-0.04209342364686176,-0.03060198451576784,0.22312463900650018,-2.9947942449593112,0.4365,41.099,price_momentum
industry,3d,stock_rel_industry_ret_1d,区域地产,2019,-0.000464980728234936,-0.0013775220808686058,0.21329665919888216,-0.0346059814335938,0.4962852897473997,41.11144130757801,relative_strength
industry,3d,stock_rel_industry_ret_5d,区域地产,2015,-0.03280172890147925,-0.028710828052885932,0.21314860772606975,-2.4429495882367753,0.4461538461538462,41.11017369727047,relative_strength
industry,3d,stock_rel_industry_ret_20d,区域地产,2000,-0.04209342364686176,-0.03060198451576784,0.22312463900650018,-2.9947942449593112,0.4365,41.099,relative_strength
industry,3d,industry_ret_5d,区域地产,704,5.828983100123637e-17,8.521664169730518e-17,2.328092909683615e-16,3.9745938699898264,0.765625,41.33096590909091,industry_strength
industry,3d,industry_ret_20d,区域地产,699,5.750791719117227e-17,8.502320962784464e-17,2.3345491632304594e-16,3.9104333213851796,0.7639484978540773,41.35050071530758,industry_strength
industry,3d,industry_breadth_20d,区域地产,701,5.781291554633229e-17,8.502320962784466e-17,2.3319125658518115e-16,3.9356174672175595,0.7646219686162625,41.34379457917261,industry_breadth
industry,3d,industry_breadth_60d,区域地产,697,5.715639821962052e-17,8.50039423670403e-17,2.336974827303946e-16,3.882496647165374,0.763271162123386,41.36298421807747,industry_breadth
industry,3d,industry_amount_share,区域地产,706,5.855918933282464e-17,8.682589340635456e-17,2.3253387064654744e-16,3.9976899241753743,0.7662889518413598,41.31869688385269,industry_crowding
industry,3d,industry_amount_share_roll20d,区域地产,701,5.781291554633229e-17,8.502320962784466e-17,2.3319125658518115e-16,3.9356174672175595,0.7646219686162625,41.34379457917261,industry_crowding
industry,3d,industry_amount_share_roll60d,区域地产,697,5.715639821962052e-17,8.50039423670403e-17,2.336974827303946e-16,3.882496647165374,0.763271162123386,41.36298421807747,industry_crowding
industry,3d,stock_amount_share_in_industry,区域地产,2020,-0.07875378479694647,-0.07997123409772301,0.21877702690884898,-5.714391469392219,0.3589108910891089,41.11089108910891,liquidity_crowding
industry,3d,turnover_rate,区域地产,2020,-0.0522233120003594,-0.05387447126563714,0.23152859433442163,-3.580634951556241,0.4084158415841584,41.11089108910891,liquidity
industry,3d,log_amount,区域地产,2020,-0.07875378479694647,-0.07997123409772301,0.21877702690884898,-5.714391469392219,0.3589108910891089,41.11089108910891,liquidity
industry,3d,log_total_mv,区域地产,2020,-0.03242285102971119,-0.031184889344108818,0.25565429331856077,-2.013253120222465,0.4534653465346535,41.11089108910891,size
industry,3d,stock_ret_60d,区域地产,1960,-0.03323538071046719,-0.024094971003552502,0.21648018096214283,-2.4371529540755508,0.4520408163265306,41.06122448979592,price_momentum
industry,3d,stock_rel_industry_ret_60d,区域地产,1960,-0.03323538071046719,-0.024094971003552502,0.21648018096214283,-2.4371529540755508,0.4520408163265306,41.06122448979592,relative_strength
industry,3d,industry_ret_60d,区域地产,693,5.700218709051513e-17,8.502320962784464e-17,2.343604454117524e-16,3.8610682181452285,0.7619047619047619,41.35353535353536,industry_strength
industry,3d,industry_crowding_score,区域地产,693,5.700218709051513e-17,8.502320962784464e-17,2.343604454117524e-16,3.8610682181452285,0.7619047619047619,41.35353535353536,industry_crowding
industry,3d,industry_amount_share,电气设备,907,1.450714110617527e-17,9.084935157141115e-18,1.2758157047905505e-16,1.8050704717307153,0.5214994487320838,244.97574421168687,industry_crowding
