universe,horizon,factor,year,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n
screened,3d,industry_amount_share,2018,243,-0.009578613654870208,-0.016571524224417856,0.09768322863380313,-1.5566211307711177,0.4444444444444444,3191.0246913580245
screened,3d,stock_amount_share_in_industry,2018,243,-0.027018851537170017,-0.028590608347439633,0.1085196286786573,-3.9523814860962303,0.3950617283950617,3191.0246913580245
screened,3d,turnover_rate,2018,243,-0.03773923896967393,-0.05052480445860044,0.1751447382065717,-3.4205529211444468,0.4156378600823045,3191.0246913580245
screened,3d,log_amount,2018,243,-0.048690315282525494,-0.06275548417666009,0.12850083997609932,-6.015017435785662,0.3374485596707819,3191.0246913580245
screened,3d,log_total_mv,2018,243,-0.015846623376482082,-0.013245493909383508,0.16656168428881832,-1.5102954110949347,0.48559670781893005,3191.0246913580245
screened,3d,stock_ret_1d,2018,242,0.001689738580626221,-0.0018748466011491833,0.13001750947106386,0.2063088925438866,0.49586776859504134,3191.46694214876
screened,3d,stock_rel_industry_ret_1d,2018,242,-0.00213778454666134,0.0004064166755696943,0.09911930662088463,-0.34237807708258056,0.5082644628099173,3191.46694214876
screened,3d,stock_ret_5d,2018,238,-0.022244990833514704,-0.023532048280831226,0.13921907495600908,-2.5364935235055306,0.4327731092436975,3190.6974789915967
screened,3d,stock_rel_industry_ret_5d,2018,238,-0.027334839073951893,-0.031430401541024056,0.11009736723035732,-3.941303310168888,0.40756302521008403,3190.6974789915967
screened,3d,industry_ret_5d,2018,238,-0.0022080421092974607,-0.009480140022469517,0.10993322780019346,-0.3188442887992397,0.47478991596638653,3193.218487394958
screened,3d,industry_breadth_20d,2018,234,0.0007699580921352888,0.00567815550587647,0.10077855079712704,0.12128280962280744,0.5170940170940171,3194.8333333333335
screened,3d,industry_amount_share_roll20d,2018,234,-0.009442063038603437,-0.011898962967888723,0.10040723347108538,-1.4928018510180459,0.4658119658119658,3194.8333333333335
screened,3d,stock_ret_20d,2018,223,-0.03897113337852583,-0.037915559229667516,0.1471382072721579,-4.204533783908005,0.4125560538116592,3185.318385650224
screened,3d,stock_rel_industry_ret_20d,2018,223,-0.04033062613926694,-0.03751597126660555,0.11331512698288433,-5.649985654614599,0.3901345291479821,3185.318385650224
screened,3d,industry_ret_20d,2018,223,-0.007898412213623416,-0.004189611105907373,0.11638689121615736,-1.0772983581481734,0.4618834080717489,3199.5695067264573
screened,3d,industry_breadth_60d,2018,214,-0.0051979727810250766,-0.006149170300623488,0.08793670985527902,-0.938348272723071,0.4719626168224299,3212.626168224299
screened,3d,industry_amount_share_roll60d,2018,214,-0.007712026633122999,-0.003912620040476564,0.10052989409729331,-1.2177932599314008,0.4766355140186916,3212.626168224299
screened,3d,stock_ret_60d,2018,183,-0.016346195266766533,-0.019229281791120413,0.13480494165517437,-1.9249131534921884,0.4371584699453552,3169.6939890710382
screened,3d,stock_rel_industry_ret_60d,2018,183,-0.013661225158803064,-0.012266388834080766,0.11010351898848222,-1.9696484566546562,0.46994535519125685,3169.6939890710382
screened,3d,industry_ret_60d,2018,183,-0.004845473150262301,-0.006024399278068103,0.09394224607869216,-0.818795641481424,0.4808743169398907,3238.2622950819673
screened,3d,industry_crowding_score,2018,183,-0.0042269979093012685,0.0004179040349134195,0.07222353412100048,-0.9290809758767474,0.5027322404371585,3238.2622950819673
screened,3d,stock_ret_1d,2019,244,-0.007281223785049129,-0.0052026595678721175,0.10029184646026239,-1.1524949268781075,0.48360655737704916,3392.8565573770493
