universe,split_type,horizon,factor,split_value,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n
screened,trend_regime,3d,industry_amount_share,insufficient_history,60,0.006519854896976817,-0.009832817138422366,0.10099777845478787,1.0247699447775067,0.45,3046.95
screened,trend_regime,3d,stock_amount_share_in_industry,insufficient_history,60,-0.02904252804940494,-0.03173555512988663,0.1424869773021594,-3.235634924042091,0.4666666666666667,3046.95
screened,trend_regime,3d,turnover_rate,insufficient_history,60,0.0014930277545987733,-0.0398760576125016,0.16973218054522196,0.1396381096323596,0.4666666666666667,3046.95
screened,trend_regime,3d,log_amount,insufficient_history,60,-0.030863505877625097,-0.04936515707127179,0.1389657464301636,-3.525638363586783,0.36666666666666664,3046.95
screened,trend_regime,3d,log_total_mv,insufficient_history,60,-0.02665867295800327,-0.031349079025201815,0.20097392729791225,-2.105712513404578,0.45,3046.95
screened,trend_regime,3d,stock_ret_1d,insufficient_history,59,0.005425810243960661,-0.006958711450751689,0.14949738035370166,0.5761443257098983,0.4576271186440678,3046.322033898305
screened,trend_regime,3d,stock_rel_industry_ret_1d,insufficient_history,59,-0.001936411353500459,0.0002502961262969167,0.10146228906711866,-0.30296554065886044,0.5084745762711864,3046.322033898305
screened,trend_regime,3d,stock_ret_5d,insufficient_history,55,-0.051634353406628,-0.07712336938824615,0.15568060114410123,-5.265074410720235,0.36363636363636365,3036.0545454545454
screened,trend_regime,3d,stock_rel_industry_ret_5d,insufficient_history,55,-0.060752351020454454,-0.08137503378550967,0.12161004546615718,-7.930378370297772,0.32727272727272727,3036.0545454545454
screened,trend_regime,3d,industry_ret_5d,insufficient_history,55,0.00445096729365239,-0.008930543061014554,0.13061651166498492,0.5409493364617234,0.4727272727272727,3043.3454545454547
screened,trend_regime,3d,industry_breadth_20d,insufficient_history,51,0.025067798663821306,0.0382012502109695,0.13134206010596472,3.029790813093685,0.5882352941176471,3039.0
screened,trend_regime,3d,industry_amount_share_roll20d,insufficient_history,51,0.014109067606825473,0.00011137166960245863,0.0967990758014876,2.3138082967988693,0.5098039215686274,3039.0
screened,trend_regime,3d,stock_ret_20d,insufficient_history,40,-0.052143956702836294,-0.05239572307572139,0.18768599695033789,-4.410343149269539,0.425,2982.875
