universe,horizon,factor,spread_days,high_minus_low_mean,high_minus_low_median,high_minus_low_tstat,positive_spread_rate,direction_adjusted_mean_spread,preferred_direction
screened,3d,stock_ret_1d,2028,-0.0004407731251756641,3.1935480081707324e-05,-1.017412162239197,0.5004930966469427,0.0004407731251756641,low_factor
screened,3d,stock_ret_5d,2024,-0.0014381040141819425,-0.0010475271402775798,-3.0209641405215755,0.47579051383399207,0.0014381040141819425,low_factor
screened,3d,stock_ret_20d,2009,-0.0014151915337535794,-0.0011329570365777373,-2.68044165463094,0.4718765555002489,0.0014151915337535794,low_factor
screened,3d,stock_ret_60d,1969,-0.0013923118358983922,-0.001523749900056702,-2.399883893221244,0.4779075672930422,0.0013923118358983922,low_factor
screened,3d,stock_rel_industry_ret_1d,2028,-0.0006601157690775422,-0.00023615187022307414,-1.958620048543782,0.4886587771203156,0.0006601157690775422,low_factor
screened,3d,stock_rel_industry_ret_5d,2024,-0.0018640543918067287,-0.001629934789471212,-4.976165569079113,0.44367588932806323,0.0018640543918067287,low_factor
screened,3d,stock_rel_industry_ret_20d,2009,-0.0017211424099747982,-0.0017308265782892598,-4.212231653688157,0.44300647088103534,0.0017211424099747982,low_factor
screened,3d,stock_rel_industry_ret_60d,1969,-0.0014398879818575835,-0.0018235578382488245,-3.2410886446170397,0.4570848146267141,0.0014398879818575835,low_factor
screened,3d,industry_ret_5d,2024,0.0008095362694034024,0.0010830276809984107,1.8364786411972727,0.5222332015810277,0.0008095362694034024,high_factor
screened,3d,industry_ret_20d,2009,0.0010315337825645143,0.0007260237130147871,2.1211583968661936,0.5161772025883524,0.0010315337825645143,high_factor
screened,3d,industry_ret_60d,1969,9.301293519589864e-05,0.000973046692654007,0.18542682268448346,0.5119349923819198,9.301293519589864e-05,high_factor
screened,3d,industry_breadth_20d,2020,0.0013598053006318625,0.0011880321246028743,3.0909961091979676,0.5237623762376238,0.0013598053006318625,high_factor
screened,3d,industry_breadth_60d,2000,0.00026910153508871926,0.0008245322150744233,0.5800977387369928,0.5255,0.00026910153508871926,high_factor
screened,3d,industry_amount_share,2029,0.0005539729086871805,0.001102402569822811,1.1726287870926846,0.5165105963528832,0.0005539729086871805,high_factor
screened,3d,industry_amount_share_roll20d,2020,0.0007922311521706803,0.001138301016546498,1.6948642484645815,0.5287128712871287,0.0007922311521706803,high_factor
screened,3d,industry_amount_share_roll60d,2000,0.0007975113806571808,0.0007461212098239332,1.7362669938018718,0.523,0.0007975113806571808,high_factor
screened,3d,industry_crowding_score,1967,0.0006135586585509918,0.0007389586428562626,1.4729834935822435,0.5165226232841891,0.0006135586585509918,high_factor
screened,3d,stock_amount_share_in_industry,2029,-0.00234089646818772,-0.0027051226180453483,-6.524961623604637,0.41646131099063577,0.00234089646818772,low_factor
screened,3d,turnover_rate,2029,0.0003524307546356714,0.0010040331586801989,0.6353692112124749,0.5165105963528832,0.0003524307546356714,high_factor
screened,3d,log_amount,2029,-0.0020362423721772575,-0.0023632176258068308,-4.513945328843975,0.43962543124691966,0.0020362423721772575,low_factor
screened,3d,log_total_mv,2029,-0.0033635655851720595,-0.0033948746494775004,-6.01070562732713,0.42385411532774764,0.0033635655851720595,low_factor
screened,5d,stock_ret_1d,2026,-0.00139522175108729,-0.0006082674362627946,-2.4756592334490612,0.4837117472852912,0.00139522175108729,low_factor
screened,5d,stock_ret_5d,2022,-0.002973292860515663,-0.0021366082524377876,-5.050106181379124,0.46142433234421365,0.002973292860515663,low_factor
screened,5d,stock_ret_20d,2007,-0.003572093168558866,-0.0030851896584869155,-5.361651051740698,0.4479322371699053,0.003572093168558866,low_factor
screened,5d,stock_ret_60d,1967,-0.0032678404341276775,-0.0027431307717352624,-4.451816493634893,0.4570411794611083,0.0032678404341276775,low_factor
screened,5d,stock_rel_industry_ret_1d,2026,-0.0017413855516159077,-0.0013887479646305357,-3.9820731095073043,0.456071076011846,0.0017413855516159077,low_factor
screened,5d,stock_rel_industry_ret_5d,2022,-0.0035562252244103957,-0.0027528303125664427,-7.742666244169863,0.42334322453016815,0.0035562252244103957,low_factor
screened,5d,stock_rel_industry_ret_20d,2007,-0.0037890577842933986,-0.0036505927226350016,-7.321533242749446,0.4055804683607374,0.0037890577842933986,low_factor
screened,5d,stock_rel_industry_ret_60d,1967,-0.0031622407543799836,-0.002960989721253509,-5.582795985593928,0.4382308083375699,0.0031622407543799836,low_factor
screened,5d,industry_ret_5d,2022,0.001225516393699098,0.001620709066218677,2.103512575497321,0.5286844708209694,0.001225516393699098,high_factor
screened,5d,industry_ret_20d,2007,0.001231846233836099,0.00023053554742189647,2.0106731358524303,0.5042351768809168,0.001231846233836099,high_factor
screened,5d,industry_ret_60d,1967,-0.0002789357033855869,0.0010054285553582065,-0.4372437773108264,0.5160142348754448,0.0002789357033855869,low_factor
screened,5d,industry_breadth_20d,2018,0.0017583549615680192,0.001318346704646463,3.0844387100312227,0.5277502477700694,0.0017583549615680192,high_factor
screened,5d,industry_breadth_60d,1998,-5.18674921296852e-05,0.0005917038897802439,-0.0874559532660127,0.5135135135135135,5.18674921296852e-05,low_factor
screened,5d,industry_amount_share,2027,0.0007472504224074045,0.0009633610830810067,1.2025352123493325,0.5165268870251604,0.0007472504224074045,high_factor
screened,5d,industry_amount_share_roll20d,2018,0.0010487975756111071,0.0019330286151846426,1.724242841920139,0.5297324083250743,0.0010487975756111071,high_factor
screened,5d,industry_amount_share_roll60d,1998,0.0012017731881092196,0.002150843903560261,1.997701647978093,0.5370370370370371,0.0012017731881092196,high_factor
screened,5d,industry_crowding_score,1965,0.00033183226044638625,0.0004339786419164521,0.61442767850554,0.5089058524173028,0.00033183226044638625,high_factor
screened,5d,stock_amount_share_in_industry,2027,-0.004947836234120521,-0.005077067684941835,-10.28445925689504,0.38135175135668475,0.004947836234120521,low_factor
screened,5d,turnover_rate,2027,-0.001826901460606969,-0.002040667080623399,-2.5812744112594173,0.46719289590527874,0.001826901460606969,low_factor
screened,5d,log_amount,2027,-0.005049589922424069,-0.005686069053136665,-8.31977941104821,0.4015786877158362,0.005049589922424069,low_factor
screened,5d,log_total_mv,2027,-0.005653562654947186,-0.005064909894206653,-7.504443834027027,0.4114454859398125,0.005653562654947186,low_factor
screened,10d,stock_ret_1d,2021,-0.0010155983335237452,-0.00018591099499082938,-1.3814704288593658,0.4967837704106878,0.0010155983335237452,low_factor
screened,10d,stock_ret_5d,2017,-0.003830354289728975,-0.0025309997733463045,-4.884085045459197,0.4670302429350521,0.003830354289728975,low_factor
screened,10d,stock_ret_20d,2002,-0.006717904044662261,-0.006512528161647662,-7.474730462520442,0.42207792207792205,0.006717904044662261,low_factor
screened,10d,stock_ret_60d,1962,-0.006251536804348985,-0.006630425804377293,-6.292191726790413,0.42966360856269115,0.006251536804348985,low_factor
screened,10d,stock_rel_industry_ret_1d,2021,-0.0016408083830170954,-0.0009260869407979485,-2.936167472734314,0.4764967837704107,0.0016408083830170954,low_factor
screened,10d,stock_rel_industry_ret_5d,2017,-0.004575802829040201,-0.004134980560623055,-7.559273371848144,0.4105106593951413,0.004575802829040201,low_factor
screened,10d,stock_rel_industry_ret_20d,2002,-0.006911028686252084,-0.007333137801210372,-9.950778659138352,0.37962037962037964,0.006911028686252084,low_factor
screened,10d,stock_rel_industry_ret_60d,1962,-0.00590767832584814,-0.005310419094585826,-7.674661001112349,0.42813455657492355,0.00590767832584814,low_factor
screened,10d,industry_ret_5d,2017,0.0013292036969872732,0.0008022201749850952,1.616211449890661,0.5096678235002479,0.0013292036969872732,high_factor
