horizon,rows,valid_labels,missing_labels,valid_ratio,mean,median,std,p01,p05,p25,p75,p95,p99,win_rate,abs_gt_20pct,abs_gt_20pct_ratio,raw_adj_mean_gap
3d,9306920,9258989,47931,0.9948499611042106,0.0023198079920047246,-0.0006738544474392816,0.054094590064975995,-0.12925969447708574,-0.07383170771916044,-0.0249999999999998,0.024742268041237025,0.08828410325763265,0.17862199367958298,0.48258713775337675,81910,0.008800978196868566,0.0003201011319448549
5d,9306920,9241951,64969,0.993019280277471,0.003457824325712857,-0.0011337868480725266,0.0713279822574069,-0.16319162235143286,-0.09547325102880666,-0.03299999999999992,0.03252032520325199,0.11594202898550732,0.23551401869158894,0.48397713859335545,178722,0.019203130573809596,0.0006396418543091258
10d,9306920,9204385,102535,0.9889829288314501,0.006173086039699951,-0.0016515276630882925,0.10160059810395261,-0.2102886380172272,-0.13100853778590008,-0.047855811062772036,0.047158403869407506,0.16610169491525428,0.33850477962183245,0.4862349847382525,431055,0.04631553725614919,0.0014492552294413231
