trade_date,rows,status
20190426,3616,ok
20190429,3609,ok
20190430,3586,ok
20190506,3617,ok
20190507,3614,ok
20190508,3611,ok
20190509,3621,ok
20190510,3622,ok
20190513,3615,ok
20190514,3619,ok
20190515,3618,ok
20190516,3624,ok
20190517,3630,ok
20190520,3622,ok
20190521,3627,ok
20190522,3630,ok
20190523,3629,ok
20190524,3630,ok
20190527,3629,ok
20190528,3633,ok
20190529,3640,ok
20190530,3631,ok
20190531,3633,ok
20190603,3635,ok
20190604,3631,ok
20190605,3628,ok
20190606,3639,ok
20190610,3633,ok
20190611,3630,ok
20190612,3631,ok
20190613,3633,ok
20190614,3632,ok
20190617,3627,ok
20190618,3631,ok
20190619,3634,ok
20190620,3634,ok
20190621,3636,ok
20190624,3645,ok
20190625,3644,ok
20190626,3641,ok
20190627,3648,ok
20190628,3652,ok
20190701,3657,ok
20190702,3648,ok
20190703,3649,ok
20190704,3643,ok
20190705,3646,ok
20190708,3642,ok
20190709,3638,ok
20190710,3644,ok
20190711,3640,ok
20190712,3646,ok
20190715,3651,ok
20190716,3649,ok
20190717,3648,ok
20190718,3648,ok
20190719,3653,ok
20190722,3672,ok
20190723,3679,ok
20190724,3676,ok
20190725,3679,ok
20190726,3678,ok
20190729,3680,ok
20190730,3678,ok
20190731,3686,ok
20190801,3681,ok
20190802,3686,ok
20190805,3688,ok
20190806,3688,ok
20190807,3694,ok
20190808,3688,ok
20190809,3687,ok
20190812,3682,ok
20190813,3689,ok
20190814,3690,ok
20190815,3688,ok
20190816,3692,ok
20190819,3693,ok
20190820,3691,ok
20190821,3692,ok
20190822,3692,ok
20190823,3686,ok
20190826,3687,ok
20190827,3689,ok
20190828,3693,ok
20190829,3701,ok
20190830,3700,ok
20190902,3706,ok
20190903,3700,ok
20190904,3705,ok
20190905,3706,ok
20190906,3700,ok
20190909,3704,ok
20190910,3698,ok
20190911,3704,ok
20190912,3707,ok
20190916,3705,ok
20190917,3705,ok
20190918,3702,ok
20190919,3705,ok
20190920,3708,ok
20190923,3702,ok
20190924,3705,ok
20190925,3709,ok
20190926,3696,ok
20190927,3712,ok
20190930,3713,ok
20191008,3702,ok
20191009,3704,ok
20191010,3703,ok
20191011,3708,ok
20191014,3711,ok
20191015,3716,ok
20191016,3713,ok
20191017,3711,ok
20191018,3710,ok
20191021,3709,ok
20191022,3710,ok
20191023,3714,ok
20191024,3716,ok
20191025,3720,ok
20191028,3735,ok
20191029,3734,ok
20191030,3729,ok
20191031,3729,ok
20191101,3734,ok
20191104,3727,ok
20191105,3737,ok
20191106,3740,ok
20191107,3748,ok
20191108,3753,ok
20191111,3756,ok
20191112,3757,ok
20191113,3749,ok
20191114,3747,ok
20191115,3758,ok
20191118,3758,ok
20191119,3750,ok
20191120,3757,ok
20191121,3756,ok
20191122,3759,ok
20191125,3756,ok
20191126,3759,ok
20191127,3757,ok
20191128,3751,ok
20191129,3758,ok
20191202,3748,ok
20191203,3760,ok
20191204,3761,ok
20191205,3762,ok
20191206,3761,ok
20191209,3762,ok
20191210,3761,ok
20191211,3764,ok
20191212,3763,ok
20191213,3769,ok
20191216,3775,ok
20191217,3786,ok
20191218,3777,ok
20191219,3775,ok
20191220,3774,ok
20191223,3781,ok
20191224,3783,ok
20191225,3778,ok
20191226,3780,ok
20191227,3783,ok
20191230,3793,ok
20191231,3796,ok
20200102,3797,ok
20200103,3789,ok
20200106,3805,ok
20200107,3805,ok
20200108,3797,ok
20200109,3799,ok
20200110,3784,ok
20200113,3792,ok
20200114,3805,ok
20200115,3798,ok
20200116,3807,ok
20200117,3812,ok
20200120,3813,ok
20200121,3817,ok
20200122,3825,ok
20200123,3816,ok
20200203,3808,ok
20200204,3810,ok
20200205,3816,ok
20200206,3814,ok
20200207,3809,ok
20200210,3815,ok
20200211,3810,ok
20200212,3824,ok
20200213,3820,ok
20200214,3820,ok
20200217,3830,ok
20200218,3831,ok
20200219,3835,ok
20200220,3831,ok
20200221,3833,ok
20200224,3840,ok
20200225,3837,ok
20200226,3840,ok
20200227,3847,ok
20200228,3841,ok
20200302,3843,ok
20200303,3846,ok
20200304,3847,ok
20200305,3848,ok
20200306,3847,ok
20200309,3846,ok
20200310,3853,ok
20200311,3856,ok
20200312,3851,ok
20200313,3844,ok
20200316,3851,ok
20200317,3851,ok
20200318,3858,ok
20200319,3850,ok
20200320,3857,ok
20200323,3853,ok
20200324,3859,ok
20200325,3860,ok
20200326,3859,ok
20200327,3861,ok
20200330,3877,ok
20200331,3863,ok
20200401,3875,ok
20200402,3878,ok
20200403,3876,ok
20200407,3874,ok
20200408,3884,ok
20200409,3876,ok
20200410,3884,ok
20200413,3880,ok
20200414,3889,ok
20200415,3880,ok
20200416,3897,ok
20200417,3896,ok
20200420,3904,ok
20200421,3896,ok
20200422,3908,ok
20200423,3903,ok
20200424,3897,ok
20200427,3893,ok
20200428,3890,ok
20200429,3880,ok
20200430,3861,ok
20200506,3881,ok
20200507,3874,ok
20200508,3890,ok
20200511,3890,ok
20200512,3880,ok
20200513,3885,ok
20200514,3877,ok
20200515,3890,ok
20200518,3880,ok
20200519,3879,ok
20200520,3879,ok
20200521,3874,ok
20200522,3875,ok
20200525,3885,ok
20200526,3882,ok
20200527,3877,ok
20200528,3874,ok
20200529,3870,ok
20200601,3874,ok
20200602,3878,ok
20200603,3885,ok
20200604,3884,ok
20200605,3883,ok
20200608,3885,ok
20200609,3882,ok
20200610,3892,ok
20200611,3888,ok
20200612,3887,ok
20200615,3896,ok
20200616,3899,ok
20200617,3896,ok
20200618,3900,ok
20200619,3898,ok
20200622,3907,ok
20200623,3907,ok
20200624,3907,ok
20200629,3915,ok
20200630,3905,ok
20200701,3909,ok
20200702,3921,ok
20200703,3912,ok
20200706,3925,ok
20200707,3920,ok
20200708,3928,ok
20200709,3928,ok
20200710,3927,ok
20200713,3933,ok
20200714,3938,ok
20200715,3932,ok
20200716,3932,ok
20200717,3943,ok
20200720,3934,ok
20200721,3943,ok
20200722,3947,ok
20200723,3943,ok
20200724,3948,ok
20200727,3997,ok
20200728,3984,ok
20200729,3993,ok
20200730,3977,ok
20200731,3985,ok
20200803,4000,ok
20200804,3991,ok
20200805,3995,ok
20200806,3991,ok
20200807,3993,ok
20200810,3998,ok
20200811,3999,ok
20200812,3996,ok
20200813,3995,ok
20200814,4004,ok
20200817,4006,ok
20200818,4010,ok
20200819,4007,ok
20200820,4007,ok
20200821,4009,ok
20200824,4029,ok
20200825,4025,ok
20200826,4032,ok
20200827,4032,ok
20200828,4035,ok
20200831,4043,ok
20200901,4040,ok
20200902,4050,ok
20200903,4051,ok
20200904,4043,ok
20200907,4045,ok
20200908,4040,ok
20200909,4036,ok
20200910,4041,ok
20200911,4045,ok
20200914,4047,ok
20200915,4043,ok
20200916,4059,ok
20200917,4060,ok
20200918,4070,ok
20200921,4063,ok
20200922,4073,ok
20200923,4069,ok
20200924,4069,ok
20200925,4081,ok
20200928,4084,ok
20200929,4091,ok
20200930,4090,ok
20201009,4088,ok
20201012,4097,ok
20201013,4103,ok
20201014,4101,ok
20201015,4106,ok
20201016,4103,ok
20201019,4102,ok
20201020,4110,ok
20201021,4105,ok
20201022,4115,ok
20201023,4110,ok
20201026,4105,ok
20201027,4111,ok
20201028,4115,ok
20201029,4116,ok
20201030,4116,ok
20201102,4121,ok
20201103,4120,ok
20201104,4120,ok
20201105,4119,ok
20201106,4120,ok
20201109,4128,ok
20201110,4140,ok
20201111,4131,ok
20201112,4134,ok
20201113,4133,ok
20201116,4133,ok
20201117,4141,ok
20201118,4147,ok
20201119,4141,ok
20201120,4139,ok
20201123,4145,ok
20201124,4143,ok
20201125,4140,ok
20201126,4146,ok
20201127,4151,ok
20201130,4147,ok
20201201,4150,ok
20201202,4144,ok
20201203,4152,ok
20201204,4146,ok
20201207,4157,ok
20201208,4159,ok
20201209,4156,ok
20201210,4156,ok
20201211,4165,ok
20201214,4162,ok
20201215,4163,ok
20201216,4174,ok
20201217,4169,ok
20201218,4180,ok
20201221,4177,ok
20201222,4179,ok
20201223,4180,ok
20201224,4186,ok
20201225,4183,ok
20201228,4184,ok
20201229,4194,ok
20201230,4203,ok
20201231,4201,ok
20210104,4208,ok
20210105,4207,ok
20210106,4211,ok
20210107,4206,ok
20210108,4206,ok
20210111,4208,ok
20210112,4210,ok
20210113,4221,ok
20210114,4218,ok
20210115,4212,ok
20210118,4211,ok
20210119,4215,ok
20210120,4216,ok
20210121,4217,ok
20210122,4215,ok
20210125,4225,ok
20210126,4226,ok
20210127,4226,ok
20210128,4228,ok
20210129,4231,ok
20210201,4232,ok
20210202,4240,ok
20210203,4244,ok
20210204,4245,ok
20210205,4246,ok
20210208,4246,ok
20210209,4257,ok
20210210,4264,ok
20210218,4257,ok
20210219,4259,ok
20210222,4268,ok
20210223,4268,ok
20210224,4268,ok
20210225,4264,ok
20210226,4268,ok
20210301,4269,ok
20210302,4273,ok
20210303,4280,ok
20210304,4275,ok
20210305,4278,ok
20210308,4281,ok
20210309,4278,ok
20210310,4272,ok
20210311,4284,ok
20210312,4278,ok
20210315,4286,ok
20210316,4286,ok
20210317,4283,ok
20210318,4285,ok
20210319,4282,ok
20210322,4297,ok
20210323,4302,ok
20210324,4301,ok
20210325,4295,ok
20210326,4301,ok
20210329,4317,ok
20210330,4310,ok
20210331,4303,ok
20210401,4305,ok
20210402,4303,ok
20210406,4314,ok
20210407,4327,ok
20210408,4327,ok
20210409,4328,ok
20210412,4335,ok
20210413,4329,ok
20210414,4336,ok
20210415,4339,ok
20210416,4343,ok
20210419,4348,ok
20210420,4346,ok
20210421,4356,ok
20210422,4363,ok
20210423,4349,ok
20210426,4356,ok
20210427,4347,ok
20210428,4358,ok
20210429,4343,ok
20210430,4340,ok
20210506,4358,ok
20210507,4366,ok
20210510,4355,ok
20210511,4362,ok
20210512,4371,ok
20210513,4377,ok
20210514,4372,ok
20210517,4377,ok
20210518,4371,ok
20210519,4371,ok
20210520,4385,ok
20210521,4387,ok
20210524,4385,ok
20210525,4393,ok
20210526,4395,ok
20210527,4400,ok
20210528,4403,ok
20210531,4405,ok
20210601,4411,ok
20210602,4402,ok
20210603,4419,ok
20210604,4416,ok
20210607,4414,ok
20210608,4423,ok
20210609,4418,ok
20210610,4423,ok
20210611,4418,ok
20210615,4420,ok
20210616,4421,ok
20210617,4423,ok
20210618,4424,ok
20210621,4428,ok
20210622,4436,ok
20210623,4444,ok
20210624,4446,ok
20210625,4449,ok
20210628,4454,ok
20210629,4449,ok
20210630,4460,ok
20210701,4459,ok
20210702,4466,ok
20210705,4460,ok
20210706,4462,ok
20210707,4471,ok
20210708,4472,ok
20210709,4476,ok
20210712,4479,ok
20210713,4484,ok
20210714,4481,ok
20210715,4477,ok
20210716,4490,ok
20210719,4479,ok
20210720,4480,ok
20210721,4481,ok
20210722,4491,ok
20210723,4494,ok
20210726,4499,ok
20210727,4496,ok
20210728,4502,ok
20210729,4503,ok
20210730,4505,ok
20210802,4506,ok
20210803,4505,ok
20210804,4525,ok
20210805,4523,ok
20210806,4522,ok
20210809,4529,ok
20210810,4532,ok
20210811,4530,ok
20210812,4531,ok
20210813,4536,ok
20210816,4540,ok
20210817,4545,ok
20210818,4545,ok
20210819,4548,ok
20210820,4550,ok
20210823,4552,ok
20210824,4560,ok
20210825,4558,ok
20210826,4563,ok
20210827,4563,ok
20210830,4560,ok
20210831,4561,ok
20210901,4565,ok
20210902,4561,ok
20210903,4575,ok
20210906,4596,ok
20210907,4590,ok
20210908,4588,ok
20210909,4594,ok
20210910,4592,ok
20210913,4599,ok
20210914,4600,ok
20210915,4601,ok
20210916,4597,ok
20210917,4593,ok
20210922,4606,ok
20210923,4615,ok
20210924,4613,ok
20210927,4608,ok
20210928,4603,ok
20210929,4611,ok
20210930,4617,ok
20211008,4616,ok
20211011,4620,ok
20211012,4614,ok
20211013,4611,ok
20211014,4613,ok
20211015,4618,ok
20211018,4632,ok
20211019,4630,ok
20211020,4625,ok
20211021,4627,ok
20211022,4634,ok
20211025,4630,ok
20211026,4629,ok
20211027,4638,ok
20211028,4637,ok
20211029,4640,ok
20211101,4647,ok
20211102,4650,ok
20211103,4645,ok
20211104,4659,ok
20211105,4654,ok
20211108,4663,ok
20211109,4654,ok
20211110,4652,ok
20211111,4655,ok
20211112,4664,ok
20211115,4685,ok
20211116,4681,ok
20211117,4682,ok
20211118,4690,ok
20211119,4692,ok
20211122,4691,ok
20211123,4700,ok
20211124,4692,ok
20211125,4694,ok
20211126,4699,ok
20211129,4707,ok
20211130,4706,ok
20211201,4703,ok
20211202,4704,ok
20211203,4704,ok
20211206,4708,ok
20211207,4699,ok
20211208,4700,ok
20211209,4711,ok
20211210,4712,ok
20211213,4706,ok
20211214,4712,ok
20211215,4712,ok
20211216,4718,ok
20211217,4712,ok
20211220,4711,ok
20211221,4713,ok
20211222,4718,ok
20211223,4722,ok
20211224,4728,ok
20211227,4732,ok
20211228,4730,ok
20211229,4737,ok
20211230,4742,ok
20211231,4738,ok
20220104,4737,ok
20220105,4731,ok
20220106,4735,ok
20220107,4739,ok
20220110,4747,ok
20220111,4745,ok
20220112,4744,ok
20220113,4746,ok
20220114,4748,ok
20220117,4753,ok
20220118,4755,ok
20220119,4752,ok
20220120,4753,ok
20220121,4751,ok
20220124,4758,ok
20220125,4754,ok
20220126,4759,ok
20220127,4769,ok
20220128,4771,ok
20220207,4772,ok
20220208,4766,ok
20220209,4777,ok
20220210,4770,ok
20220211,4774,ok
20220214,4775,ok
20220215,4783,ok
20220216,4782,ok
20220217,4780,ok
20220218,4776,ok
20220221,4783,ok
20220222,4783,ok
20220223,4795,ok
20220224,4786,ok
20220225,4789,ok
20220228,4795,ok
20220301,4786,ok
20220302,4783,ok
20220303,4782,ok
20220304,4792,ok
20220307,4791,ok
20220308,4788,ok
20220309,4787,ok
20220310,4786,ok
20220311,4790,ok
20220314,4795,ok
20220315,4802,ok
20220316,4801,ok
20220317,4805,ok
20220318,4805,ok
20220321,4800,ok
20220322,4801,ok
20220323,4808,ok
20220324,4806,ok
20220325,4810,ok
20220328,4806,ok
20220329,4817,ok
20220330,4817,ok
20220331,4807,ok
20220401,4812,ok
20220406,4810,ok
20220407,4802,ok
20220408,4809,ok
20220411,4809,ok
20220412,4820,ok
20220413,4814,ok
20220414,4820,ok
20220415,4815,ok
20220418,4811,ok
20220419,4820,ok
20220420,4817,ok
20220421,4831,ok
20220422,4822,ok
20220425,4836,ok
20220426,4827,ok
20220427,4827,ok
20220428,4806,ok
20220429,4827,ok
20220505,4771,ok
20220506,4807,ok
20220509,4795,ok
20220510,4807,ok
20220511,4806,ok
20220512,4809,ok
20220513,4803,ok
20220516,4802,ok
20220517,4808,ok
20220518,4807,ok
20220519,4797,ok
20220520,4808,ok
20220523,4815,ok
20220524,4813,ok
20220525,4810,ok
20220526,4820,ok
20220527,4821,ok
20220530,4821,ok
20220531,4829,ok
20220601,4828,ok
20220602,4831,ok
20220606,4845,ok
20220607,4846,ok
20220608,4852,ok
20220609,4853,ok
20220610,4855,ok
20220613,4858,ok
20220614,4849,ok
20220615,4855,ok
20220616,4850,ok
20220617,4851,ok
20220620,4854,ok
20220621,4853,ok
20220622,4851,ok
20220623,4839,ok
20220624,4849,ok
20220627,4834,ok
20220628,4837,ok
20220629,4830,ok
20220630,4826,ok
20220701,4829,ok
20220704,4819,ok
20220705,4823,ok
20220706,4827,ok
20220707,4829,ok
20220708,4831,ok
20220711,4829,ok
20220712,4831,ok
20220713,4832,ok
20220714,4839,ok
20220715,4838,ok
20220718,4844,ok
20220719,4847,ok
20220720,4845,ok
20220721,4842,ok
20220722,4845,ok
20220725,4840,ok
20220726,4849,ok
20220727,4844,ok
20220728,4847,ok
20220729,4850,ok
20220801,4855,ok
20220802,4859,ok
20220803,4861,ok
20220804,4861,ok
20220805,4865,ok
20220808,4870,ok
20220809,4869,ok
20220810,4869,ok
20220811,4873,ok
20220812,4876,ok
20220815,4871,ok
20220816,4879,ok
20220817,4881,ok
20220818,4885,ok
20220819,4889,ok
20220822,4891,ok
20220823,4888,ok
20220824,4894,ok
20220825,4895,ok
20220826,4895,ok
20220829,4901,ok
20220830,4902,ok
20220831,4908,ok
20220901,4909,ok
20220902,4911,ok
20220905,4912,ok
20220906,4916,ok
20220907,4915,ok
20220908,4922,ok
20220909,4922,ok
20220913,4927,ok
20220914,4924,ok
20220915,4919,ok
20220916,4923,ok
20220919,4925,ok
20220920,4927,ok
20220921,4932,ok
20220922,4931,ok
20220923,4932,ok
20220926,4938,ok
20220927,4942,ok
20220928,4944,ok
20220929,4945,ok
20220930,4946,ok
20221010,4948,ok
20221011,4949,ok
20221012,4950,ok
20221013,4955,ok
20221014,4959,ok
20221017,4956,ok
20221018,4961,ok
20221019,4966,ok
20221020,4963,ok
20221021,4965,ok
20221024,4965,ok
20221025,4965,ok
20221026,4969,ok
20221027,4969,ok
20221028,4974,ok
20221031,4974,ok
20221101,4978,ok
20221102,4976,ok
20221103,4977,ok
20221104,4980,ok
20221107,4983,ok
20221108,4979,ok
20221109,4983,ok
20221110,4986,ok
20221111,4992,ok
20221114,4990,ok
20221115,4993,ok
20221116,4995,ok
20221117,4994,ok
20221118,5000,ok
20221121,5002,ok
20221122,5004,ok
20221123,5002,ok
20221124,5006,ok
20221125,5008,ok
20221128,5009,ok
20221129,5014,ok
20221130,5015,ok
20221201,5019,ok
20221202,5020,ok
20221205,5017,ok
20221206,5018,ok
20221207,5019,ok
20221208,5023,ok
20221209,5027,ok
20221212,5031,ok
20221213,5032,ok
20221214,5034,ok
20221215,5037,ok
20221216,5041,ok
20221219,5038,ok
20221220,5039,ok
20221221,5036,ok
20221222,5045,ok
20221223,5051,ok
20221226,5050,ok
20221227,5056,ok
20221228,5055,ok
20221229,5060,ok
20221230,5063,ok
20230103,5062,ok
20230104,5064,ok
20230105,5064,ok
20230106,5064,ok
20230109,5061,ok
20230110,5065,ok
20230111,5066,ok
20230112,5062,ok
20230113,5063,ok
20230116,5064,ok
20230117,5062,ok
20230118,5064,ok
20230119,5065,ok
20230120,5066,ok
20230130,5066,ok
20230131,5065,ok
20230201,5067,ok
20230202,5071,ok
20230203,5068,ok
20230206,5070,ok
20230207,5072,ok
20230208,5072,ok
20230209,5076,ok
20230210,5077,ok
20230213,5078,ok
20230214,5078,ok
20230215,5079,ok
20230216,5084,ok
20230217,5086,ok
20230220,5089,ok
20230221,5090,ok
20230222,5092,ok
20230223,5092,ok
20230224,5091,ok
20230227,5091,ok
20230228,5093,ok
20230301,5095,ok
20230302,5097,ok
20230303,5098,ok
20230306,5099,ok
20230307,5100,ok
20230308,5101,ok
20230309,5102,ok
20230310,5104,ok
20230313,5109,ok
20230314,5111,ok
20230315,5114,ok
20230316,5114,ok
20230317,5115,ok
20230320,5115,ok
20230321,5118,ok
20230322,5117,ok
20230323,5120,ok
20230324,5121,ok
20230327,5123,ok
20230328,5124,ok
20230329,5127,ok
20230330,5127,ok
20230331,5127,ok
20230403,5129,ok
20230404,5134,ok
20230406,5134,ok
20230407,5133,ok
20230410,5143,ok
20230411,5144,ok
20230412,5143,ok
20230413,5145,ok
20230414,5143,ok
20230417,5145,ok
20230418,5152,ok
20230419,5152,ok
20230420,5155,ok
20230421,5154,ok
20230424,5155,ok
20230425,5156,ok
20230426,5148,ok
20230427,5144,ok
20230428,5131,ok
20230504,5095,ok
20230505,5135,ok
20230508,5136,ok
20230509,5134,ok
20230510,5136,ok
20230511,5139,ok
20230512,5142,ok
20230515,5143,ok
20230516,5148,ok
20230517,5151,ok
20230518,5154,ok
20230519,5157,ok
20230522,5158,ok
20230523,5160,ok
20230524,5162,ok
20230525,5163,ok
20230526,5163,ok
20230529,5159,ok
20230530,5161,ok
20230531,5164,ok
20230601,5166,ok
20230602,5168,ok
20230605,5168,ok
20230606,5169,ok
20230607,5169,ok
20230608,5171,ok
20230609,5175,ok
20230612,5177,ok
20230613,5177,ok
20230614,5175,ok
20230615,5178,ok
20230616,5176,ok
20230619,5182,ok
20230620,5184,ok
20230621,5189,ok
20230626,5189,ok
20230627,5192,ok
20230628,5198,ok
20230629,5200,ok
20230630,5205,ok
20230703,5206,ok
20230704,5207,ok
20230705,5208,ok
20230706,5206,ok
20230707,5209,ok
20230710,5210,ok
20230711,5209,ok
20230712,5212,ok
20230713,5211,ok
20230714,5212,ok
20230717,5215,ok
20230718,5215,ok
20230719,5220,ok
20230720,5223,ok
20230721,5223,ok
20230724,5224,ok
20230725,5227,ok
20230726,5231,ok
20230727,5231,ok
20230728,5233,ok
20230731,5233,ok
20230801,5234,ok
20230802,5233,ok
20230803,5236,ok
20230804,5237,ok
20230807,5238,ok
20230808,5240,ok
20230809,5244,ok
20230810,5247,ok
20230811,5248,ok
20230814,5247,ok
20230815,5249,ok
20230816,5252,ok
20230817,5254,ok
20230818,5257,ok
20230821,5257,ok
20230822,5258,ok
20230823,5262,ok
20230824,5262,ok
20230825,5263,ok
20230828,5264,ok
20230829,5263,ok
20230830,5265,ok
20230831,5265,ok
20230901,5266,ok
20230904,5265,ok
20230905,5268,ok
20230906,5269,ok
20230907,5270,ok
20230908,5271,ok
20230911,5272,ok
20230912,5273,ok
20230913,5273,ok
20230914,5274,ok
20230915,5275,ok
20230918,5276,ok
20230919,5276,ok
20230920,5278,ok
20230921,5279,ok
20230922,5280,ok
20230925,5281,ok
20230926,5282,ok
20230927,5282,ok
