experiment_id,group_type,scenario_id,cost_case,capital,participation_cap,slippage_bp,avg_fill_ratio,partial_fill_count,zero_fill_count,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing
U0_static_top3000_v7,U,capacity_300000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.03,5,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.03,10,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.03,15,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.03,20,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.05,5,0.9692272934766203,52,1,527,52,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.05,10,0.9692272934766203,52,1,527,52,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.05,15,0.9692272934766203,52,1,527,52,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_500bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.05,20,0.9692272934766203,52,1,527,52,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_1000bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.1,5,0.9928247825860953,11,1,568,11,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_1000bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.1,10,0.9928247825860953,11,1,568,11,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_1000bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.1,15,0.9928247825860953,11,1,568,11,1,0,0
U0_static_top3000_v7,U,capacity_300000_part_1000bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.1,20,0.9928247825860953,11,1,568,11,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.01,5,0.517804037267043,425,1,154,425,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.01,10,0.517804037267043,425,1,154,425,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.01,15,0.517804037267043,425,1,154,425,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.01,20,0.517804037267043,425,1,154,425,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.03,5,0.8283795485436911,244,1,335,244,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.03,10,0.8283795485436911,244,1,335,244,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.03,15,0.8283795485436911,244,1,335,244,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.03,20,0.8283795485436911,244,1,335,244,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.05,5,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.05,10,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.05,15,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_500bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.05,20,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_1000bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.1,5,0.9791960792244085,36,1,543,36,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_1000bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.1,10,0.9791960792244085,36,1,543,36,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_1000bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.1,15,0.9791960792244085,36,1,543,36,1,0,0
U0_static_top3000_v7,U,capacity_500000_part_1000bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.1,20,0.9791960792244085,36,1,543,36,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.01,5,0.3611912367787948,482,1,97,482,1,0,0
