experiment_id,group_type,scenario_id,cost_case,capital,participation_cap,slippage_bp,avg_fill_ratio,partial_fill_count,zero_fill_count,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing
U0_static_top3000_v7,U,capacity_1000000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.01,10,0.3611912367787948,482,1,97,482,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.01,15,0.3611912367787948,482,1,97,482,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.01,20,0.3611912367787948,482,1,97,482,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.03,5,0.6292453638518128,385,1,194,385,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.03,10,0.6292453638518128,385,1,194,385,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.03,15,0.6292453638518128,385,1,194,385,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.03,20,0.6292453638518128,385,1,194,385,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.05,5,0.7792773490719225,294,1,285,294,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.05,10,0.7792773490719225,294,1,285,294,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.05,15,0.7792773490719225,294,1,285,294,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_500bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.05,20,0.7792773490719225,294,1,285,294,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_1000bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.1,5,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_1000bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.1,10,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_1000bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.1,15,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_1000000_part_1000bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,1000000.0,0.1,20,0.9230832982520665,114,1,465,114,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.01,5,0.1288795986143042,563,1,16,563,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.01,10,0.1288795986143042,563,1,16,563,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.01,15,0.1288795986143042,563,1,16,563,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.01,20,0.1288795986143042,563,1,16,563,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.03,5,0.27258613978617613,512,1,67,512,1,0,0
