unfilled_reason,rows,scenario_id,capital,participation_cap,slippage_bp
filled,465,capacity_500000_part_500bp_slip_15bp,500000,0.05,15
partial_fill_capacity,115,capacity_500000_part_500bp_slip_15bp,500000,0.05,15
filled,465,capacity_500000_part_500bp_slip_20bp,500000,0.05,20
partial_fill_capacity,115,capacity_500000_part_500bp_slip_20bp,500000,0.05,20
filled,543,capacity_500000_part_1000bp_slip_5bp,500000,0.1,5
partial_fill_capacity,37,capacity_500000_part_1000bp_slip_5bp,500000,0.1,5
filled,543,capacity_500000_part_1000bp_slip_10bp,500000,0.1,10
partial_fill_capacity,37,capacity_500000_part_1000bp_slip_10bp,500000,0.1,10
filled,543,capacity_500000_part_1000bp_slip_15bp,500000,0.1,15
partial_fill_capacity,37,capacity_500000_part_1000bp_slip_15bp,500000,0.1,15
filled,543,capacity_500000_part_1000bp_slip_20bp,500000,0.1,20
partial_fill_capacity,37,capacity_500000_part_1000bp_slip_20bp,500000,0.1,20
filled,97,capacity_1000000_part_100bp_slip_5bp,1000000,0.01,5
partial_fill_capacity,483,capacity_1000000_part_100bp_slip_5bp,1000000,0.01,5
filled,97,capacity_1000000_part_100bp_slip_10bp,1000000,0.01,10
partial_fill_capacity,483,capacity_1000000_part_100bp_slip_10bp,1000000,0.01,10
filled,97,capacity_1000000_part_100bp_slip_15bp,1000000,0.01,15
partial_fill_capacity,483,capacity_1000000_part_100bp_slip_15bp,1000000,0.01,15
filled,97,capacity_1000000_part_100bp_slip_20bp,1000000,0.01,20
partial_fill_capacity,483,capacity_1000000_part_100bp_slip_20bp,1000000,0.01,20
filled,194,capacity_1000000_part_300bp_slip_5bp,1000000,0.03,5
partial_fill_capacity,386,capacity_1000000_part_300bp_slip_5bp,1000000,0.03,5
filled,194,capacity_1000000_part_300bp_slip_10bp,1000000,0.03,10
partial_fill_capacity,386,capacity_1000000_part_300bp_slip_10bp,1000000,0.03,10
filled,194,capacity_1000000_part_300bp_slip_15bp,1000000,0.03,15
partial_fill_capacity,386,capacity_1000000_part_300bp_slip_15bp,1000000,0.03,15
filled,194,capacity_1000000_part_300bp_slip_20bp,1000000,0.03,20
partial_fill_capacity,386,capacity_1000000_part_300bp_slip_20bp,1000000,0.03,20
filled,285,capacity_1000000_part_500bp_slip_5bp,1000000,0.05,5
partial_fill_capacity,295,capacity_1000000_part_500bp_slip_5bp,1000000,0.05,5
filled,285,capacity_1000000_part_500bp_slip_10bp,1000000,0.05,10
partial_fill_capacity,295,capacity_1000000_part_500bp_slip_10bp,1000000,0.05,10
filled,285,capacity_1000000_part_500bp_slip_15bp,1000000,0.05,15
partial_fill_capacity,295,capacity_1000000_part_500bp_slip_15bp,1000000,0.05,15
filled,285,capacity_1000000_part_500bp_slip_20bp,1000000,0.05,20
partial_fill_capacity,295,capacity_1000000_part_500bp_slip_20bp,1000000,0.05,20
filled,465,capacity_1000000_part_1000bp_slip_5bp,1000000,0.1,5
partial_fill_capacity,115,capacity_1000000_part_1000bp_slip_5bp,1000000,0.1,5
filled,465,capacity_1000000_part_1000bp_slip_10bp,1000000,0.1,10
partial_fill_capacity,115,capacity_1000000_part_1000bp_slip_10bp,1000000,0.1,10
filled,465,capacity_1000000_part_1000bp_slip_15bp,1000000,0.1,15
partial_fill_capacity,115,capacity_1000000_part_1000bp_slip_15bp,1000000,0.1,15
filled,465,capacity_1000000_part_1000bp_slip_20bp,1000000,0.1,20
partial_fill_capacity,115,capacity_1000000_part_1000bp_slip_20bp,1000000,0.1,20
filled,16,capacity_5000000_part_100bp_slip_5bp,5000000,0.01,5
partial_fill_capacity,564,capacity_5000000_part_100bp_slip_5bp,5000000,0.01,5
filled,16,capacity_5000000_part_100bp_slip_10bp,5000000,0.01,10
partial_fill_capacity,564,capacity_5000000_part_100bp_slip_10bp,5000000,0.01,10
filled,16,capacity_5000000_part_100bp_slip_15bp,5000000,0.01,15
partial_fill_capacity,564,capacity_5000000_part_100bp_slip_15bp,5000000,0.01,15
filled,16,capacity_5000000_part_100bp_slip_20bp,5000000,0.01,20
partial_fill_capacity,564,capacity_5000000_part_100bp_slip_20bp,5000000,0.01,20
filled,67,capacity_5000000_part_300bp_slip_5bp,5000000,0.03,5
partial_fill_capacity,513,capacity_5000000_part_300bp_slip_5bp,5000000,0.03,5
filled,67,capacity_5000000_part_300bp_slip_10bp,5000000,0.03,10
partial_fill_capacity,513,capacity_5000000_part_300bp_slip_10bp,5000000,0.03,10
filled,67,capacity_5000000_part_300bp_slip_15bp,5000000,0.03,15
partial_fill_capacity,513,capacity_5000000_part_300bp_slip_15bp,5000000,0.03,15
filled,67,capacity_5000000_part_300bp_slip_20bp,5000000,0.03,20
partial_fill_capacity,513,capacity_5000000_part_300bp_slip_20bp,5000000,0.03,20
filled,97,capacity_5000000_part_500bp_slip_5bp,5000000,0.05,5
partial_fill_capacity,483,capacity_5000000_part_500bp_slip_5bp,5000000,0.05,5
filled,97,capacity_5000000_part_500bp_slip_10bp,5000000,0.05,10
partial_fill_capacity,483,capacity_5000000_part_500bp_slip_10bp,5000000,0.05,10
filled,97,capacity_5000000_part_500bp_slip_15bp,5000000,0.05,15
partial_fill_capacity,483,capacity_5000000_part_500bp_slip_15bp,5000000,0.05,15
filled,97,capacity_5000000_part_500bp_slip_20bp,5000000,0.05,20
partial_fill_capacity,483,capacity_5000000_part_500bp_slip_20bp,5000000,0.05,20
filled,154,capacity_5000000_part_1000bp_slip_5bp,5000000,0.1,5
partial_fill_capacity,426,capacity_5000000_part_1000bp_slip_5bp,5000000,0.1,5
filled,154,capacity_5000000_part_1000bp_slip_10bp,5000000,0.1,10
partial_fill_capacity,426,capacity_5000000_part_1000bp_slip_10bp,5000000,0.1,10
filled,154,capacity_5000000_part_1000bp_slip_15bp,5000000,0.1,15
partial_fill_capacity,426,capacity_5000000_part_1000bp_slip_15bp,5000000,0.1,15
filled,154,capacity_5000000_part_1000bp_slip_20bp,5000000,0.1,20
partial_fill_capacity,426,capacity_5000000_part_1000bp_slip_20bp,5000000,0.1,20
