ts_code,trade_date,split,target_return,extreme_side,primary_attribution,dirty_event_removed_by_event_clean,from_repaired_daily_sample,entry_daily_source,exit_daily_source,minute_daily_close_mismatch,daily_minute_close_diff_pct,exit_bar_amount,exit_amount_zero,exit_amount_lt_10k,entry_bar_amount,entry_amount_lt_10k,suspect_resume_gap,prev_trade_gap_calendar_days,exright_or_adjustment_evidence,is_new_stock_180d,is_subnew_365d,special_limit_board,is_st,name,industry,market,list_date
600452.SH,20240709,train,-0.29506439395868844,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,5166523.0,False,False,2669283.0,False,False,1,unknown,False,False,False,False,涪陵电力,水力发电,主板,20040303
301021.SZ,20240718,train,0.20044131901720452,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,22682030.0,False,False,2644026.0,False,False,1,unknown,False,False,True,False,英诺激光,专用机械,创业板,20210706
688208.SH,20250513,train,-0.32149883303714344,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,52887550.0,False,False,13465347.0,False,False,1,unknown,False,False,True,False,道通科技,IT设备,科创板,20200213
688063.SH,20240620,train,-0.30279808173993583,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,3295020.0,False,False,4441944.0,False,False,1,unknown,False,False,True,False,派能科技,电气设备,科创板,20201230
688539.SH,20240619,train,-0.28953383921376497,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,868300.0,False,False,1042402.0,False,False,1,unknown,False,False,True,False,高华科技,电器仪表,科创板,20230418
603220.SH,20240723,train,-0.23568211808600337,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,8861757.0,False,False,8649732.0,False,False,1,unknown,False,False,False,False,中贝通信,通信设备,主板,20181115
300969.SZ,20250506,train,-0.2748722812836175,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,3251940.5,False,False,2453843.0,False,False,6,unknown,False,False,True,False,恒帅股份,汽车配件,创业板,20210412
301093.SZ,20250711,train,-0.24299926338158107,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,2375962.0,False,False,3099886.0,False,False,1,unknown,False,False,True,False,华兰股份,医疗保健,创业板,20211101
300551.SZ,20241104,train,0.20553045087605426,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,5497839.0,False,False,15659027.0,False,False,3,unknown,False,False,True,False,古鳌科技,软件服务,创业板,20161018
002595.SZ,20260508,legacy_validation,-0.31449512856789474,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,16778402.0,False,False,7924523.0,False,False,1,unknown,False,False,False,False,豪迈科技,专用机械,主板,20110628
301031.SZ,20250529,train,-0.3374647387363725,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,5191754.0,False,False,4373431.0,False,False,1,unknown,False,False,True,False,中熔电气,电气设备,创业板,20210715
