rule_id,split,roundtrip_cost_bps,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
combo_low_liquidity_weak_momentum,research_holdout,0,328,6560,20.0,13.51043228993845,0.008620458980733348,0.007948392037320177,0.6554878048780488,0.5596036585365853,2.226293856855249,1.7030792638690653,-0.4124087515675061,0.008620458980733348,0.1089691079961218,-0.10884439116155106
combo_low_liquidity_weak_momentum,research_holdout,20,328,6560,20.0,6.562988892348035,0.006620458980733347,0.005948392037320175,0.6280487804878049,0.5387195121951219,1.8540597471508231,1.5031278800012107,-0.4394717945859763,0.006620458980733346,0.1069691079961218,-0.11084439116155106
combo_low_liquidity_weak_momentum,research_holdout,40,328,6560,20.0,2.9367948024128454,0.004620458980733346,0.003948392037320175,0.600609756097561,0.5129573170731707,1.5422210197679893,1.3275419097919703,-0.471188096130156,0.004620458980733345,0.1049691079961218,-0.11284439116155107
combo_low_liquidity_weak_momentum,research_holdout,60,328,6560,20.0,1.0465673732037915,0.0026204589807333474,0.001948392037320177,0.5396341463414634,0.4894817073170732,1.2793546854852156,1.1734647116474937,-0.511291623783841,0.002620458980733347,0.1029691079961218,-0.11484439116155107
combo_low_liquidity_weak_momentum,research_holdout,100,328,6560,20.0,-0.4490840375378653,-0.0013795410192666538,-0.0020516079626798256,0.47560975609756095,0.44222560975609754,0.8786656044835549,0.9200106448741345,-0.7284577826205004,-0.0013795410192666533,0.09896910799612181,-0.11884439116155107
combo_low_liquidity_weak_momentum,research_holdout,150,328,6560,20.0,-0.8939685241996732,-0.006379541019266652,-0.007051607962679823,0.39939024390243905,0.3820121951219512,0.5504226667388685,0.6839880615699825,-0.934739988849266,-0.006379541019266653,0.0939691079961218,-0.12384439116155108
combo_low_liquidity_weak_momentum,research_holdout,200,328,6560,20.0,-0.9797620072860614,-0.011379541019266652,-0.012051607962679825,0.32621951219512196,0.325609756097561,0.34403006530574914,0.5141219571920796,-0.9844289149439611,-0.011379541019266654,0.08896910799612182,-0.12884439116155105
combo_low_size_low_liquidity,research_holdout,0,328,6560,20.0,14.311461384436734,0.009010606489988079,0.010632891164967899,0.6310975609756098,0.5617378048780488,1.9513934082431663,1.6505885120910402,-0.6297914336937063,0.009010606489988077,0.16700942309293207,-0.1309943267592099
combo_low_size_low_liquidity,research_holdout,20,328,6560,20.0,6.980194485502394,0.007010606489988078,0.008632891164967899,0.6128048780487805,0.5402439024390244,1.6860642496573326,1.475505385811025,-0.6639342940260895,0.007010606489988078,0.16500942309293207,-0.1329943267592099
combo_low_size_low_liquidity,research_holdout,40,328,6560,20.0,3.153805898237298,0.005010606489988078,0.006632891164967899,0.600609756097561,0.5196646341463415,1.4552756789649963,1.3194936883946353,-0.7321391987562129,0.005010606489988078,0.1630094230929321,-0.13499432675920991
combo_low_size_low_liquidity,research_holdout,60,328,6560,20.0,1.1592978681894155,0.003010606489988079,0.0046328911649679005,0.5701219512195121,0.49801829268292686,1.2544021476586695,1.1806587638381902,-0.7912929489776901,0.0030106064899880795,0.1610094230929321,-0.13699432675920992
combo_low_size_low_liquidity,research_holdout,100,328,6560,20.0,-0.41878464411816996,-0.0009893935100119206,0.0006328911649678998,0.5121951219512195,0.4533536585365854,0.9276493915717278,0.9472684905319042,-0.8896389215415144,-0.0009893935100119208,0.1570094230929321,-0.14099432675920992
combo_low_size_low_liquidity,research_holdout,150,328,6560,20.0,-0.8881486572187853,-0.0059893935100119216,-0.0043671088350321005,0.4268292682926829,0.3951219512195122,0.6327408810990054,0.7232608948086735,-0.9511981834160699,-0.005989393510011921,0.15200942309293208,-0.14599432675920992
combo_low_size_low_liquidity,research_holdout,200,328,6560,20.0,-0.9786535136327164,-0.010989393510011923,-0.009367108835032101,0.36890243902439024,0.3388719512195122,0.4317699552046642,0.5570700187698381,-0.9857400798583794,-0.010989393510011922,0.14700942309293208,-0.1509943267592099
low_log_amount,research_holdout,0,328,6560,20.0,4.9603392967895426,0.006137998258078351,0.006031542520819996,0.6067073170731707,0.5382621951219512,1.5747990022523748,1.415713587429671,-0.6885339004425626,0.006137998258078351,0.1546772666212437,-0.12986544515185666
low_log_amount,research_holdout,20,328,6560,20.0,2.1005933627971074,0.004137998258078349,0.004031542520819995,0.5792682926829268,0.5175304878048781,1.3597414011083049,1.2634684453545575,-0.7575725351878663,0.00413799825807835,0.1526772666212437,-0.13186544515185666
low_log_amount,research_holdout,40,328,6560,20.0,0.6108355957905749,0.0021379982580783503,0.0020315425208199955,0.5426829268292683,0.49573170731707317,1.1727503073821406,1.1280918440016752,-0.8249326589481185,0.002137998258078349,0.15067726662124373,-0.13386544515185667
low_log_amount,research_holdout,60,328,6560,20.0,-0.16422780002128312,0.00013799825807835097,3.154252081999675e-05,0.5,0.4716463414634146,1.010350522308625,1.0077863061306533,-0.8738900273959264,0.00013799825807835205,0.14867726662124373,-0.13586544515185667
low_log_amount,research_holdout,100,328,6560,20.0,-0.7758993851309763,-0.00386200174192165,-0.003968457479180004,0.45426829268292684,0.42301829268292684,0.7494904546966673,0.8063106022817561,-0.9348366312441773,-0.0038620017419216503,0.14467726662124372,-0.13986544515185667
low_log_amount,research_holdout,150,328,6560,20.0,-0.9570818202018225,-0.008862001741921649,-0.008968457479180004,0.38414634146341464,0.36310975609756097,0.5162037007223524,0.6142996443926404,-0.977377296316285,-0.008862001741921649,0.13967726662124372,-0.14486544515185668
low_log_amount,research_holdout,200,328,6560,20.0,-0.9918492221239189,-0.013862001741921651,-0.013968457479180005,0.3323170731707317,0.30838414634146344,0.3561137223344585,0.47292171722246285,-0.9946672584833764,-0.013862001741921653,0.1346772666212437,-0.14986544515185668
low_log_total_mv,research_holdout,0,328,6560,20.0,16.74980171797688,0.010210613481014336,0.0040490480389946655,0.5396341463414634,0.505640243902439,1.6857729438322266,1.4933365648232861,-0.8212278449184185,0.010210613481014336,0.2481282858667948,-0.14852931385738127
low_log_total_mv,research_holdout,20,328,6560,20.0,8.249462384375777,0.008210613481014335,0.0020490480389946638,0.5121951219512195,0.4902439024390244,1.5183992327217986,1.3783900725362348,-0.8714775955010955,0.008210613481014336,0.2461282858667948,-0.15052931385738128
