rule_id,split,year,roundtrip_cost_bps,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
combo_low_liquidity_weak_momentum,train,2018,0,183,3660,20.0,-0.46437251592602435,-0.002582090876745601,-0.003519443882487211,0.48633879781420764,0.453551912568306,0.8464854267089573,0.8817542570120902,-0.7477173094147379,-0.0025820908767456006,0.090580794089182,-0.14143470458087265
combo_low_liquidity_weak_momentum,train,2018,40,183,3660,20.0,-0.7435755263362787,-0.006582090876745604,-0.007519443882487213,0.4371584699453552,0.43224043715846994,0.6529101651600783,0.7263998285845651,-0.8429193099776544,-0.006582090876745604,0.086580794089182,-0.14543470458087265
combo_low_liquidity_weak_momentum,train,2019,0,244,4880,20.0,5.9348441807539665,0.008466940447738797,0.009668065592263464,0.6188524590163934,0.5549180327868852,1.9782455008586568,1.6712655041127662,-0.5500362296058449,0.008466940447738795,0.09717746000612035,-0.08665448765042257
combo_low_liquidity_weak_momentum,train,2019,40,244,4880,20.0,1.627055284781091,0.004466940447738796,0.005668065592263462,0.5778688524590164,0.5186475409836065,1.4359088127637265,1.309178972607119,-0.6841477283007784,0.004466940447738794,0.09317746000612034,-0.09065448765042257
combo_low_liquidity_weak_momentum,train,2020,0,243,4860,20.0,0.4471854075878685,0.002207934863677444,0.0027345648067830684,0.5267489711934157,0.4757201646090535,1.1780244782075273,1.1202256380931486,-0.5606939719438365,0.0022079348636774433,0.10054459431641646,-0.16498422061216111
combo_low_liquidity_weak_momentum,train,2020,40,243,4860,20.0,-0.4531213970914315,-0.0017920651363225592,-0.0012654351932169323,0.4773662551440329,0.44670781893004113,0.8753141439662326,0.912639801348972,-0.6935548563626885,-0.0017920651363225583,0.09654459431641646,-0.16898422061216112
combo_low_liquidity_weak_momentum,train,2021,0,243,4860,20.0,7.596684132176936,0.009361397862403203,0.008061369448397988,0.6419753086419753,0.5409465020576132,2.304420241489168,1.646051966317509,-0.3268716732815412,0.009361397862403203,0.12225185130480395,-0.09701703607606042
combo_low_liquidity_weak_momentum,train,2021,40,243,4860,20.0,2.2725854964053767,0.005361397862403201,0.004061369448397985,0.5679012345679012,0.5055555555555555,1.6137124616990732,1.3271777666871019,-0.3595213796125847,0.005361397862403201,0.11825185130480395,-0.10101703607606043
combo_low_liquidity_weak_momentum,train,2022,0,242,4840,20.0,-0.5952215427578291,-0.002926664478627101,-0.0035070502245111183,0.4628099173553719,0.425,0.8147899301813977,0.869143829704124,-0.9141151551298855,-0.0029266644786271013,0.1130034192511491,-0.14950181794261738
combo_low_liquidity_weak_momentum,train,2022,40,242,4840,20.0,-0.8472255342149144,-0.006926664478627105,-0.007507050224511119,0.39669421487603307,0.39297520661157026,0.6171730156479422,0.71977485316873,-0.9347522464501524,-0.006926664478627102,0.10900341925114909,-0.15350181794261739
combo_low_liquidity_weak_momentum,validation,2023,0,242,4840,20.0,0.7872841387251086,0.0029102443388495996,-0.0018853502967761144,0.45454545454545453,0.453099173553719,1.3109860889477523,1.187315452904077,-0.5496438683509848,0.0029102443388496005,0.20481800237255526,-0.07811102516175936
combo_low_liquidity_weak_momentum,validation,2023,40,242,4840,20.0,-0.3211760838272366,-0.0010897556611504015,-0.005885350296776115,0.384297520661157,0.4109504132231405,0.9066386033569059,0.9387689584216031,-0.7640446222411414,-0.0010897556611504024,0.20081800237255526,-0.08211102516175936
combo_low_liquidity_weak_momentum,validation,2024,0,242,4840,20.0,1.473279528811891,0.006554369497990533,-0.004188924714547193,0.4669421487603306,0.46301652892561984,1.3369223898261233,1.25953710398342,-0.8457220479953932,0.006554369497990531,0.5914288577738238,-0.22707616071038067
combo_low_liquidity_weak_momentum,validation,2024,40,242,4840,20.0,-0.06132128996203334,0.0025543694979905307,-0.008188924714547196,0.43388429752066116,0.44028925619834713,1.1179599732637937,1.0930856852269555,-0.8604478917416158,0.002554369497990529,0.5874288577738238,-0.23107616071038067
combo_low_liquidity_weak_momentum,research_holdout,2025,0,243,4860,20.0,12.814706265574802,0.011243411810766116,0.01029713130958278,0.6872427983539094,0.5792181069958847,3.1486469649655477,2.095921240892092,-0.37662533180841984,0.011243411810766114,0.1089691079961218,-0.10884439116155106
combo_low_liquidity_weak_momentum,research_holdout,2025,40,243,4860,20.0,4.269343968049983,0.007243411810766113,0.006297131309582779,0.6255144032921811,0.5308641975308642,2.096189061706829,1.602158223778646,-0.41416092289055817,0.007243411810766113,0.1049691079961218,-0.11284439116155107
combo_low_liquidity_weak_momentum,research_holdout,2026,0,85,1700,20.0,0.05036126074554015,0.0011218997136984944,0.00467444202697746,0.5647058823529412,0.5035294117647059,1.092210700346853,1.0623850895705953,-0.4124087515675058,0.0011218997136984955,0.07493064328980917,-0.10562904355586844
combo_low_liquidity_weak_momentum,research_holdout,2026,40,85,1700,20.0,-0.2528871096130535,-0.002878100286301507,0.0006744420269774572,0.5294117647058824,0.46176470588235297,0.7943015692788121,0.8564204569292145,-0.47118809613015633,-0.002878100286301506,0.07093064328980916,-0.10962904355586844
combo_low_size_low_liquidity,train,2018,0,243,4860,20.0,-0.3789203445873609,-0.0010566071352863034,0.001696963243674865,0.5061728395061729,0.4915637860082305,0.9355819269872995,0.9489769749691748,-0.7986138000771144,-0.0010566071352863017,0.09652129340233123,-0.15911208081115433
combo_low_size_low_liquidity,train,2018,40,243,4860,20.0,-0.7661487760921222,-0.005056607135286306,-0.002303036756325135,0.4773662551440329,0.46399176954732513,0.7256266224021302,0.7780981308700438,-0.9055033537147713,-0.005056607135286305,0.09252129340233123,-0.16311208081115433
combo_low_size_low_liquidity,train,2019,0,244,4880,20.0,4.014523740590371,0.0071496746387604065,0.008155049378966602,0.6557377049180327,0.5678278688524591,1.7687271779748157,1.5596925103035402,-0.5505633574040658,0.0071496746387604065,0.09067665296884218,-0.1274406326107715
combo_low_size_low_liquidity,train,2019,40,244,4880,20.0,0.8970932900560644,0.003149674638760403,0.004155049378966602,0.6024590163934426,0.5219262295081967,1.2926294495765325,1.2161106052584647,-0.7098446836639527,0.0031496746387604034,0.08667665296884218,-0.1314406326107715
combo_low_size_low_liquidity,train,2020,0,243,4860,20.0,1.3551734553150259,0.004047958420058028,0.005265905446702118,0.6049382716049383,0.5125514403292181,1.4237708990363376,1.2759283462410678,-0.5023201160237223,0.004047958420058028,0.095801305582234,-0.15571765517471597
combo_low_size_low_liquidity,train,2020,40,243,4860,20.0,-0.1081138442560664,4.7958420058025836e-05,0.0012659054467021177,0.5308641975308642,0.47716049382716047,1.004241227866034,1.0028757483563713,-0.6150778362720613,4.795842005802648e-05,0.091801305582234,-0.15971765517471598
combo_low_size_low_liquidity,train,2021,0,243,4860,20.0,6.04720639779026,0.008483246112667184,0.010035184877836407,0.6337448559670782,0.5736625514403292,2.1349706131101063,1.7347839588295138,-0.32264073389209247,0.008483246112667186,0.12045655930994599,-0.08158175298569278
combo_low_size_low_liquidity,train,2021,40,243,4860,20.0,1.6807392113983877,0.004483246112667184,0.006035184877836405,0.5967078189300411,0.5320987654320988,1.4973830530780698,1.3365707025127327,-0.39556164365893254,0.0044832461126671835,0.11645655930994599,-0.08558175298569279
combo_low_size_low_liquidity,train,2022,0,242,4840,20.0,-0.8444927854321037,-0.00722159784048042,-0.006619944524475622,0.3760330578512397,0.3950413223140496,0.49394975945914527,0.5938024147493588,-0.8770336021172228,-0.00722159784048042,0.10461076690431878,-0.12670023468132424
combo_low_size_low_liquidity,train,2022,40,242,4840,20.0,-0.9415128116258366,-0.01122159784048042,-0.010619944524475622,0.30578512396694213,0.3475206611570248,0.33740816993398365,0.446326453474599,-0.9420996917187,-0.011221597840480421,0.10061076690431878,-0.13070023468132425
combo_low_size_low_liquidity,validation,2023,0,242,4840,20.0,3.506893207148819,0.007389917748076013,-0.0030060532117863136,0.4214876033057851,0.4444214876033058,2.226814748161854,1.823040580152365,-0.36090304373644533,0.007389917748076015,0.481139634598743,-0.03341613013088792
combo_low_size_low_liquidity,validation,2023,40,242,4840,20.0,0.7173418598265968,0.0033899177480760123,-0.007006053211786314,0.30578512396694213,0.3822314049586777,1.3962882262771164,1.3000877425252269,-0.684937507614479,0.0033899177480760127,0.477139634598743,-0.037416130130887924
combo_low_size_low_liquidity,validation,2024,0,242,4840,20.0,0.44025626670646534,0.003761870119127094,-0.0012060374069271297,0.49173553719008267,0.46735537190082643,1.193436041563475,1.1566092294362127,-0.8350510487936154,0.0037618701191270915,0.5266750184450688,-0.23747716216166376
combo_low_size_low_liquidity,validation,2024,40,242,4840,20.0,-0.4543268195944007,-0.0002381298808729124,-0.00520603740692713,0.45867768595041325,0.44400826446280994,0.988938764566682,0.9909080429457957,-0.8626570497839654,-0.0002381298808729115,0.5226750184450688,-0.24147716216166376
combo_low_size_low_liquidity,research_holdout,2025,0,243,4860,20.0,23.67882870965562,0.013891369155395863,0.014817215096070573,0.6872427983539094,0.5958847736625514,2.9528754112415614,2.1809628963747807,-0.4310957644862926,0.013891369155395865,0.16700942309293207,-0.11874793174632244
combo_low_size_low_liquidity,research_holdout,2025,40,243,4860,20.0,8.432920770476112,0.009891369155395862,0.010817215096070573,0.6584362139917695,0.5534979423868313,2.1746036889843716,1.7348669575292608,-0.4655494853495864,0.009891369155395862,0.1630094230929321,-0.12274793174632244
combo_low_size_low_liquidity,research_holdout,2026,0,85,1700,20.0,-0.3795709851316359,-0.0049426326593541734,-0.002098830989998135,0.47058823529411764,0.4641176470588235,0.6951083630921328,0.7505839814611359,-0.6297914336937063,-0.004942632659354174,0.06968543147310349,-0.1309943267592099
combo_low_size_low_liquidity,research_holdout,2026,40,85,1700,20.0,-0.559647960657297,-0.008942632659354174,-0.006098830989998136,0.43529411764705883,0.4229411764705882,0.5138458983010913,0.594213439015945,-0.6995538159749378,-0.008942632659354176,0.06568543147310349,-0.13499432675920991
low_log_amount,train,2018,0,243,4860,20.0,-0.23411632361250045,-0.00045912590712940784,0.003714017825372251,0.5349794238683128,0.4882716049382716,0.965366040687004,0.9746881762327666,-0.7314314457810733,-0.00045912590712940773,0.09182043162562445,-0.15185105318968348
low_log_amount,train,2018,40,243,4860,20.0,-0.7113060324602387,-0.00445912590712941,-0.0002859821746277498,0.49794238683127573,0.44670781893004113,0.7065389190970602,0.7797874213214564,-0.8712967609367457,-0.0044591259071294085,0.08782043162562445,-0.15585105318968348
low_log_amount,train,2019,0,244,4880,20.0,3.8967103284867797,0.006907005947343728,0.009333580480753261,0.6557377049180327,0.5571721311475409,1.8949129052936655,1.588557373983691,-0.47211352067611667,0.006907005947343728,0.07232525568472671,-0.10010991020006636
low_log_amount,train,2019,40,244,4880,20.0,0.8526138674772052,0.0029070059473437254,0.005333580480753261,0.5778688524590164,0.5137295081967214,1.3141893930865485,1.2141465092724142,-0.6436678966096238,0.002907005947343726,0.06832525568472671,-0.10410991020006637
low_log_amount,train,2020,0,243,4860,20.0,1.592750361812565,0.0044136102559275804,0.0043106767138121945,0.5679012345679012,0.5102880658436214,1.4792584505431148,1.3166359748430942,-0.46873172545514574,0.004413610255927579,0.10024134238368924,-0.14394592326643602
low_log_amount,train,2020,40,243,4860,20.0,-0.017734235221108396,0.00041361025592757727,0.0003106767138121934,0.5102880658436214,0.47530864197530864,1.03743261222862,1.025925692362449,-0.5341277321685723,0.0004136102559275773,0.09624134238368923,-0.14794592326643602
low_log_amount,train,2021,0,243,4860,20.0,21.08971612881144,0.014239471186161572,0.004682006088927248,0.5761316872427984,0.5537037037037037,2.522476660720308,2.012528447513039,-0.3897820785449244,0.014239471186161572,0.3686607123608557,-0.11498154750917784
low_log_amount,train,2021,40,243,4860,20.0,7.4339419442504475,0.01023947118616157,0.0006820060889272473,0.5061728395061729,0.512962962962963,1.9152314716919097,1.6434022702316096,-0.4542071895768026,0.01023947118616157,0.3646607123608557,-0.11898154750917785
low_log_amount,train,2022,0,242,4840,20.0,-0.8835135604812276,-0.008399028683212384,-0.006417413146001727,0.371900826446281,0.3888429752066116,0.4457620596438902,0.5404457753492153,-0.8986707261573199,-0.008399028683212384,0.10858414991194479,-0.12908423902132066
low_log_amount,train,2022,40,242,4840,20.0,-0.9562403325489686,-0.012399028683212385,-0.010417413146001728,0.32231404958677684,0.3394628099173554,0.30241314503834155,0.4037575286862099,-0.9555432726131621,-0.012399028683212384,0.10458414991194478,-0.13308423902132066
low_log_amount,validation,2023,0,242,4840,20.0,7.642715238786842,0.010230360396284893,-0.0035663181733649823,0.4256198347107438,0.45206611570247934,2.7851465185023683,2.149663674978587,-0.38876392845349694,0.010230360396284891,0.5790057781756983,-0.03461704770054495
low_log_amount,validation,2023,40,242,4840,20.0,2.301497271800994,0.006230360396284889,-0.007566318173364983,0.3347107438016529,0.39090909090909093,1.7563155903310261,1.5570074348093565,-0.6987289192151432,0.0062303603962848885,0.5750057781756983,-0.03861704770054496
low_log_amount,validation,2024,0,242,4840,20.0,1.5830503979311255,0.0061988966819602745,-0.0016090235085225143,0.49173553719008267,0.4698347107438017,1.343432340174921,1.2695606317198653,-0.7399382241185009,0.006198896681960273,0.5509797135602565,-0.1922285893773429
low_log_amount,validation,2024,40,242,4840,20.0,-0.019013486300876736,0.00219889668196027,-0.005609023508522515,0.43388429752066116,0.44400826446280994,1.1087255199005819,1.0874025728645462,-0.8352550534899956,0.0021988966819602687,0.5469797135602565,-0.19622858937734292
low_log_amount,research_holdout,2025,0,243,4860,20.0,9.637351117427974,0.010439831635825125,0.010087078521347909,0.6584362139917695,0.5732510288065844,2.2220137041272663,1.7994664494502297,-0.48263966033286754,0.010439831635825125,0.1546772666212437,-0.11598956693631093
low_log_amount,research_holdout,2025,40,243,4860,20.0,3.0521047930156104,0.0064398316358251235,0.0060870785213479085,0.5925925925925926,0.5300411522633744,1.640951042161208,1.4337668677545898,-0.5916296757105648,0.006439831635825124,0.15067726662124373,-0.11998956693631094
low_log_amount,research_holdout,2026,0,85,1700,20.0,-0.4396782402881986,-0.0061601842218330155,-0.001622528714755178,0.4588235294117647,0.43823529411764706,0.6329546900942445,0.6864003504047321,-0.6395224036997057,-0.0061601842218330155,0.05624160856601518,-0.12986544515185666
low_log_amount,research_holdout,2026,40,85,1700,20.0,-0.6024694132868715,-0.010160184221833015,-0.0056225287147551786,0.4,0.3976470588235294,0.46621503709826634,0.5374418023073131,-0.7196782818281544,-0.010160184221833016,0.052241608566015174,-0.13386544515185667
