rule_id,split,reference_amount,capital_yuan,per_stock_order_yuan,participation_cap,roundtrip_cost_bps,fill_policy,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return,avg_fill_ratio,partial_fill_days,zero_fill_days,partial_fill_trades,zero_fill_trades,participation_p50,participation_p90,participation_p99
combo_low_liquidity_weak_momentum,research_holdout,entry_amount,100000,5000.0,0.01,40,partial_fill_cash_drag_no_refill,328,6560,20.0,2.9367948024128454,0.004620458980733346,0.003948392037320175,0.600609756097561,0.5129573170731707,1.5422210197679893,1.3275419097919703,-0.471188096130156,0.004620458980733345,0.1049691079961218,-0.11284439116155107,1.0,0,0,0,0,0.00016723070944529462,0.00029930402106955503,0.00044149190483134463
combo_low_liquidity_weak_momentum,research_holdout,entry_amount,100000,5000.0,0.03,40,partial_fill_cash_drag_no_refill,328,6560,20.0,2.9367948024128454,0.004620458980733346,0.003948392037320175,0.600609756097561,0.5129573170731707,1.5422210197679893,1.3275419097919703,-0.471188096130156,0.004620458980733345,0.1049691079961218,-0.11284439116155107,1.0,0,0,0,0,0.00016723070944529462,0.00029930402106955503,0.00044149190483134463
combo_low_liquidity_weak_momentum,research_holdout,entry_amount,100000,5000.0,0.05,40,partial_fill_cash_drag_no_refill,328,6560,20.0,2.9367948024128454,0.004620458980733346,0.003948392037320175,0.600609756097561,0.5129573170731707,1.5422210197679893,1.3275419097919703,-0.471188096130156,0.004620458980733345,0.1049691079961218,-0.11284439116155107,1.0,0,0,0,0,0.00016723070944529462,0.00029930402106955503,0.00044149190483134463
combo_low_liquidity_weak_momentum,research_holdout,entry_amount,100000,5000.0,0.1,40,partial_fill_cash_drag_no_refill,328,6560,20.0,2.9367948024128454,0.004620458980733346,0.003948392037320175,0.600609756097561,0.5129573170731707,1.5422210197679893,1.3275419097919703,-0.471188096130156,0.004620458980733345,0.1049691079961218,-0.11284439116155107,1.0,0,0,0,0,0.00016723070944529462,0.00029930402106955503,0.00044149190483134463
combo_low_liquidity_weak_momentum,research_holdout,entry_amount,300000,15000.0,0.01,40,partial_fill_cash_drag_no_refill,328,6560,20.0,2.9367948024128454,0.004620458980733346,0.003948392037320175,0.600609756097561,0.5129573170731707,1.5422210197679893,1.3275419097919703,-0.471188096130156,0.004620458980733345,0.1049691079961218,-0.11284439116155107,1.0,0,0,0,0,0.0005016921283358838,0.0008979120632086651,0.0013244757144940337
combo_low_liquidity_weak_momentum,research_holdout,entry_amount,300000,15000.0,0.03,40,partial_fill_cash_drag_no_refill,328,6560,20.0,2.9367948024128454,0.004620458980733346,0.003948392037320175,0.600609756097561,0.5129573170731707,1.5422210197679893,1.3275419097919703,-0.471188096130156,0.004620458980733345,0.1049691079961218,-0.11284439116155107,1.0,0,0,0,0,0.0005016921283358838,0.0008979120632086651,0.0013244757144940337
combo_low_liquidity_weak_momentum,research_holdout,entry_amount,300000,15000.0,0.05,40,partial_fill_cash_drag_no_refill,328,6560,20.0,2.9367948024128454,0.004620458980733346,0.003948392037320175,0.600609756097561,0.5129573170731707,1.5422210197679893,1.3275419097919703,-0.471188096130156,0.004620458980733345,0.1049691079961218,-0.11284439116155107,1.0,0,0,0,0,0.0005016921283358838,0.0008979120632086651,0.0013244757144940337
combo_low_liquidity_weak_momentum,research_holdout,entry_amount,300000,15000.0,0.1,40,partial_fill_cash_drag_no_refill,328,6560,20.0,2.9367948024128454,0.004620458980733346,0.003948392037320175,0.600609756097561,0.5129573170731707,1.5422210197679893,1.3275419097919703,-0.471188096130156,0.004620458980733345,0.1049691079961218,-0.11284439116155107,1.0,0,0,0,0,0.0005016921283358838,0.0008979120632086651,0.0013244757144940337
combo_low_liquidity_weak_momentum,research_holdout,entry_amount,500000,25000.0,0.01,40,partial_fill_cash_drag_no_refill,328,6560,20.0,2.928568052624273,0.004613922581527329,0.003948392037320175,0.600609756097561,0.5129573170731707,1.541453958950465,1.3270790159133148,-0.4711880961301561,0.004613922581527329,0.1049691079961218,-0.11284439116155107,0.9998924742073171,4,0,4,0,0.0008361535472264731,0.0014965201053477753,0.0022074595241567234
combo_low_liquidity_weak_momentum,research_holdout,entry_amount,500000,25000.0,0.03,40,partial_fill_cash_drag_no_refill,328,6560,20.0,2.9367948024128454,0.004620458980733346,0.003948392037320175,0.600609756097561,0.5129573170731707,1.5422210197679893,1.3275419097919703,-0.471188096130156,0.004620458980733345,0.1049691079961218,-0.11284439116155107,1.0,0,0,0,0,0.0008361535472264731,0.0014965201053477753,0.0022074595241567234
