rule_id,split,trades,unique_stocks,unique_industries,top1_stock_trade_share,top10_stock_trade_share,top1_industry_trade_share,top5_industry_trade_share,top10_stock_return_sum,bottom10_stock_return_sum,top10_stock_positive_contribution_ratio,top5_industry_return_sum,bottom5_industry_return_sum
combo_low_liquidity_weak_momentum,research_holdout,6560,1013,98,0.00853658536585366,0.0760670731707317,0.05960365853658536,0.23948170731707316,9.622689891460993,-7.279942441731816,0.10681338933543906,15.41802704169129,-2.770769416529844
combo_low_size_low_liquidity,research_holdout,6560,346,64,0.02804878048780488,0.21814024390243902,0.13185975609756098,0.38414634146341464,21.238960520927563,-9.147070256805995,0.2765202624587991,31.397462451282653,-4.007357696491679
low_log_amount,research_holdout,6560,371,59,0.025,0.1788109756097561,0.1315548780487805,0.4141768292682927,17.64185728906168,-8.75989552320027,0.2733063313957273,26.390804562273978,-5.28561442179024
low_log_total_mv,research_holdout,6560,80,30,0.049695121951219515,0.44664634146341464,0.18140243902439024,0.5097560975609756,43.264069908928256,-13.286445518080313,0.5023209499724387,45.77646065003792,-6.841540498015968
low_stock_amount_share_in_industry,research_holdout,6560,270,14,0.03719512195121951,0.24039634146341463,0.28536585365853656,0.933079268292683,17.622930269421474,-9.98873707584817,0.2766472833153302,43.22375739057517,0.042764328963374676
low_stock_ret_60d,research_holdout,6560,1081,100,0.008841463414634146,0.075,0.09085365853658536,0.2894817073170732,13.67075359935065,-15.736835753742595,0.09729968619668357,27.625559868831736,-8.596658381217763
combo_low_liquidity_weak_momentum,train,23100,1854,106,0.00683982683982684,0.05437229437229437,0.05865800865800866,0.225021645021645,14.781085476615015,-15.131654372205254,0.07252068279963994,24.07564994095957,-11.55616866785947
combo_low_size_low_liquidity,train,24300,626,91,0.025555555555555557,0.15008230452674898,0.06777777777777778,0.3006995884773663,22.236785018446913,-17.54550208173627,0.18207894917529732,25.481038823691982,-11.226586831853865
low_log_amount,train,24300,902,100,0.020864197530864197,0.16699588477366256,0.07098765432098765,0.3045267489711934,20.803854031023256,-12.426649500418787,0.15019985852739032,27.31505495863032,-3.8941122703695754
low_log_total_mv,train,24300,279,67,0.035555555555555556,0.234238683127572,0.15065843621399178,0.38641975308641974,35.70830862654149,-30.122658238813287,0.23358410231192198,36.80134701926944,-13.165314667938484
low_stock_amount_share_in_industry,train,24300,619,37,0.022386831275720165,0.1760493827160494,0.27185185185185184,0.7190946502057614,31.9214778491404,-14.197619502342524,0.20198878521500702,89.10172939950934,-3.8052818288507027
low_stock_ret_60d,train,23100,1893,106,0.005108225108225109,0.039696969696969696,0.1787012987012987,0.3887878787878788,25.355663666008695,-21.33223601875681,0.0752119175053315,59.4230449146998,-12.192357947811441
combo_low_liquidity_weak_momentum,validation,9680,912,97,0.013119834710743801,0.09235537190082645,0.09411157024793389,0.3191115702479339,21.390066306124996,-10.650321895094862,0.17918697210381343,22.256247202199763,-4.3556387234811655
combo_low_size_low_liquidity,validation,9680,349,59,0.024173553719008263,0.18894628099173555,0.10888429752066116,0.4140495867768595,26.942764183322232,-18.450092114749125,0.2906885560603153,24.378576278021214,-10.173205820584519
low_log_amount,validation,9680,350,56,0.0256198347107438,0.19607438016528925,0.11869834710743801,0.42355371900826444,35.80709724818667,-10.750797077687723,0.3331105489295352,39.406974213875515,-2.5862439760128577
low_log_total_mv,validation,9680,95,30,0.04927685950413223,0.4081611570247934,0.1003099173553719,0.4172520661157025,85.444698662645,-12.701024664561608,0.39367985632543173,80.76554274102511,-8.857684290294966
low_stock_amount_share_in_industry,validation,9680,282,28,0.0253099173553719,0.22985537190082644,0.22964876033057852,0.8118801652892562,39.66294664685307,-12.456530111353805,0.3530237305561516,65.99119564501623,-0.27544478332759237
low_stock_ret_60d,validation,9680,1135,97,0.007954545454545454,0.0634297520661157,0.07727272727272727,0.3340909090909091,25.342596035451404,-18.266982316530317,0.14311134367019288,28.43210186861282,-9.900303423720088
