rule_id,split,cost_bps,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_log_total_mv,research_holdout,0,328,6560,20.0,16.74980171797688,0.010210613481014336,0.0040490480389946655,0.5396341463414634,0.505640243902439,1.6857729438322266,1.4933365648232861,-0.8212278449184185,0.010210613481014336,0.2481282858667948,-0.14852931385738127
low_stock_ret_60d,research_holdout,0,328,6560,20.0,17.706427124495782,0.009926589919772548,0.010599823751003247,0.600609756097561,0.504420731707317,1.831860814863715,1.423634554004225,-0.5692227802893268,0.009926589919772546,0.1899077288623758,-0.1500717704511215
combo_low_size_low_liquidity,research_holdout,0,328,6560,20.0,14.311461384436734,0.009010606489988079,0.010632891164967899,0.6310975609756098,0.5617378048780488,1.9513934082431663,1.6505885120910402,-0.6297914336937063,0.009010606489988077,0.16700942309293207,-0.1309943267592099
combo_low_liquidity_weak_momentum,research_holdout,0,328,6560,20.0,13.51043228993845,0.008620458980733348,0.007948392037320177,0.6554878048780488,0.5596036585365853,2.226293856855249,1.7030792638690653,-0.4124087515675061,0.008620458980733348,0.1089691079961218,-0.10884439116155106
low_stock_amount_share_in_industry,research_holdout,0,328,6560,20.0,7.066213509696933,0.007078204817076282,0.008495771671790164,0.6158536585365854,0.5388719512195121,1.6863527321647271,1.4565938629830764,-0.5785395018723937,0.007078204817076279,0.16896976759839974,-0.14827261952460632
low_log_amount,research_holdout,0,328,6560,20.0,4.9603392967895426,0.006137998258078351,0.006031542520819996,0.6067073170731707,0.5382621951219512,1.5747990022523748,1.415713587429671,-0.6885339004425626,0.006137998258078351,0.1546772666212437,-0.12986544515185666
low_stock_amount_share_in_industry,train,0,1215,24300,20.0,80.30283547215751,0.004344755410111012,0.0035711664081501003,0.5440329218106996,0.5038271604938271,1.3825285107722294,1.2644549877701925,-0.876955796397468,0.004344755410111011,0.2977717981103513,-0.15604899731638416
low_stock_ret_60d,train,0,1155,23100,20.0,14.478653568699555,0.0038492954166887594,0.0011609945600376758,0.5038961038961038,0.46220779220779223,1.2067725109351357,1.1346029029272766,-0.9022219523380247,0.0038492954166887586,0.2851839439855045,-0.2072992986064947
low_log_amount,train,0,1215,24300,20.0,24.020353204666712,0.003352984119184931,0.0027293741309169783,0.5415637860082304,0.49979423868312756,1.306711242631703,1.2202254400820804,-0.9024614423285247,0.00335298411918493,0.3686607123608557,-0.15185105318968348
combo_low_liquidity_weak_momentum,train,0,1155,23100,20.0,17.705619506465194,0.0032004379977607447,0.0036799483772358534,0.5506493506493506,0.49203463203463205,1.2684135959648515,1.1805814908617844,-0.9141151551298855,0.0032004379977607447,0.12225185130480395,-0.16498422061216111
low_log_total_mv,train,0,1215,24300,20.0,4.294747606090155,0.0023657592403623757,0.003492211067743217,0.5390946502057613,0.49477366255144034,1.152515805136356,1.1164865286418522,-0.9275075022595747,0.0023657592403623752,0.19572942169498475,-0.1755705309859769
combo_low_size_low_liquidity,train,0,1215,24300,20.0,7.038359525132888,0.0022923630469456236,0.004291631273145274,0.5555555555555556,0.5082716049382716,1.2011560410041158,1.1479779857859205,-0.8770336021172227,0.0022923630469456236,0.12045655930994599,-0.15911208081115433
low_log_total_mv,validation,0,484,9680,20.0,2237.9466597977525,0.02050614879321123,-0.0033459428339845053,0.4628099173553719,0.4643595041322314,2.144813938770204,1.8970422051415448,-0.8171529202660273,0.02050614879321123,0.8360219767519196,-0.1873332405624371
low_stock_amount_share_in_industry,validation,0,484,9680,20.0,20.140850756182516,0.008420079732945288,-0.002665877035372119,0.44834710743801653,0.4559917355371901,1.6426449950212623,1.4900573009915123,-0.7734437662190453,0.008420079732945287,0.709650002325744,-0.1896592183056902
low_log_amount,validation,0,484,9680,20.0,21.32456903675376,0.008214628539122583,-0.0025254998481515772,0.45867768595041325,0.4609504132231405,1.690866384788532,1.5151066302988052,-0.7574738331647854,0.008214628539122583,0.5790057781756983,-0.1922285893773429
combo_low_size_low_liquidity,validation,0,484,9680,20.0,5.491081184972882,0.005575893933601552,-0.0027985631194502366,0.45661157024793386,0.4558884297520661,1.4378181236973833,1.3379376289083411,-0.852403882593952,0.005575893933601554,0.5266750184450688,-0.23747716216166376
low_stock_ret_60d,validation,0,484,9680,20.0,2.9368120223973047,0.005011874565637244,-0.004536459864893536,0.45454545454545453,0.4455578512396694,1.2665145905031876,1.171150945935893,-0.9342200627491135,0.005011874565637245,0.5038933438839511,-0.23264626820832907
combo_low_liquidity_weak_momentum,validation,0,484,9680,20.0,3.4204532724790093,0.004732306918420068,-0.0024260898147837632,0.4607438016528926,0.4580578512396694,1.328498228807605,1.2320288883920578,-0.8842751415675365,0.004732306918420066,0.5914288577738238,-0.22707616071038067
