rule_id,split,roundtrip_cost_bps,regime_type,regime_value,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
combo_low_liquidity_weak_momentum,research_holdout,0,extreme_selloff_flag,False,296,5920,20.0,9.274232534313823,0.008285916153657662,0.007428116928194206,0.6587837837837838,0.5533783783783783,2.2674504802357527,1.6925662860949888,-0.3640035181488763,0.00828591615365766,0.10896273162952008,-0.10562904355586844
combo_low_liquidity_weak_momentum,research_holdout,0,extreme_selloff_flag,True,32,640,20.0,0.41231301135891396,0.01171498013118345,0.023547450779217008,0.625,0.6171875,2.0114210589349253,1.7806031252294146,-0.12977856938355614,0.011714980131183448,0.1089691079961218,-0.10884439116155106
combo_low_liquidity_weak_momentum,research_holdout,0,industry_crowding_regime,crowding_high,241,4820,20.0,5.158893264808053,0.007973389470577226,0.007085593759595349,0.6307053941908713,0.554149377593361,2.092525952996962,1.6382628199384983,-0.412408751567506,0.007973389470577226,0.09049640569471988,-0.10562904355586844
combo_low_liquidity_weak_momentum,research_holdout,0,industry_crowding_regime,crowding_low,1,20,20.0,0.012925674965662326,0.012925674965662331,0.012925674965662331,1.0,0.8,inf,4.143260038685718,0.0,0.012925674965662331,0.012925674965662331,0.012925674965662331
combo_low_liquidity_weak_momentum,research_holdout,0,industry_crowding_regime,crowding_normal,86,1720,20.0,1.3259484958183498,0.010383697770997258,0.010634304608300255,0.7209302325581395,0.5720930232558139,2.6328696224916937,1.8869258286694235,-0.3043118552678039,0.010383697770997258,0.1089691079961218,-0.10884439116155106
combo_low_liquidity_weak_momentum,research_holdout,0,market_regime_id,neutral|normal_vol|crowding_high,134,2680,20.0,3.5284481235116827,0.011756584477823436,0.011251875733422017,0.6492537313432836,0.5813432835820895,2.781663640478623,2.0382956529605423,-0.25644273003503903,0.011756584477823436,0.09049640569471988,-0.055204628532405486
combo_low_liquidity_weak_momentum,research_holdout,0,market_regime_id,neutral|normal_vol|crowding_low,1,20,20.0,0.012925674965662326,0.012925674965662331,0.012925674965662331,1.0,0.8,inf,4.143260038685718,0.0,0.012925674965662331,0.012925674965662331,0.012925674965662331
combo_low_liquidity_weak_momentum,research_holdout,0,market_regime_id,neutral|normal_vol|crowding_normal,57,1140,20.0,0.6946966228258535,0.010021108113623398,0.010816059770653747,0.6842105263157895,0.5701754385964912,2.1693910546471993,1.7563592198095628,-0.30394871496817455,0.010021108113623398,0.1089691079961218,-0.10884439116155106
combo_low_liquidity_weak_momentum,research_holdout,0,market_regime_id,strong|normal_vol|crowding_high,107,2140,20.0,0.3600450080969473,0.00323555647084833,0.00467444202697746,0.6074766355140186,0.5200934579439253,1.3958306346404594,1.23182705212975,-0.396204756200219,0.003235556470848329,0.054526201500387894,-0.10562904355586844
combo_low_liquidity_weak_momentum,research_holdout,0,market_regime_id,strong|normal_vol|crowding_normal,29,580,20.0,0.37248665306236717,0.01109637399411139,0.01010916676168433,0.7931034482758621,0.5758620689655173,6.5076695813721335,2.2787629584382207,-0.04833948685951528,0.011096373994111392,0.04701271515519792,-0.02296262488026348
