selector_type,selector_id,split,trades,unique_stocks,unique_industries,top1_stock_trade_share,top10_stock_trade_share,top1_industry_trade_share,top5_industry_trade_share,top10_stock_return_contribution,bottom10_stock_return_contribution
model,ridge_primary_alpha1,train,24300,1060,96,0.01345679012345679,0.08497942386831275,0.07353909465020576,0.2862139917695473,18.1401422662903,-15.412573240768278
model,ridge_primary_alpha1,validation,9680,602,73,0.015702479338842976,0.11735537190082644,0.0884297520661157,0.37458677685950414,22.430725745812484,-15.109431909761373
model,ridge_primary_alpha1,research_holdout,6560,623,79,0.016463414634146342,0.13307926829268293,0.08429878048780488,0.32210365853658535,15.117817084061944,-9.618083927070517
model,logistic_primary_sgd_l2,train,24300,1370,100,0.010864197530864197,0.08131687242798354,0.060082304526748974,0.2667901234567901,18.174092790702897,-16.705083195568143
model,logistic_primary_sgd_l2,validation,9680,709,79,0.016942148760330577,0.1106404958677686,0.08698347107438016,0.3537190082644628,21.970163509314393,-11.878993748894773
model,logistic_primary_sgd_l2,research_holdout,6560,819,89,0.017378048780487806,0.1114329268292683,0.06676829268292683,0.2919207317073171,8.848565128369852,-8.22269485909444
model,ridge_conditional_industry_ablation,train,24300,979,78,0.017777777777777778,0.11493827160493827,0.11695473251028807,0.48547325102880656,20.109763031490797,-16.003753127018392
model,ridge_conditional_industry_ablation,validation,9680,501,53,0.017355371900826446,0.11931818181818182,0.09173553719008265,0.4166322314049587,20.983146998222804,-16.09884975867486
model,ridge_conditional_industry_ablation,research_holdout,6560,515,44,0.018292682926829267,0.14557926829268292,0.13628048780487806,0.4897865853658537,18.29031712251881,-9.193930514478625
simple_rule,low_log_total_mv,train,24300,279,67,0.035555555555555556,0.234238683127572,0.15065843621399178,0.38641975308641974,35.70830862654149,-30.122658238813287
simple_rule,low_log_total_mv,validation,9680,95,30,0.04927685950413223,0.4081611570247934,0.1003099173553719,0.4172520661157025,85.444698662645,-12.701024664561608
simple_rule,low_log_total_mv,research_holdout,6560,80,30,0.049695121951219515,0.44664634146341464,0.18140243902439024,0.5097560975609756,43.264069908928256,-13.286445518080313
simple_rule,low_stock_amount_share_in_industry,train,24300,619,37,0.022386831275720165,0.1760493827160494,0.27185185185185184,0.7190946502057614,31.9214778491404,-14.197619502342524
simple_rule,low_stock_amount_share_in_industry,validation,9680,282,28,0.0253099173553719,0.22985537190082644,0.22964876033057852,0.8118801652892562,39.66294664685307,-12.456530111353805
simple_rule,low_stock_amount_share_in_industry,research_holdout,6560,270,14,0.03719512195121951,0.24039634146341463,0.28536585365853656,0.933079268292683,17.622930269421474,-9.98873707584817
simple_rule,low_log_amount,train,24300,902,100,0.020864197530864197,0.16699588477366256,0.07098765432098765,0.3045267489711934,20.803854031023256,-12.426649500418787
simple_rule,low_log_amount,validation,9680,350,56,0.0256198347107438,0.19607438016528925,0.11869834710743801,0.42355371900826444,35.80709724818667,-10.750797077687723
simple_rule,low_log_amount,research_holdout,6560,371,59,0.025,0.1788109756097561,0.1315548780487805,0.4141768292682927,17.64185728906168,-8.75989552320027
simple_rule,combo_low_liquidity_weak_momentum,train,23100,1854,106,0.00683982683982684,0.05437229437229437,0.05865800865800866,0.225021645021645,14.781085476615015,-15.131654372205254
simple_rule,combo_low_liquidity_weak_momentum,validation,9680,912,97,0.013119834710743801,0.09235537190082645,0.09411157024793389,0.3191115702479339,21.390066306124996,-10.650321895094862
simple_rule,combo_low_liquidity_weak_momentum,research_holdout,6560,1013,98,0.00853658536585366,0.0760670731707317,0.05960365853658536,0.23948170731707316,9.622689891460993,-7.279942441731816
simple_rule,combo_low_size_low_liquidity,train,24300,626,91,0.025555555555555557,0.15008230452674898,0.06777777777777778,0.3006995884773663,22.236785018446913,-17.54550208173627
simple_rule,combo_low_size_low_liquidity,validation,9680,349,59,0.024173553719008263,0.18894628099173555,0.10888429752066116,0.4140495867768595,26.942764183322232,-18.450092114749125
simple_rule,combo_low_size_low_liquidity,research_holdout,6560,346,64,0.02804878048780488,0.21814024390243902,0.13185975609756098,0.38414634146341464,21.238960520927563,-9.147070256805995
simple_rule,low_stock_ret_60d,train,23100,1893,106,0.005108225108225109,0.039696969696969696,0.1787012987012987,0.3887878787878788,25.355663666008695,-21.33223601875681
simple_rule,low_stock_ret_60d,validation,9680,1135,97,0.007954545454545454,0.0634297520661157,0.07727272727272727,0.3340909090909091,25.342596035451404,-18.266982316530317
simple_rule,low_stock_ret_60d,research_holdout,6560,1081,100,0.008841463414634146,0.075,0.09085365853658536,0.2894817073170732,13.67075359935065,-15.736835753742595
