model_id,baseline_id,split,signal_days,avg_overlap_count,avg_overlap_ratio_model,avg_overlap_ratio_baseline,avg_model_only_count,avg_baseline_only_count,avg_overlap_return,avg_model_only_return,avg_baseline_only_return,model_only_minus_baseline_only,avg_model_daily_return,avg_baseline_daily_return,avg_replacement_return_diff,replacement_diff_pf,replacement_diff_positive_day_rate
logistic_primary_sgd_l2,combo_low_liquidity_weak_momentum,research_holdout,328,6.890243902439025,0.3445121951219512,0.3445121951219512,13.109756097560975,13.109756097560975,0.008437957367273036,0.008280336665965747,0.008631073158599718,-0.00035073649263397087,0.008522195202436982,0.008620458980733348,-9.82637782963659e-05,0.9806797928543499,0.5060975609756098
logistic_primary_sgd_l2,combo_low_size_low_liquidity,research_holdout,328,6.658536585365853,0.3329268292682927,0.3329268292682927,13.341463414634147,13.341463414634147,0.0069510147655653534,0.008651738220044105,0.009038198193050915,-0.00038645997300680926,0.008522195202436982,0.009010606489988079,-0.0004884112875510985,0.9159575030264498,0.5
logistic_primary_sgd_l2,low_log_amount,research_holdout,328,4.710365853658536,0.23551829268292682,0.23551829268292682,15.289634146341463,15.289634146341463,0.006311649580266279,0.008142151071904625,0.00593340942789627,0.0022087416440083546,0.008522195202436982,0.006137998258078351,0.0023841969443586294,1.4625336125301123,0.5853658536585366
logistic_primary_sgd_l2,low_log_total_mv,research_holdout,328,0.8871951219512195,0.04435975609756098,0.04435975609756098,19.11280487804878,19.11280487804878,0.010764676552135236,0.008428254609825714,0.010124761303272589,-0.001696506693446875,0.008522195202436982,0.010210613481014336,-0.0016884182785773568,0.880741483836894,0.5640243902439024
logistic_primary_sgd_l2,low_stock_amount_share_in_industry,research_holdout,328,2.3536585365853657,0.1176829268292683,0.1176829268292683,17.646341463414632,17.646341463414632,0.007788238770640603,0.008580239644794381,0.007170553405943074,0.001409686238851307,0.008522195202436982,0.007078204817076282,0.0014439903853607013,1.2629298194189182,0.5335365853658537
logistic_primary_sgd_l2,low_stock_ret_60d,research_holdout,328,0.24390243902439024,0.012195121951219513,0.012195121951219513,19.75609756097561,19.75609756097561,0.005036967499874584,0.008514006419089719,0.009905650778058609,-0.0013916443589688902,0.008522195202436982,0.009926589919772548,-0.0014043947173355657,0.884608137288918,0.4603658536585366
ridge_conditional_industry_ablation,combo_low_liquidity_weak_momentum,research_holdout,328,3.7560975609756095,0.18780487804878046,0.18780487804878046,16.24390243902439,16.24390243902439,0.006531357990490956,0.010236156513168634,0.008464623953391995,0.0017715325597766392,0.00990817940900897,0.008620458980733348,0.0012877204282756229,1.1743139638784375,0.49390243902439024
ridge_conditional_industry_ablation,combo_low_size_low_liquidity,research_holdout,328,6.673780487804878,0.3336890243902439,0.3336890243902439,13.326219512195122,13.326219512195122,0.011079237991494129,0.009638070439051885,0.007517508259187185,0.0021205621798647007,0.00990817940900897,0.009010606489988079,0.0008975729190208901,1.149510311741003,0.4847560975609756
ridge_conditional_industry_ablation,low_log_amount,research_holdout,328,6.0,0.30000000000000004,0.30000000000000004,14.0,14.0,0.008787522287095645,0.009623145321173497,0.004180751571786873,0.005442393749386624,0.00990817940900897,0.006137998258078351,0.0037701811509306188,1.93437611201408,0.6036585365853658
ridge_conditional_industry_ablation,low_log_total_mv,research_holdout,328,1.8871951219512195,0.09435975609756098,0.09435975609756098,18.11280487804878,18.11280487804878,0.010517552587554735,0.009652832077841976,0.009975093551072406,-0.00032226147323042957,0.00990817940900897,0.010210613481014336,-0.0003024340720053669,0.9725384160015228,0.5579268292682927
