selector_id,split,signal_days_review,total_trades_review,mean_daily_return_review,profit_factor_review,max_drawdown_review,signal_days_batch4B_reference,total_trades_batch4B_reference,mean_daily_return_batch4B_reference,profit_factor_batch4B_reference,max_drawdown_batch4B_reference,signal_days_diff,total_trades_diff,mean_daily_return_diff,profit_factor_diff,max_drawdown_diff,parity_pass
combo_low_liquidity_weak_momentum,research_holdout,328,6560,0.0086204589807333,2.226293856855249,-0.4124087515675061,328,6560,0.0086204589807333,2.2262938568552495,-0.4124087515675054,0,0,0.0,-4.440892098500626e-16,-7.216449660063518e-16,True
combo_low_size_low_liquidity,research_holdout,328,6560,0.009010606489988,1.9513934082431663,-0.6297914336937063,328,6560,0.009010606489988,1.9513934082431663,-0.6297914336937058,0,0,0.0,0.0,-4.440892098500626e-16,True
low_log_amount,research_holdout,328,6560,0.0061379982580783,1.5747990022523748,-0.6885339004425626,328,6560,0.0061379982580783,1.5747990022523752,-0.6885339004425621,0,0,0.0,-4.440892098500626e-16,-4.440892098500626e-16,True
low_log_total_mv,research_holdout,328,6560,0.0102106134810143,1.6857729438322266,-0.8212278449184185,328,6560,0.0102106134810143,1.6857729438322273,-0.8212278449184183,0,0,0.0,-6.661338147750939e-16,-2.220446049250313e-16,True
low_stock_amount_share_in_industry,research_holdout,328,6560,0.0070782048170762,1.6863527321647271,-0.5785395018723937,328,6560,0.0070782048170762,1.6863527321647278,-0.5785395018723936,0,0,0.0,-6.661338147750939e-16,-1.1102230246251565e-16,True
low_stock_ret_60d,research_holdout,328,6560,0.0099265899197725,1.831860814863715,-0.5692227802893268,328,6560,0.0099265899197725,1.8318608148637152,-0.5692227802893264,0,0,0.0,-2.220446049250313e-16,-4.440892098500626e-16,True
combo_low_liquidity_weak_momentum,train,1155,23100,0.0032004379977607,1.2684135959648517,-0.9141151551298856,1155,23100,0.0032004379977607,1.2684135959648517,-0.9141151551298852,0,0,0.0,0.0,-4.440892098500626e-16,True
combo_low_size_low_liquidity,train,1215,24300,0.0022923630469456,1.2011560410041158,-0.8770336021172227,1215,24300,0.0022923630469456,1.201156041004115,-0.8770336021172225,0,0,0.0,6.661338147750939e-16,-2.220446049250313e-16,True
low_log_amount,train,1215,24300,0.0033529841191849,1.306711242631703,-0.9024614423285248,1215,24300,0.0033529841191849,1.3067112426317034,-0.9024614423285244,0,0,0.0,-4.440892098500626e-16,-3.3306690738754696e-16,True
low_log_total_mv,train,1215,24300,0.0023657592403623,1.152515805136356,-0.9275075022595748,1215,24300,0.0023657592403623,1.1525158051363562,-0.9275075022595742,0,0,0.0,-2.220446049250313e-16,-5.551115123125783e-16,True
low_stock_amount_share_in_industry,train,1215,24300,0.004344755410111,1.3825285107722294,-0.876955796397468,1215,24300,0.004344755410111,1.3825285107722294,-0.8769557963974678,0,0,0.0,0.0,-2.220446049250313e-16,True
low_stock_ret_60d,train,1155,23100,0.0038492954166887,1.2067725109351355,-0.9022219523380248,1155,23100,0.0038492954166887,1.206772510935136,-0.9022219523380244,0,0,0.0,-4.440892098500626e-16,-4.440892098500626e-16,True
combo_low_liquidity_weak_momentum,validation,484,9680,0.00473230691842,1.328498228807605,-0.8842751415675365,484,9680,0.00473230691842,1.3284982288076062,-0.8842751415675364,0,0,0.0,-1.1102230246251565e-15,-1.1102230246251565e-16,True
combo_low_size_low_liquidity,validation,484,9680,0.0055758939336015,1.4378181236973833,-0.852403882593952,484,9680,0.0055758939336015,1.4378181236973844,-0.8524038825939517,0,0,0.0,-1.1102230246251565e-15,-2.220446049250313e-16,True
low_log_amount,validation,484,9680,0.0082146285391225,1.690866384788532,-0.7574738331647854,484,9680,0.0082146285391225,1.6908663847885346,-0.7574738331647852,0,0,0.0,-2.6645352591003757e-15,-2.220446049250313e-16,True
low_log_total_mv,validation,484,9680,0.0205061487932112,2.144813938770204,-0.8171529202660273,484,9680,0.0205061487932112,2.144813938770206,-0.8171529202660273,0,0,0.0,-2.220446049250313e-15,0.0,True
low_stock_amount_share_in_industry,validation,484,9680,0.0084200797329452,1.6426449950212625,-0.7734437662190453,484,9680,0.0084200797329452,1.6426449950212645,-0.7734437662190451,0,0,0.0,-1.9984014443252818e-15,-2.220446049250313e-16,True
low_stock_ret_60d,validation,484,9680,0.0050118745656372,1.2665145905031876,-0.9342200627491136,484,9680,0.0050118745656372,1.2665145905031885,-0.9342200627491132,0,0,0.0,-8.881784197001252e-16,-4.440892098500626e-16,True
