model_id,baseline_id,split,avg_replacement_return_diff,replacement_diff_pf,replacement_diff_positive_day_rate,avg_model_only_return,avg_baseline_only_return,model_only_minus_baseline_only
logistic_primary_sgd_l2,combo_low_liquidity_weak_momentum,research_holdout,-9.82637782963659e-05,0.9806797928543499,0.5060975609756098,0.008280336665965747,0.008631073158599718,-0.00035073649263397087
logistic_primary_sgd_l2,combo_low_size_low_liquidity,research_holdout,-0.0004884112875510985,0.9159575030264498,0.5,0.008651738220044105,0.009038198193050915,-0.00038645997300680926
logistic_primary_sgd_l2,low_log_amount,research_holdout,0.0023841969443586294,1.4625336125301123,0.5853658536585366,0.008142151071904625,0.00593340942789627,0.0022087416440083546
logistic_primary_sgd_l2,low_log_total_mv,research_holdout,-0.0016884182785773568,0.880741483836894,0.5640243902439024,0.008428254609825714,0.010124761303272589,-0.001696506693446875
logistic_primary_sgd_l2,low_stock_amount_share_in_industry,research_holdout,0.0014439903853607013,1.2629298194189182,0.5335365853658537,0.008580239644794381,0.007170553405943074,0.001409686238851307
logistic_primary_sgd_l2,low_stock_ret_60d,research_holdout,-0.0014043947173355657,0.884608137288918,0.4603658536585366,0.008514006419089719,0.009905650778058609,-0.0013916443589688902
ridge_conditional_industry_ablation,combo_low_liquidity_weak_momentum,research_holdout,0.0012877204282756229,1.1743139638784375,0.49390243902439024,0.010236156513168634,0.008464623953391995,0.0017715325597766392
ridge_conditional_industry_ablation,combo_low_size_low_liquidity,research_holdout,0.0008975729190208901,1.149510311741003,0.4847560975609756,0.009638070439051885,0.007517508259187185,0.0021205621798647007
ridge_conditional_industry_ablation,low_log_amount,research_holdout,0.0037701811509306188,1.93437611201408,0.6036585365853658,0.009623145321173497,0.004180751571786873,0.005442393749386624
ridge_conditional_industry_ablation,low_log_total_mv,research_holdout,-0.0003024340720053669,0.9725384160015228,0.5579268292682927,0.009652832077841976,0.009975093551072406,-0.00032226147323042957
ridge_conditional_industry_ablation,low_stock_amount_share_in_industry,research_holdout,0.0028299745919326894,1.597403779292882,0.524390243902439,0.010621922310936302,0.0072498776564993315,0.00337204465443697
ridge_conditional_industry_ablation,low_stock_ret_60d,research_holdout,-1.8410510763576966e-05,0.998399963849701,0.5030487804878049,0.009567026284111706,0.009620896537500756,-5.3870253389050327e-05
ridge_primary_alpha1,combo_low_liquidity_weak_momentum,research_holdout,0.0008164108474896934,1.1095560346472497,0.4817073170731707,0.010070625035231621,0.008733133456460755,0.001337491578770866
ridge_primary_alpha1,combo_low_size_low_liquidity,research_holdout,0.0004262633382349616,1.06415511847501,0.49085365853658536,0.00910780885991829,0.008299169348455763,0.0008086395114625267
ridge_primary_alpha1,low_log_amount,research_holdout,0.0032988715701446902,1.6599636278364998,0.5487804878048781,0.009511618339667086,0.005546548705281952,0.003965069634385134
ridge_primary_alpha1,low_log_total_mv,research_holdout,-0.0007737436527912961,0.9316714505475455,0.5457317073170732,0.009420698184194427,0.010233289325892079,-0.0008125911416976515
ridge_primary_alpha1,low_stock_amount_share_in_industry,research_holdout,0.002358665011146761,1.4143574540615491,0.5152439024390244,0.009586464675143512,0.007099354950297415,0.0024871097248460967
ridge_primary_alpha1,low_stock_ret_60d,research_holdout,-0.0004897200915495055,0.9581202777182548,0.5060975609756098,0.009647965391624587,0.010183031083454936,-0.0005350656918303495
logistic_primary_sgd_l2,combo_low_liquidity_weak_momentum,train,7.361573933870948e-05,1.0154973007604682,0.5116883116883116,0.0032059023332975983,0.0030758396001897737,0.00013006273310782468
