selection_type,selector_id,split,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
model,logistic_primary_sgd_l2,research_holdout,328,6560,20.0,12.413814363948037,0.008522195202436982,0.00987544161438333,0.6585365853658537,0.5592987804878049,1.9389247688890616,1.6209079823957508,-0.5630342281791685,0.008522195202436982,0.12970377771869637,-0.13301114863838565
model,ridge_conditional_industry_ablation,research_holdout,328,6560,20.0,18.096830951390587,0.00990817940900897,0.008198141952816113,0.6341463414634146,0.5474085365853658,1.9212707452468283,1.6366667773485544,-0.6344114627668023,0.00990817940900897,0.1827769796103127,-0.12417476087311423
model,ridge_primary_alpha1,research_holdout,328,6560,20.0,15.401247378301878,0.009436869828223041,0.009461389900963256,0.6219512195121951,0.5426829268292683,1.8725156022553702,1.5893532022269976,-0.636558230764735,0.009436869828223041,0.20247053780820568,-0.12737512789185884
simple_rule,combo_low_liquidity_weak_momentum,research_holdout,328,6560,20.0,13.51043228993845,0.008620458980733348,0.007948392037320177,0.6554878048780488,0.5596036585365853,2.226293856855249,1.7030792638690653,-0.4124087515675061,0.008620458980733348,0.1089691079961218,-0.10884439116155106
simple_rule,combo_low_size_low_liquidity,research_holdout,328,6560,20.0,14.311461384436734,0.009010606489988079,0.010632891164967899,0.6310975609756098,0.5617378048780488,1.9513934082431663,1.6505885120910402,-0.6297914336937063,0.009010606489988077,0.16700942309293207,-0.1309943267592099
simple_rule,low_log_amount,research_holdout,328,6560,20.0,4.9603392967895426,0.006137998258078351,0.006031542520819996,0.6067073170731707,0.5382621951219512,1.5747990022523748,1.415713587429671,-0.6885339004425626,0.006137998258078351,0.1546772666212437,-0.12986544515185666
simple_rule,low_log_total_mv,research_holdout,328,6560,20.0,16.74980171797688,0.010210613481014336,0.0040490480389946655,0.5396341463414634,0.505640243902439,1.6857729438322266,1.4933365648232861,-0.8212278449184185,0.010210613481014336,0.2481282858667948,-0.14852931385738127
simple_rule,low_stock_amount_share_in_industry,research_holdout,328,6560,20.0,7.066213509696933,0.007078204817076282,0.008495771671790164,0.6158536585365854,0.5388719512195121,1.6863527321647271,1.4565938629830764,-0.5785395018723937,0.007078204817076279,0.16896976759839974,-0.14827261952460632
simple_rule,low_stock_ret_60d,research_holdout,328,6560,20.0,17.706427124495782,0.009926589919772548,0.010599823751003247,0.600609756097561,0.504420731707317,1.831860814863715,1.423634554004225,-0.5692227802893268,0.009926589919772546,0.1899077288623758,-0.1500717704511215
model,logistic_primary_sgd_l2,train,1215,24300,20.0,16.453712828229072,0.003008967445286841,0.004346568930165867,0.5547325102880658,0.5021399176954733,1.2505160361256085,1.1791773367210496,-0.8744692206451592,0.003008967445286841,0.12159773445270139,-0.1681699068463701
model,ridge_conditional_industry_ablation,train,1215,24300,20.0,28.372241084369847,0.003538274176664335,0.004807948442939125,0.5497942386831276,0.5051440329218106,1.2762898065844148,1.2004563894036082,-0.8912567424276725,0.003538274176664335,0.1407994502223513,-0.1731752020702344
model,ridge_primary_alpha1,train,1215,24300,20.0,30.681765685908108,0.0035992561548162773,0.004256275878446647,0.5481481481481482,0.502880658436214,1.2818497278784566,1.2047796924693035,-0.8864470516376374,0.0035992561548162773,0.14223042038518935,-0.17612940932083027
simple_rule,combo_low_liquidity_weak_momentum,train,1155,23100,20.0,17.705619506465194,0.0032004379977607447,0.0036799483772358534,0.5506493506493506,0.49203463203463205,1.2684135959648515,1.1805814908617844,-0.9141151551298855,0.0032004379977607447,0.12225185130480395,-0.16498422061216111
simple_rule,combo_low_size_low_liquidity,train,1215,24300,20.0,7.038359525132888,0.0022923630469456236,0.004291631273145274,0.5555555555555556,0.5082716049382716,1.2011560410041158,1.1479779857859205,-0.8770336021172227,0.0022923630469456236,0.12045655930994599,-0.15911208081115433
simple_rule,low_log_amount,train,1215,24300,20.0,24.020353204666712,0.003352984119184931,0.0027293741309169783,0.5415637860082304,0.49979423868312756,1.306711242631703,1.2202254400820804,-0.9024614423285247,0.00335298411918493,0.3686607123608557,-0.15185105318968348
simple_rule,low_log_total_mv,train,1215,24300,20.0,4.294747606090155,0.0023657592403623757,0.003492211067743217,0.5390946502057613,0.49477366255144034,1.152515805136356,1.1164865286418522,-0.9275075022595747,0.0023657592403623752,0.19572942169498475,-0.1755705309859769
