rule_id,horizon,top_n,regime_type,regime_value,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_log_amount,3d,20,trend_regime,neutral,1129,22580,20.0,12.909766056570072,0.002829824792313337,3.279039280118523e-05,0.5004428697962799,0.4843666961913198,1.3775779711096556,1.262917533938055,-0.6985179948772948,0.0028298247923133368,0.5452888866418881,-0.1507896061261719
low_log_amount,3d,20,trend_regime,weak,284,5680,20.0,1.4131153866434558,0.003510190674045899,0.006542109909683938,0.5809859154929577,0.5220070422535211,1.406749888551566,1.2907448229786314,-0.40057841221975543,0.0035101906740458992,0.12932951210389176,-0.1285980700195533
low_log_amount,3d,20,trend_regime,strong,556,11120,20.0,2.6664906883868564,0.0028579713729187284,0.0014274532332690438,0.5305755395683454,0.4911870503597122,1.3006120644867416,1.2190687004336684,-0.5739754548127642,0.0028579713729187284,0.28989607486464414,-0.1655610244951414
low_log_amount,3d,20,trend_regime,insufficient_history,60,1200,20.0,-0.013289134270890068,7.858072165384268e-05,0.0038762022773323967,0.6,0.49,1.0087858743087885,1.0059290230780185,-0.3260584713065684,7.858072165384283e-05,0.06165967153823192,-0.08540335360905793
low_turnover_rate,3d,20,trend_regime,weak,284,5680,20.0,1.076476051955943,0.002762991493210562,0.0021996002410721053,0.5633802816901409,0.5221830985915493,1.4845737430295292,1.2895028687018444,-0.33746224083880483,0.002762991493210561,0.07747470309832391,-0.08093849204510695
low_turnover_rate,3d,20,trend_regime,neutral,1129,22580,20.0,2.6098047094572197,0.001263318616489874,0.0005598099363388287,0.5181576616474757,0.47728077945084146,1.2950274841963514,1.1645014111599465,-0.3054519633275,0.0012633186164898742,0.221541590421306,-0.10028308663236751
low_turnover_rate,3d,20,trend_regime,strong,556,11120,20.0,0.22344950183202017,0.0004868196888020681,0.0013048680711850945,0.5359712230215827,0.46879496402877696,1.0913892520740605,1.0559196794672767,-0.3284020339513287,0.0004868196888020679,0.10514228571391257,-0.09724894373678414
low_turnover_rate,3d,20,trend_regime,insufficient_history,60,1200,20.0,0.004776910968965042,0.00019358011253688538,0.0031032392543666994,0.5833333333333334,0.49583333333333335,1.0338846193902747,1.01905945821191,-0.17964459339143135,0.00019358011253688533,0.029260942032963318,-0.04497297197610044
low_stock_amount_share_in_industry,3d,20,trend_regime,insufficient_history,60,1200,20.0,0.15784701824636715,0.0028615483963255355,0.006041376484203362,0.65,0.5466666666666666,1.3023989724730891,1.214340469340704,-0.3299863605359177,0.002861548396325536,0.07926647469203021,-0.08737186799128198
low_stock_amount_share_in_industry,3d,20,trend_regime,neutral,1129,22580,20.0,11.98505046178788,0.0028119682742880707,-0.00012100984482711352,0.4977856510186005,0.479052258635961,1.3471564664271996,1.237506437013657,-0.7005803161109143,0.0028119682742880703,0.5355075848286952,-0.18595769283495106
low_stock_amount_share_in_industry,3d,20,trend_regime,weak,284,5680,20.0,2.4815177935479684,0.004869581884558085,0.006035014047021281,0.6056338028169014,0.5348591549295775,1.5542737000931177,1.3833404051939961,-0.387898871411538,0.004869581884558085,0.11877018589657214,-0.13760182637295046
low_stock_amount_share_in_industry,3d,20,trend_regime,strong,556,11120,20.0,4.225389324621629,0.003497275474574323,0.0032727903615956764,0.5557553956834532,0.49199640287769786,1.3700175710298101,1.2535126353767014,-0.49148878168735743,0.0034972754745743223,0.2516861382058673,-0.15044659239295308
low_log_total_mv,3d,20,trend_regime,insufficient_history,60,1200,20.0,-0.033653425741155374,0.0002171664452951931,0.009657775252128145,0.6,0.535,1.0146628234986428,1.0124486298243356,-0.47552863468323325,0.00021716644529519416,0.07984949416006505,-0.11426908494265783
low_log_total_mv,3d,20,trend_regime,weak,284,5680,20.0,4.5986897596349685,0.006867670857015453,0.005480689474728595,0.573943661971831,0.5213028169014085,1.6170404755563534,1.4246910465562075,-0.4272016274906867,0.006867670857015454,0.16917073180930386,-0.16479221089487822
low_log_total_mv,3d,20,trend_regime,neutral,1129,22580,20.0,72.78770513822275,0.004899222222841981,-0.0013723691440641894,0.4765279007971656,0.47311780336581044,1.4309689499252491,1.3161186442293218,-0.7412800672893437,0.004899222222841981,0.6050482856886121,-0.14087256816225918
low_log_total_mv,3d,20,trend_regime,strong,556,11120,20.0,6.321980043623378,0.0046747595779759905,0.00044557499506474584,0.512589928057554,0.47365107913669063,1.3636022185487793,1.2711671852347954,-0.7615937729500359,0.0046747595779759905,0.26298129911515244,-0.1750906128382441
low_stock_ret_5d,3d,20,trend_regime,neutral,1129,22580,20.0,2.853938601516884,0.0019395708520205655,-0.0013807147213532934,0.4818423383525244,0.4545615589016829,1.1469204557597708,1.0854989534161619,-0.7074815999009025,0.0019395708520205655,0.3290318329201449,-0.17788197890450247
low_stock_ret_5d,3d,20,trend_regime,strong,556,11120,20.0,-0.4107266604862231,-0.000216116936062755,-0.0008168852522594805,0.4910071942446043,0.44694244604316546,0.9853817026714887,0.9910610322891894,-0.77358555047406,-0.00021611693606275522,0.16772016816568427,-0.14769748246468645
low_stock_ret_5d,3d,20,trend_regime,weak,284,5680,20.0,1.4649652691158486,0.004319169553618403,0.002806955861361834,0.5176056338028169,0.4950704225352113,1.2764313528780271,1.1782572483041471,-0.583078781795562,0.004319169553618404,0.28763206083589243,-0.15377281445487376
low_stock_ret_5d,3d,20,trend_regime,insufficient_history,55,1100,20.0,0.44490610554542,0.007487307329247182,0.010344044506028743,0.6363636363636364,0.5545454545454546,1.6035201317294623,1.385205059617873,-0.3103538786599521,0.007487307329247182,0.096698871897972,-0.07776867408000257
low_stock_ret_20d,3d,20,trend_regime,neutral,1129,22580,20.0,10.202974072330726,0.002874037288881742,0.0016610526308479979,0.5243578387953941,0.46240035429583703,1.2350260924868002,1.1387605756988255,-0.7861000936656353,0.0028740372888817426,0.3202119502291455,-0.18058486766798434
low_stock_ret_20d,3d,20,trend_regime,weak,284,5680,20.0,11.597064395869413,0.010496099611349776,0.0062527170052860655,0.5774647887323944,0.522887323943662,1.686995851854305,1.4490514767283549,-0.5755348093168333,0.010496099611349775,0.28719175544218506,-0.16443181638912002
low_stock_ret_20d,3d,20,trend_regime,strong,556,11120,20.0,-0.04961032350497663,0.00045535671129177577,0.0026022125114654264,0.5305755395683454,0.4539568345323741,1.0364059183909153,1.0215093852131016,-0.6968031720585485,0.0004553567112917757,0.09288162832526983,-0.14360438204904122
low_stock_ret_20d,3d,20,trend_regime,insufficient_history,40,800,20.0,0.4393571812783079,0.010239589170571124,0.016156109413453995,0.625,0.585,1.7341015080726783,1.5450017988483344,-0.21840492091414376,0.010239589170571124,0.11428793764598302,-0.09431256352080546
low_stock_ret_60d,3d,20,trend_regime,neutral,1129,22580,20.0,9.33168838481871,0.0028764211159817217,-0.0012256749710553793,0.48272807794508416,0.4503100088573959,1.221262611922762,1.1358368032035109,-0.8898362054294938,0.002876421115981722,0.38764050721857457,-0.17450195864558574
low_stock_ret_60d,3d,20,trend_regime,strong,556,11120,20.0,0.9889741618477588,0.0018066381364670685,0.0027335585564992023,0.5323741007194245,0.4590827338129496,1.1572294715274911,1.093918844491462,-0.5966448848598039,0.001806638136467069,0.10240574414730426,-0.18600850999527102
low_stock_ret_60d,3d,20,trend_regime,weak,284,5680,20.0,19.24466816422452,0.012497461143685233,0.011513957496553824,0.5845070422535211,0.5197183098591549,1.7217907011765035,1.5145476679541994,-0.5640038081551088,0.012497461143685232,0.2764331383935756,-0.17001428438217972
high_stock_ret_20d,3d,20,trend_regime,strong,556,11120,20.0,-0.9378880735021314,-0.0033656550863943977,-0.0021369973839887616,0.4802158273381295,0.41906474820143885,0.8560378037724867,0.9253434795758716,-0.9651450474427412,-0.0033656550863943985,0.20418414671805865,-0.1892537937533341
high_stock_ret_20d,3d,20,trend_regime,neutral,1129,22580,20.0,-0.45861143845431906,0.0007247783190041105,4.043576438955698e-06,0.5004428697962799,0.44171833480956596,1.0381660212763029,1.018402859715792,-0.934141775166445,0.0007247783190041102,0.3602678174258223,-0.20897393747095636
high_stock_ret_20d,3d,20,trend_regime,weak,284,5680,20.0,-0.9040756988543478,-0.007203064374752044,-0.01144532094614844,0.40492957746478875,0.4163732394366197,0.6794278103498443,0.815056237856716,-0.9091229552176396,-0.007203064374752043,0.18517858737678067,-0.11037513318641219
high_stock_ret_20d,3d,20,trend_regime,insufficient_history,40,800,20.0,-0.10937899766356807,-0.001969051429817155,0.002895693073524946,0.55,0.4775,0.8817253089018801,0.9337790058868368,-0.29914735556624106,-0.0019690514298171557,0.07456857933499951,-0.11583972365504938
high_stock_ret_60d,3d,20,trend_regime,weak,284,5680,20.0,-0.6887729853760753,-0.0032113993922144135,-0.005250820634086678,0.44014084507042256,0.4517605633802817,0.8285841790622178,0.9060130287324161,-0.7500250239720347,-0.0032113993922144135,0.09978267690650175,-0.1312372656179707
high_stock_ret_60d,3d,20,trend_regime,neutral,1129,22580,20.0,4.962640714804055,0.0027494232466771405,0.002586488093719952,0.5234720992028343,0.4554915854738707,1.1597130364054193,1.0782684857201252,-0.8341841297270332,0.0027494232466771405,0.2725205149298663,-0.20724839441065152
high_stock_ret_60d,3d,20,trend_regime,strong,556,11120,20.0,-0.8859929808051153,-0.0023936277586824317,-0.005227729858027644,0.460431654676259,0.4303956834532374,0.8942570071090827,0.9418901411900191,-0.960846760157311,-0.002393627758682432,0.2170037441252488,-0.1593515506033068
low_stock_rel_industry_ret_20d,3d,20,trend_regime,neutral,1129,22580,20.0,7.646709149246881,0.0026069478571757875,0.0009138264170097665,0.5110717449069974,0.4604517271922055,1.218761072236789,1.1256706550458377,-0.8044715966567257,0.002606947857175787,0.35878307846804447,-0.1740453579385771
low_stock_rel_industry_ret_20d,3d,20,trend_regime,strong,556,11120,20.0,0.34492337303195075,0.0011000382305386544,0.0023194727102913205,0.5269784172661871,0.4572841726618705,1.0874815535501388,1.0516672651005714,-0.5786151581094876,0.0011000382305386544,0.0927457761853099,-0.15416304211850176
low_stock_rel_industry_ret_20d,3d,20,trend_regime,weak,284,5680,20.0,5.240749269566281,0.007688337836696846,0.00704355737962194,0.5633802816901409,0.5139084507042253,1.5086666334363947,1.3273378951614139,-0.5938295003818894,0.0076883378366968454,0.19705814315622253,-0.15557992229160042
low_stock_rel_industry_ret_20d,3d,20,trend_regime,insufficient_history,40,800,20.0,0.4465952339659116,0.0102654449814439,0.0148575007196421,0.625,0.57875,1.8079350201480546,1.5493839950731771,-0.2151798850513218,0.010265444981443897,0.11195544509889163,-0.09514510220138053
low_stock_rel_industry_ret_60d,3d,20,trend_regime,neutral,1129,22580,20.0,11.423387962214766,0.0029480303987777876,0.0011930453683035246,0.520814880425155,0.458281665190434,1.2424292484288606,1.1465321828483386,-0.8965546783285019,0.0029480303987777868,0.3372446981908165,-0.1455701559068967
low_stock_rel_industry_ret_60d,3d,20,trend_regime,strong,556,11120,20.0,0.6032663224512558,0.0013911244866874064,0.0033438859077687703,0.5467625899280576,0.4552158273381295,1.1204996302102268,1.0721947484833172,-0.5300090239602557,0.0013911244866874062,0.10014737403575555,-0.19020985178945046
low_stock_rel_industry_ret_60d,3d,20,trend_regime,weak,284,5680,20.0,9.19376553685604,0.00950581850681681,0.008105286019531071,0.5845070422535211,0.518838028169014,1.631554493691083,1.4264429743166607,-0.4631776945920463,0.00950581850681681,0.20633452245129408,-0.17105343733168954
low_industry_crowding_score,3d,20,trend_regime,neutral,1129,22580,20.0,1.8258795293995682,0.001255764037362245,0.0018061405482328486,0.5394154118689105,0.4825509300265722,1.1466128638514934,1.098141840803823,-0.6431240805324889,0.0012557640373622454,0.19257251725952493,-0.16334533112592484
low_industry_crowding_score,3d,20,trend_regime,weak,284,5680,20.0,4.360978478500188,0.0066675221352356364,0.006897644691502034,0.5809859154929577,0.5524647887323944,1.5957525419157021,1.4468647454044297,-0.4445395051059703,0.006667522135235636,0.17478717701831512,-0.14141212136778564
low_industry_crowding_score,3d,20,trend_regime,strong,556,11120,20.0,0.38827559009109436,0.000998584405700136,0.0010844695594448255,0.5251798561151079,0.4782374100719424,1.1020843517932344,1.0687965657021152,-0.6224318171591439,0.0009985844057001359,0.09698585705731061,-0.16144424355806636
high_industry_ret_20d,3d,20,trend_regime,insufficient_history,40,800,20.0,-0.004252014429071749,0.0004282466126956687,0.000756244007071713,0.525,0.49875,1.0345830127789493,1.0232333205293092,-0.18028180959702478,0.00042824661269566966,0.08399116101668809,-0.07799747755571257
high_industry_ret_20d,3d,20,trend_regime,weak,284,5680,20.0,1.3505457286601432,0.003749511652605106,0.0033864367362943628,0.5387323943661971,0.4970070422535211,1.2851803529479655,1.199914175740785,-0.49109166911545,0.0037495116526051063,0.1026989253532222,-0.12354086970640013
high_industry_ret_20d,3d,20,trend_regime,neutral,1129,22580,20.0,5.370339068595114,0.0023536294600477693,-0.00017313717173874643,0.49689991142604073,0.46014171833480955,1.1805103781964714,1.1161326109794067,-0.7518546235906698,0.0023536294600477693,0.2334319523818229,-0.1257519513778499
high_industry_ret_20d,3d,20,trend_regime,strong,556,11120,20.0,-0.4769679918289683,-0.00024348166495987152,-0.0008691992985645687,0.49460431654676257,0.44109712230215825,0.9852588351027224,0.9901803319625914,-0.7458462152975806,-0.00024348166495987165,0.16634884438593392,-0.1669338848169059
low_industry_ret_60d,3d,20,trend_regime,strong,556,11120,20.0,1.2004889975610245,0.0017967198649699006,0.0012889944861863318,0.5215827338129496,0.4795863309352518,1.1927756676213548,1.134492048918772,-0.4546882128510903,0.0017967198649699008,0.09460960353701846,-0.13673030575792694
low_industry_ret_60d,3d,20,trend_regime,neutral,1129,22580,20.0,0.11846439687783072,0.0004939876731034073,-0.0003100019439197188,0.4942426926483614,0.4717891939769708,1.048680019615732,1.032615167976246,-0.7557714928308542,0.000493987673103407,0.18228224541593613,-0.16334533112592484
low_industry_ret_60d,3d,20,trend_regime,weak,284,5680,20.0,1.6420625699771847,0.004290562661054928,0.004201191149559416,0.5492957746478874,0.5003521126760564,1.3276797092357524,1.2218433790342442,-0.4737739383759204,0.004290562661054928,0.20843932546998575,-0.1256987140680355
combo_low_liquidity,3d,20,trend_regime,neutral,1129,22580,20.0,5.138968966575085,0.0019878647977798853,0.0002416446821827567,0.5075287865367581,0.48277236492471215,1.2912991985985351,1.1930518844476157,-0.6500075167202493,0.001987864797779886,0.4712413929070964,-0.15766503085452482
combo_low_liquidity,3d,20,trend_regime,weak,284,5680,20.0,1.1349488044886238,0.003123260678755347,0.00571583354033269,0.5669014084507042,0.5213028169014085,1.3354133667617392,1.2481180157246266,-0.4477982087216499,0.003123260678755347,0.10986115168375357,-0.1278575851724242
combo_low_liquidity,3d,20,trend_regime,strong,556,11120,20.0,1.1975242734089946,0.001710115277639851,0.003109490427121858,0.5665467625899281,0.4906474820143885,1.215584583840686,1.1461856264327108,-0.47600590940689336,0.001710115277639851,0.06710355957823132,-0.13698380689460504
combo_low_liquidity,3d,20,trend_regime,insufficient_history,60,1200,20.0,-0.10971350835457816,-0.0016967481845414159,0.0019855507060669076,0.55,0.48583333333333334,0.8132047108566738,0.8691905626004857,-0.33217029122056974,-0.0016967481845414157,0.042501847755513536,-0.06582211437225956
combo_weak_momentum,3d,20,trend_regime,neutral,1129,22580,20.0,16.024069609800556,0.003264578884490727,0.0016807517684516826,0.5243578387953941,0.4638618246235607,1.2646254107411887,1.1622015555691985,-0.8226086885217322,0.003264578884490726,0.35152033309944086,-0.16017873764820428
