trade_date,codes,ew_ret,median_ret,breadth_positive,dispersion,total_amount,top50_amount_share,top100_amount_share,top300_amount_share,top1_industry_amount_share,top3_industry_amount_share,top5_industry_amount_share,roll60_ew_ret,roll60_breadth,roll20_dispersion,roll60_ew_ret_q,roll60_breadth_q,top5_industry_amount_share_q,roll20_dispersion_q,regime_initial,extreme_selloff_flag,trend_regime,vol_low_threshold_tminus1,vol_high_threshold_tminus1,vol_regime,high_vol_flag,low_vol_flag,crowding_low_threshold_tminus1,crowding_high_threshold_tminus1,industry_crowding_regime,industry_crowding_high_flag,industry_crowding_low_flag,stock_concentration_low_threshold_tminus1,stock_concentration_high_threshold_tminus1,stock_concentration_regime,stock_concentration_high_flag,market_regime_id,uses_future_data,definition_version
20250107,5373,0.02215354424169924,0.020563380281690025,0.8177926670388982,0.029121428511569163,1090150622.356,0.16714493210415873,0.2467019431624689,0.4294728514653892,0.08976734426432574,0.2516498036437507,0.37601898376859094,0.0734038690278278,0.49762909347903916,0.02959139214703597,4.0,4.0,5,4.0,neutral,False,neutral,0.02386957683232585,0.03229895955300154,normal_vol,False,False,0.2587030530446147,0.3337237557555606,crowding_high,True,False,0.23917912611598374,0.30476799868533433,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250108,5373,-0.0002115787014667537,-0.0048154093097912964,0.3681369812023078,0.02590738376179773,1258458691.569,0.15676801718380678,0.2389921540762067,0.42059672303751483,0.08227058188450942,0.23497987023977449,0.35781436066811956,0.08984923139069756,0.50126439807284,0.029438568922179015,4.0,5.0,5,4.0,strong,False,strong,0.023869758671167498,0.03229736445208272,normal_vol,False,False,0.25871437718243717,0.33382978846817085,crowding_high,True,False,0.23918341671526197,0.304746396413866,stock_concentration_low,False,strong|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250109,5374,0.003995339356236111,0.0005947084213400178,0.5078154075176777,0.025476371484083906,1130752028.204,0.16105162776691964,0.2468910667358398,0.4425884570394173,0.09196523999357274,0.24815488354655987,0.37407289214756917,0.08871971208247942,0.501237304581259,0.029159216399533866,4.0,5.0,5,4.0,strong,False,strong,0.023869940510009142,0.0322957693511639,normal_vol,False,False,0.2587257013202596,0.33392032623554124,crowding_high,True,False,0.23914712119802473,0.3047247941423977,stock_concentration_normal,False,strong|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250110,5375,-0.027823806274224115,-0.028761061946902644,0.09897674418604652,0.028605361176571007,1163749308.724,0.17003800931917934,0.25493105504164987,0.4389052349118412,0.09378463619941411,0.2554348031054341,0.3753852136384867,0.06091065174200372,0.4972846499190883,0.029160256379123513,4.0,4.0,5,4.0,neutral,True,neutral,0.02387012234885079,0.03229417425024508,normal_vol,False,False,0.2587370254580821,0.3339604795895591,crowding_high,True,False,0.2391609783573651,0.3047031918709295,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250113,5374,0.000862465561619803,0.0026410391639504205,0.5595459620394492,0.026500428238572685,976834551.292,0.16912584848733023,0.24928444910750186,0.4364007417767627,0.08376865714339332,0.23265785278009057,0.35024305721627674,0.025386691456450006,0.490741108035556,0.028984424087585853,3.0,4.0,4,3.0,neutral,False,neutral,0.023870304187692433,0.032292579149326255,normal_vol,False,False,0.25874834959590454,0.3339762265621199,crowding_high,True,False,0.2391748355167055,0.3046815895994612,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250114,5377,0.0483809136888647,0.04471544715447173,0.9920029756369723,0.028010474608350898,1372898098.58,0.17037437892144483,0.25056689028399487,0.4275256872670204,0.08642775967912508,0.25293530910281553,0.36768446720198095,0.04953457224224245,0.4955196787782004,0.028780272084442997,4.0,4.0,5,3.0,neutral,False,neutral,0.02387229312678384,0.03229039191513936,normal_vol,False,False,0.2587491321757437,0.3339809729084872,crowding_high,True,False,0.23917912611598374,0.3046789664247228,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250115,5379,-0.003984336297747483,-0.00649350649350644,0.3093511805168247,0.023586568709648623,1212427115.657,0.17232024970077117,0.25423144784416174,0.44241841059644327,0.08224603624026039,0.24087302231420848,0.35973378764269465,0.037507785366563295,0.48947615483977364,0.028341503172366733,3.0,4.0,5,3.0,neutral,False,neutral,0.023874282065875243,0.03228820468095246,normal_vol,False,False,0.2587499147555829,0.3340576531812486,crowding_high,True,False,0.23918341671526197,0.30467634324998444,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250116,5379,0.006522609900056636,0.003831417624521327,0.6261386874883808,0.022668813287663292,1293536742.63,0.1855057166023131,0.2662448296681362,0.44850511831262835,0.08688227765876956,0.24404130384203182,0.3660716802371083,0.038471007101787746,0.4913306637918352,0.02804729158532372,3.0,4.0,5,3.0,neutral,False,neutral,0.02387627100496665,0.03228601744676556,normal_vol,False,False,0.25875069733542205,0.3341091795245963,crowding_high,True,False,0.23918770731454023,0.304673720075246,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250117,5378,0.0006507842252536383,0.0,0.4871699516548903,0.025191256822247765,1152364104.854,0.17008487484850318,0.2516947251378916,0.43641651182610963,0.10246620284737179,0.26069213369073224,0.38167821235608945,0.038916166312821465,0.49278224998053716,0.027820887460653494,3.0,4.0,5,3.0,neutral,False,neutral,0.023878259944058053,0.03228383021257867,normal_vol,False,False,0.25875147991526126,0.33411735948904975,crowding_high,True,False,0.23919199791381845,0.30467109690050764,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250120,5377,0.008950531052010562,0.007034632034631949,0.6728659103589362,0.02508174535790602,1197444391.5809999,0.162241221884631,0.24387052939589177,0.42425234755516045,0.09223299696045145,0.25008847502522447,0.37475958698717127,0.026340428010980466,0.49059230717038554,0.02770049497359,3.0,4.0,5,3.0,neutral,False,neutral,0.02388024888314946,0.03228164297839177,normal_vol,False,False,0.2587522624951004,0.3341428960314552,crowding_high,True,False,0.2391962885130967,0.3046684737257693,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
