model_id,split,group_type,group_value,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
ridge_primary_alpha1,train,year,2018,243,4860,20.0,-0.0018910869126336216,0.0010924459184465944,0.003702059959625381,0.5349794238683128,0.49588477366255146,1.062860459052469,1.0499520345917126,-0.7518767546125176,0.001092445918446593,0.12586145274028815,-0.1534155538046274
ridge_primary_alpha1,train,year,2019,244,4880,20.0,6.665517990179024,0.009023019716826827,0.012933199778633171,0.6598360655737705,0.5764344262295082,1.8869423738294981,1.6611399844307706,-0.5151177866014671,0.009023019716826827,0.09844263842595277,-0.12953924732971167
ridge_primary_alpha1,train,year,2020,243,4860,20.0,0.9405222574362315,0.0034566542426224377,0.002936929470609517,0.5390946502057613,0.5030864197530864,1.292179750195988,1.196132902938284,-0.5344128702902937,0.0034566542426224373,0.14098288432460532,-0.17612940932083027
ridge_primary_alpha1,train,year,2021,243,4860,20.0,10.068189943966336,0.01051124034481091,0.010595170472926112,0.6213991769547325,0.5526748971193416,2.318973850887135,1.7575098907317264,-0.3480774007829984,0.01051124034481091,0.14223042038518935,-0.09578701162359296
ridge_primary_alpha1,train,year,2022,242,4840,20.0,-0.8072054714302747,-0.006149517874928905,-0.008864870168895,0.384297520661157,0.38553719008264464,0.6278624579144345,0.7056709705160443,-0.8864470516376373,-0.006149517874928905,0.1050935969075328,-0.13385025510463458
ridge_primary_alpha1,validation,year,2023,242,4840,20.0,2.385250140122574,0.006133671416461651,-0.004493606622857113,0.4090909090909091,0.43450413223140494,1.6419571319066941,1.4596427385280868,-0.5960130404309283,0.006133671416461651,0.4095817789885642,-0.06888436741180484
ridge_primary_alpha1,validation,year,2024,242,4840,20.0,2.2692547618042838,0.008457315377810254,-0.00023009802587823646,0.5,0.4737603305785124,1.3806442298560226,1.3145877297363284,-0.9177138976924177,0.008457315377810254,0.5879358423781728,-0.2782411699919512
ridge_primary_alpha1,research_holdout,year,2025,243,4860,20.0,22.31938320668749,0.013911617242229828,0.012143861432101982,0.6584362139917695,0.5703703703703704,2.628161928202346,1.9902701627983823,-0.4451445711581138,0.013911617242229826,0.20247053780820568,-0.10546865710797279
ridge_primary_alpha1,research_holdout,year,2026,85,1700,20.0,-0.2966689027350269,-0.0033556433671140043,0.0026881986092069598,0.5176470588235295,0.46352941176470586,0.80613353916131,0.8448387690573723,-0.6365582307647346,-0.003355643367114005,0.09078448504817105,-0.12737512789185884
logistic_primary_sgd_l2,train,year,2018,243,4860,20.0,-0.23186186098245742,-0.00016356470288824933,0.003204655956450497,0.5308641975308642,0.4925925925925926,0.9897850205687452,0.9921198961001546,-0.7615289781132359,-0.0001635647028882508,0.09624702225007849,-0.1681699068463701
