model_id,split,remove_top_winning_days,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
ridge_primary_alpha1,train,0,1215,24300,20.0,30.681765685908108,0.0035992561548162773,0.004256275878446647,0.5481481481481482,0.502880658436214,1.2818497278784566,1.2047796924693035,-0.8864470516376374,0.0035992561548162773,0.14223042038518935,-0.17612940932083027
ridge_primary_alpha1,train,1,1214,24280,20.0,26.7367553170438,0.00348506244457709,0.004221972370583954,0.5477759472817133,0.5024711696869851,1.2726828577272813,1.198119445306414,-0.8864470516376373,0.00348506244457709,0.14098288432460532,-0.17612940932083027
ridge_primary_alpha1,train,3,1212,24240,20.0,20.43894851276946,0.0032640159987030134,0.00417888430408044,0.5470297029702971,0.5016501650165016,1.2549667126732165,1.18524766869261,-0.8864470516376374,0.0032640159987030134,0.12586145274028815,-0.17612940932083027
ridge_primary_alpha1,train,5,1210,24200,20.0,16.007738205902264,0.0030665310177759733,0.004116514643157283,0.5462809917355372,0.5008264462809917,1.239145007163967,1.17375230904507,-0.8864470516376374,0.0030665310177759725,0.10981533287503065,-0.17612940932083027
ridge_primary_alpha1,train,10,1205,24100,20.0,9.379253155693803,0.0026484643257426556,0.003702059959625381,0.5443983402489626,0.4987551867219917,1.205688381237752,1.1494441870546694,-0.8864470516376374,0.0026484643257426556,0.09844263842595277,-0.17612940932083027
ridge_primary_alpha1,validation,0,484,9680,20.0,10.067245140494338,0.007295493397135952,-0.003148214705405131,0.45454545454545453,0.4541322314049587,1.4592249802439534,1.36270509322559,-0.9318613785223753,0.007295493397135952,0.5879358423781728,-0.2782411699919512
ridge_primary_alpha1,validation,1,483,9660,20.0,5.969579529056703,0.0060933394654981935,-0.0031515533207766566,0.453416149068323,0.45300207039337476,1.3827612623847834,1.3023125163676137,-0.9318613785223753,0.006093339465498194,0.4095817789885642,-0.2782411699919512
ridge_primary_alpha1,validation,3,481,9620,20.0,2.537460217455016,0.0044402630286232096,-0.0033104927426287623,0.45114345114345117,0.45083160083160084,1.277766104020155,1.2194022790208374,-0.9318613785223753,0.0044402630286232096,0.3682278653762948,-0.2782411699919512
ridge_primary_alpha1,validation,5,479,9580,20.0,0.911742605070861,0.0029543698523964426,-0.0034158686764543646,0.4488517745302714,0.44853862212943635,1.1840457741531736,1.145374333689148,-0.9318613785223753,0.002954369852396442,0.33160431887121244,-0.2782411699919512
ridge_primary_alpha1,validation,10,474,9480,20.0,-0.43119299758734275,8.285756544368349e-05,-0.0036553523981781187,0.4430379746835443,0.44272151898734174,1.0051078247006906,1.0040345757237865,-0.9448232980320812,8.285756544368403e-05,0.21965589984420059,-0.2782411699919512
ridge_primary_alpha1,research_holdout,0,328,6560,20.0,15.401247378301878,0.009436869828223041,0.009461389900963256,0.6219512195121951,0.5426829268292683,1.8725156022553702,1.5893532022269976,-0.636558230764735,0.009436869828223041,0.20247053780820568,-0.12737512789185884
ridge_primary_alpha1,research_holdout,1,327,6540,20.0,12.639625140585276,0.00884655280076132,0.00932056166218253,0.6207951070336392,0.5412844036697247,1.8154422699718127,1.550802199750786,-0.6365582307647348,0.00884655280076132,0.19686135949871159,-0.12737512789185884
ridge_primary_alpha1,research_holdout,3,325,6500,20.0,8.542666822186751,0.007697627896620999,0.009020296189611365,0.6184615384615385,0.5384615384615384,1.705198967888545,1.4763367770822344,-0.6365582307647351,0.007697627896620998,0.18785184547509165,-0.12737512789185884
ridge_primary_alpha1,research_holdout,5,323,6460,20.0,5.944787641500993,0.006678338186102715,0.008408547885482376,0.6160990712074303,0.5357585139318886,1.608054243264692,1.4113637911652102,-0.6365582307647348,0.006678338186102716,0.11273793690722841,-0.12737512789185884
ridge_primary_alpha1,research_holdout,10,318,6360,20.0,3.3532034285351013,0.005243327701548297,0.007969368899998391,0.610062893081761,0.5287735849056604,1.4700082866379112,1.318028720970149,-0.6365582307647348,0.005243327701548297,0.09078448504817105,-0.12737512789185884
logistic_primary_sgd_l2,train,0,1215,24300,20.0,16.453712828229072,0.003008967445286841,0.004346568930165867,0.5547325102880658,0.5021399176954733,1.2505160361256085,1.1791773367210496,-0.8744692206451592,0.003008967445286841,0.12159773445270139,-0.1681699068463701
logistic_primary_sgd_l2,train,1,1214,24280,20.0,14.561472970294322,0.0029112831232049503,0.004327741049042222,0.5543657331136738,0.5017298187808896,1.2421836910444386,1.1732177685298293,-0.8744692206451592,0.0029112831232049508,0.11349713340914762,-0.1681699068463701
logistic_primary_sgd_l2,train,3,1212,24240,20.0,11.612180251241913,0.002733267142437807,0.004293592660979057,0.5536303630363036,0.5009488448844884,1.2270003175665432,1.1623581187274261,-0.8744692206451592,0.002733267142437807,0.10786987682245375,-0.1681699068463701
logistic_primary_sgd_l2,train,5,1210,24200,20.0,9.278472898449913,0.0025597320060235284,0.004276050192324454,0.552892561983471,0.5001652892561983,1.2122372615530697,1.1518086151513822,-0.8744692206451592,0.002559732006023528,0.10112335769183071,-0.1681699068463701
logistic_primary_sgd_l2,train,10,1205,24100,20.0,5.455017193296448,0.0021657548427199418,0.004251106867332122,0.5510373443983403,0.49813278008298756,1.1788290648204531,1.1279359382081648,-0.8744692206451592,0.0021657548427199418,0.09250537011095702,-0.1681699068463701
logistic_primary_sgd_l2,validation,0,484,9680,20.0,8.910143528800646,0.006747865607892956,-0.0030098964171559133,0.44834710743801653,0.45640495867768593,1.4665836299187731,1.353109610011259,-0.8994125977308389,0.006747865607892955,0.577472155143967,-0.25017802162963865
logistic_primary_sgd_l2,validation,1,483,9660,20.0,5.282293792942546,0.005566241820033588,-0.003045844195740549,0.4472049689440994,0.45527950310559007,1.3840846156602462,1.290674511814151,-0.8994125977308389,0.0055662418200335875,0.5197031095371056,-0.25017802162963865
logistic_primary_sgd_l2,validation,3,481,9620,20.0,1.9791693624723652,0.0037031011853049353,-0.003245034885833731,0.44490644490644493,0.453014553014553,1.2544651818834929,1.1925787691093384,-0.8994125977308389,0.003703101185304934,0.361784466565473,-0.25017802162963865
logistic_primary_sgd_l2,validation,5,479,9580,20.0,0.6131979908109035,0.00221979959731105,-0.0033157062631584354,0.44258872651356995,0.45073068893528184,1.1519032245662595,1.1149600734928966,-0.8994125977308389,0.0022197995973110506,0.26463553310641036,-0.25017802162963865
logistic_primary_sgd_l2,validation,10,474,9480,20.0,-0.40856605489664655,-0.00010523905102486933,-0.003968392731697143,0.43670886075949367,0.4449367088607595,0.99287355436687,0.9946067194026523,-0.8994125977308388,-0.00010523905102486943,0.18085711506535543,-0.25017802162963865
logistic_primary_sgd_l2,research_holdout,0,328,6560,20.0,12.413814363948037,0.008522195202436982,0.00987544161438333,0.6585365853658537,0.5592987804878049,1.9389247688890616,1.6209079823957508,-0.5630342281791685,0.008522195202436982,0.12970377771869637,-0.13301114863838565
logistic_primary_sgd_l2,research_holdout,1,327,6540,20.0,10.873744806833916,0.008151609323182365,0.009802931894118483,0.6574923547400612,0.5579510703363915,1.8953577243109074,1.5920972335005281,-0.5630342281791685,0.008151609323182367,0.11701980368732474,-0.13301114863838565
logistic_primary_sgd_l2,research_holdout,3,325,6500,20.0,8.648951998319973,0.00752891907668533,0.009496983409455656,0.6553846153846153,0.5552307692307692,1.821904701719386,1.5435229817932967,-0.5630342281791686,0.007528919076685331,0.09297905259773849,-0.13301114863838565
