model_id,split,top_n,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return,auc,rank_ic_days,mean_rank_ic,median_rank_ic,rank_ic_std,rank_icir,positive_rank_ic_rate,scored_rows,best_baseline_pf,best_baseline_mean_daily_return,least_bad_baseline_drawdown,beats_best_baseline_pf,beats_best_baseline_mean_daily_return,drawdown_not_worse_than_least_bad_baseline
ridge_primary_alpha1,train,20,1215,24300,20.0,30.681765685908108,0.0035992561548162773,0.004256275878446647,0.5481481481481482,0.502880658436214,1.2818497278784566,1.2047796924693035,-0.8864470516376374,0.0035992561548162773,0.14223042038518935,-0.17612940932083027,0.5201070132822109,1215,0.05539399603306554,0.05610137639959693,0.14516583582605855,6.057571471783499,0.6609053497942387,4502499,1.3825285107722294,0.004344755410111005,-0.8769557963974678,False,False,False
ridge_primary_alpha1,validation,20,484,9680,20.0,10.067245140494338,0.007295493397135952,-0.003148214705405131,0.45454545454545453,0.4541322314049587,1.4592249802439534,1.36270509322559,-0.9318613785223753,0.007295493397135952,0.5879358423781728,-0.2782411699919512,0.5220314430016734,484,0.0764446478721368,0.09194103760229519,0.2040370957115065,5.947551643772128,0.6921487603305785,2416598,2.144813938770206,0.020506148793211235,-0.7574738331647852,False,False,False
ridge_primary_alpha1,research_holdout,20,328,6560,20.0,15.401247378301878,0.009436869828223041,0.009461389900963256,0.6219512195121951,0.5426829268292683,1.8725156022553702,1.5893532022269976,-0.636558230764735,0.009436869828223041,0.20247053780820568,-0.12737512789185884,0.53162100361176,328,0.06739114174042683,0.07786541709894268,0.15030595203393993,7.117490659595946,0.6676829268292683,1681892,2.2262938568552495,0.01021061348101434,-0.41240875156750545,False,False,False
logistic_primary_sgd_l2,train,20,1215,24300,20.0,16.453712828229072,0.003008967445286841,0.004346568930165867,0.5547325102880658,0.5021399176954733,1.2505160361256085,1.1791773367210496,-0.8744692206451592,0.003008967445286841,0.12159773445270139,-0.1681699068463701,0.5221815314706046,1215,0.06609884544703856,0.06737754988323162,0.13907738161309363,7.544624653110104,0.691358024691358,4502499,1.3825285107722294,0.004344755410111005,-0.8769557963974678,False,False,True
logistic_primary_sgd_l2,validation,20,484,9680,20.0,8.910143528800646,0.006747865607892956,-0.0030098964171559133,0.44834710743801653,0.45640495867768593,1.4665836299187731,1.353109610011259,-0.8994125977308389,0.006747865607892955,0.577472155143967,-0.25017802162963865,0.5209995123343523,484,0.08215557795634715,0.09329742063548602,0.1688492949889833,7.7239254603979255,0.7210743801652892,2416598,2.144813938770206,0.020506148793211235,-0.7574738331647852,False,False,False
logistic_primary_sgd_l2,research_holdout,20,328,6560,20.0,12.413814363948037,0.008522195202436982,0.00987544161438333,0.6585365853658537,0.5592987804878049,1.9389247688890616,1.6209079823957508,-0.5630342281791685,0.008522195202436982,0.12970377771869637,-0.13301114863838565,0.5327183082302978,328,0.07126465565972043,0.07862559930182372,0.15217802485065451,7.433999343701995,0.6646341463414634,1681892,2.2262938568552495,0.01021061348101434,-0.41240875156750545,False,False,False
ridge_conditional_industry_ablation,train,20,1215,24300,20.0,28.372241084369847,0.003538274176664335,0.004807948442939125,0.5497942386831276,0.5051440329218106,1.2762898065844148,1.2004563894036082,-0.8912567424276725,0.003538274176664335,0.1407994502223513,-0.1731752020702344,0.5199405758667968,1215,0.05484639536304775,0.05643532984496736,0.140547096645365,6.194788475998133,0.6609053497942387,4502499,1.3825285107722294,0.004344755410111005,-0.8769557963974678,False,False,False
ridge_conditional_industry_ablation,validation,20,484,9680,20.0,6.149572554712705,0.006336272277748928,-0.002765214582908954,0.45867768595041325,0.4465909090909091,1.3936764087412126,1.3113878714192446,-0.9280176163038604,0.006336272277748927,0.5854475528648078,-0.2707192240310104,0.5215146982329466,484,0.0736169789457396,0.09244877004516036,0.19767511953589684,5.911888729940094,0.7045454545454546,2416598,2.144813938770206,0.020506148793211235,-0.7574738331647852,False,False,False
ridge_conditional_industry_ablation,research_holdout,20,328,6560,20.0,18.096830951390587,0.00990817940900897,0.008198141952816113,0.6341463414634146,0.5474085365853658,1.9212707452468283,1.6366667773485544,-0.6344114627668023,0.00990817940900897,0.1827769796103127,-0.12417476087311423,0.5334153184299291,328,0.07102768948604661,0.07795880667019514,0.139548978680548,8.079812737710473,0.6829268292682927,1681892,2.2262938568552495,0.01021061348101434,-0.41240875156750545,False,False,False
