model_id,split,liquidity_bucket,trade_count,avg_trade_return,median_trade_return,trade_win_rate,positive_trade_return_sum,negative_trade_return_sum,avg_score,trade_profit_factor
ridge_primary_alpha1,train,liq_q1,24285,0.0036044574786631796,0.0010857763300760048,0.5029030265596047,514.2697819964043,-426.735532127069,0.00577517,1.2051252902073086
ridge_primary_alpha1,train,liq_q2,15,-0.004821687153318743,-0.01007194244604337,0.4666666666666667,0.2946716660010342,-0.3669969733008154,0.005407158,0.8029266926937338
ridge_primary_alpha1,validation,liq_q1,9680,0.007295493397135952,-0.002926117147431795,0.4541322314049587,265.3250477398037,-194.70467165552768,0.005871857,1.36270509322559
ridge_primary_alpha1,research_holdout,liq_q1,6559,0.00945101378357623,0.004767246214245624,0.5427656654977893,166.9462151188742,-104.95701571239772,0.0058260052,1.590615110249883
ridge_primary_alpha1,research_holdout,liq_q2,1,-0.08333333333333326,-0.08333333333333326,0.0,0.0,-0.08333333333333326,0.0053554894,0.0
logistic_primary_sgd_l2,train,liq_q1,24299,0.003009817774241136,0.0008984725965859308,0.5021605827400305,481.1935632332873,-408.05800113700195,0.10736482,1.1792283496279998
logistic_primary_sgd_l2,train,liq_q2,1,-0.01765317581514425,-0.01765317581514425,0.0,0.0,-0.01765317581514425,0.08336814,0.0
logistic_primary_sgd_l2,validation,liq_q1,9680,0.006747865607892955,-0.002506265664160401,0.45640495867768593,250.30252060223648,-184.98318151783266,0.11264655,1.353109610011259
logistic_primary_sgd_l2,research_holdout,liq_q1,6560,0.008522195202436982,0.005518601725817196,0.5592987804878049,145.9440637351705,-90.0384632071839,0.10601981,1.6209079823957508
ridge_conditional_industry_ablation,train,liq_q1,24255,0.003533865290927482,0.0012836970474967568,0.5050917336631623,513.6205648098276,-427.90666217838157,0.005949594,1.2003098110113426
ridge_conditional_industry_ablation,train,liq_q2,45,0.005914663588828037,0.004884004884004867,0.5333333333333333,1.2810339272266318,-1.0148740657293702,0.005611589,1.2622590038360846
ridge_conditional_industry_ablation,validation,liq_q1,9679,0.00633756076226209,-0.0035149384885766466,0.44663704928195064,258.3084767787534,-196.96722616081865,0.0060899407,1.3114287174245487
ridge_conditional_industry_ablation,validation,liq_q2,1,-0.006134969325153117,-0.006134969325153117,0.0,0.0,-0.006134969325153117,0.005303552,0.0
ridge_conditional_industry_ablation,research_holdout,liq_q1,6558,0.009917805805457909,0.0051697473122304105,0.5475754803293688,167.08819978727396,-102.04722931508101,0.00597524,1.637361454188751
ridge_conditional_industry_ablation,research_holdout,liq_q2,2,-0.021656774547060553,-0.021656774547060553,0.0,0.0,-0.04331354909412111,0.00558115,0.0
