baseline_id,split,baseline_type,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_log_amount,train,batch3D_simple_rule_5d,1215,24300,20.0,24.020353204666566,0.003352984119184926,0.0027293741309169,0.5415637860082304,0.49979423868312756,1.3067112426317034,1.2202254400820807,-0.9024614423285244,0.003352984119184931,0.3686607123608557,-0.1518510531896834
low_log_amount,research_holdout,batch3D_simple_rule_5d,328,6560,20.0,4.9603392967895195,0.006137998258078341,0.0060315425208199505,0.6067073170731707,0.5382621951219512,1.5747990022523752,1.415713587429671,-0.6885339004425621,0.00613799825807835,0.1546772666212437,-0.1298654451518566
low_log_amount,validation,batch3D_simple_rule_5d,484,9680,20.0,21.32456903675386,0.008214628539122588,-0.0025254998481515,0.45867768595041325,0.4609504132231405,1.6908663847885346,1.5151066302988052,-0.7574738331647852,0.008214628539122583,0.5790057781756983,-0.1922285893773429
low_stock_amount_share_in_industry,train,batch3D_simple_rule_5d,1215,24300,20.0,80.3028354721573,0.004344755410111005,0.0035711664081501,0.5440329218106996,0.5038271604938271,1.3825285107722294,1.2644549877701927,-0.8769557963974678,0.004344755410111011,0.2977717981103513,-0.1560489973163841
low_stock_amount_share_in_industry,research_holdout,batch3D_simple_rule_5d,328,6560,20.0,7.066213509696903,0.007078204817076268,0.00849577167179015,0.6158536585365854,0.5388719512195121,1.6863527321647278,1.4565938629830764,-0.5785395018723936,0.007078204817076279,0.1689697675983997,-0.1482726195246063
low_stock_amount_share_in_industry,validation,batch3D_simple_rule_5d,484,9680,20.0,20.140850756182584,0.008420079732945292,-0.0026658770353721,0.44834710743801653,0.4559917355371901,1.6426449950212645,1.490057300991512,-0.7734437662190451,0.008420079732945287,0.709650002325744,-0.1896592183056902
low_log_total_mv,train,batch3D_simple_rule_5d,1215,24300,20.0,4.294747606090158,0.002365759240362372,0.0034922110677432,0.5390946502057613,0.49477366255144034,1.1525158051363562,1.1164865286418524,-0.9275075022595742,0.002365759240362375,0.1957294216949847,-0.1755705309859769
low_log_total_mv,validation,batch3D_simple_rule_5d,484,9680,20.0,2237.9466597977553,0.020506148793211235,-0.0033459428339844503,0.4628099173553719,0.4643595041322314,2.144813938770206,1.8970422051415448,-0.8171529202660273,0.020506148793211235,0.8360219767519196,-0.1873332405624371
low_log_total_mv,research_holdout,batch3D_simple_rule_5d,328,6560,20.0,16.749801717976904,0.01021061348101434,0.0040490480389946005,0.5396341463414634,0.505640243902439,1.6857729438322273,1.493336564823286,-0.8212278449184183,0.010210613481014336,0.2481282858667948,-0.1485293138573812
low_stock_ret_60d,research_holdout,batch3D_simple_rule_5d,328,6560,20.0,17.70642712449572,0.009926589919772537,0.0105998237510032,0.600609756097561,0.504420731707317,1.8318608148637154,1.4236345540042252,-0.5692227802893264,0.009926589919772546,0.1899077288623758,-0.1500717704511215
low_stock_ret_60d,train,batch3D_simple_rule_5d,1155,23100,20.0,14.478653568699619,0.0038492954166887594,0.0011609945600376,0.5038961038961038,0.46220779220779223,1.206772510935136,1.1346029029272766,-0.9022219523380245,0.0038492954166887586,0.2851839439855045,-0.2072992986064947
low_stock_ret_60d,validation,batch3D_simple_rule_5d,484,9680,20.0,2.9368120223973215,0.005011874565637247,-0.0045364598648935,0.45454545454545453,0.4455578512396694,1.2665145905031885,1.171150945935893,-0.9342200627491132,0.005011874565637244,0.5038933438839511,-0.232646268208329
combo_low_liquidity_weak_momentum,train,batch3D_simple_rule_5d,1155,23100,20.0,17.705619506465105,0.0032004379977607386,0.0036799483772358,0.5506493506493506,0.49203463203463205,1.2684135959648517,1.1805814908617842,-0.9141151551298853,0.0032004379977607447,0.1222518513048039,-0.1649842206121611
combo_low_liquidity_weak_momentum,validation,batch3D_simple_rule_5d,484,9680,20.0,3.4204532724790164,0.0047323069184200695,-0.0024260898147837,0.4607438016528926,0.4580578512396694,1.3284982288076062,1.232028888392058,-0.8842751415675364,0.004732306918420065,0.5914288577738238,-0.2270761607103806
combo_low_liquidity_weak_momentum,research_holdout,batch3D_simple_rule_5d,328,6560,20.0,13.51043228993836,0.008620458980733329,0.0079483920373201,0.6554878048780488,0.5596036585365853,2.2262938568552495,1.7030792638690655,-0.41240875156750545,0.008620458980733348,0.1089691079961218,-0.108844391161551
combo_low_size_low_liquidity,train,batch3D_simple_rule_5d,1215,24300,20.0,7.038359525132821,0.002292363046945618,0.0042916312731452,0.5555555555555556,0.5082716049382716,1.2011560410041153,1.1479779857859205,-0.8770336021172225,0.0022923630469456236,0.1204565593099459,-0.1591120808111543
combo_low_size_low_liquidity,research_holdout,batch3D_simple_rule_5d,328,6560,20.0,14.3114613844367,0.009010606489988067,0.01063289116496785,0.6310975609756098,0.5617378048780488,1.9513934082431665,1.6505885120910402,-0.6297914336937058,0.009010606489988077,0.167009423092932,-0.1309943267592099
combo_low_size_low_liquidity,validation,batch3D_simple_rule_5d,484,9680,20.0,5.491081184972908,0.005575893933601557,-0.0027985631194502,0.45661157024793386,0.4558884297520661,1.4378181236973844,1.337937628908341,-0.8524038825939517,0.005575893933601554,0.5266750184450688,-0.2374771621616637
