model_id,model_family,objective,training_role,features,feature_count,model_file,validation_mean_daily_return,validation_profit_factor,validation_max_drawdown,validation_auc,validation_rank_ic,holdout_mean_daily_return,holdout_profit_factor,holdout_max_drawdown,holdout_auc,holdout_rank_ic
ridge_primary_alpha1,ridge,regression_fwd_ret_5d_open,primary_candidate,"stock_ret_5d, stock_ret_20d, stock_ret_60d, turnover_rate, log_amount, log_total_mv",6,/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch4B_lightweight_model_training/models/ridge_primary_alpha1.pkl,0.007295493397135952,1.4592249802439534,-0.9318613785223753,0.5220314430016734,0.0764446478721368,0.009436869828223041,1.8725156022553702,-0.636558230764735,0.53162100361176,0.06739114174042683
logistic_primary_sgd_l2,logistic_sgd,classification_label_win_5d,secondary_diagnostic,"stock_ret_5d, stock_ret_20d, stock_ret_60d, turnover_rate, log_amount, log_total_mv",6,/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch4B_lightweight_model_training/models/logistic_primary_sgd_l2.pkl,0.006747865607892956,1.4665836299187731,-0.8994125977308389,0.5209995123343523,0.08215557795634715,0.008522195202436982,1.9389247688890616,-0.5630342281791685,0.5327183082302978,0.07126465565972043
ridge_conditional_industry_ablation,ridge,regression_fwd_ret_5d_open,conditional_ablation_only,"stock_ret_5d, stock_ret_20d, stock_ret_60d, turnover_rate, log_amount, log_total_mv, stock_amount_share_in_industry",7,/Users/yuxiang.luo/Documents/Codex/2026-05-21/new-chat/reports/tushare/v9_swing_research/batch4B_lightweight_model_training/models/ridge_conditional_industry_ablation.pkl,0.006336272277748928,1.3936764087412126,-0.9280176163038604,0.5215146982329466,0.0736169789457396,0.00990817940900897,1.9212707452468283,-0.6344114627668023,0.5334153184299291,0.07102768948604661
