model_id,split,size_bucket,trade_count,avg_trade_return,median_trade_return,trade_win_rate,positive_trade_return_sum,negative_trade_return_sum,avg_score,trade_profit_factor
ridge_primary_alpha1,train,size_q1,24138,0.0035474931526918115,0.0010758475410027613,0.5027342779020632,510.7751949552561,-425.1458052355812,0.0057765464,1.2014118184048084
ridge_primary_alpha1,train,size_q2,162,0.01131194347136164,0.004563673367668941,0.5246913580246914,3.789258707149302,-1.9567238647887162,0.005535974,1.9365321675363019
ridge_primary_alpha1,validation,size_q1,9547,0.007574355555768192,-0.0027118644067796183,0.45689745469781085,262.8342576046066,-190.52188511368763,0.0058785,1.3795489029922674
ridge_primary_alpha1,validation,size_q2,133,-0.012721777493555766,-0.019774011299435124,0.2556390977443609,2.490790135197132,-4.1827865418400485,0.0053950204,0.5954858346898595
ridge_primary_alpha1,research_holdout,size_q1,6496,0.009412369170295762,0.0047683607859781985,0.5424876847290641,165.55322051728456,-104.4104703870433,0.005829721,1.5855997957253596
ridge_primary_alpha1,research_holdout,size_q2,64,0.011923686607841906,0.004211862041561765,0.5625,1.3929946015896417,-0.6298786586877597,0.0054415003,2.211528494220932
logistic_primary_sgd_l2,train,size_q1,20783,0.003183634201120986,0.001367989056087593,0.5058461242361546,417.650422292591,-351.48495269069355,0.108650036,1.1882455254354032
logistic_primary_sgd_l2,train,size_q2,3168,0.002499070887138486,0.0,0.4845328282828283,57.24081176562021,-49.32375519516548,0.10036748,1.1605120400733544
logistic_primary_sgd_l2,train,size_q3,330,-0.0039944819278012805,-0.005382256713169553,0.43636363636363634,5.732295575035717,-7.05047461121014,0.094847724,0.8130368366863503
logistic_primary_sgd_l2,train,size_q4,19,0.01860851496276203,0.009422367882015559,0.5263157894736842,0.5700336000403718,-0.21647181574789331,0.08438319,2.633292459209759
logistic_primary_sgd_l2,validation,size_q1,8548,0.008036235261353252,-0.002281803366603663,0.4584698175011699,225.6557165687518,-156.96197755470422,0.11450944,1.4376457285020285
logistic_primary_sgd_l2,validation,size_q2,961,-0.0009515882080198437,-0.0038580246913580973,0.45265348595213317,22.98095165202715,-23.895427919934225,0.099880144,0.9617300735952006
logistic_primary_sgd_l2,validation,size_q3,162,-0.013223877813031507,-0.01028493906118555,0.3888888888888889,1.6643344189005727,-3.806602624611677,0.09191288,0.43722305242469495
logistic_primary_sgd_l2,validation,size_q4,9,-0.03529505066951433,-0.03811659192825112,0.1111111111111111,0.0015179625569237132,-0.31917341858255266,0.07967733,0.004755917844490235
logistic_primary_sgd_l2,research_holdout,size_q1,5339,0.007768031091248382,0.004927842309046193,0.5497284135605919,119.34103282163363,-77.86751482545853,0.107508235,1.5326164330419272
logistic_primary_sgd_l2,research_holdout,size_q2,1121,0.011814683209482634,0.008896797153024938,0.6030330062444246,24.50303926783255,-11.258779390002516,0.10001904,2.1763495330222535
logistic_primary_sgd_l2,research_holdout,size_q3,97,0.011863170142330345,0.0034364261168382537,0.5876288659793815,2.001665285871661,-0.8509377820656177,0.09395695,2.3523051015700562
logistic_primary_sgd_l2,research_holdout,size_q4,3,0.012365050058468885,-0.029520295202952074,0.3333333333333333,0.09832635983263605,-0.06123120965722939,0.08943703,1.6058209593288173
ridge_conditional_industry_ablation,train,size_q1,24001,0.0035610712432734243,0.0012878300064391723,0.5052289487938002,509.2894723900213,-423.8202014802159,0.005952675,1.2016639853676137
ridge_conditional_industry_ablation,train,size_q2,299,0.0017083330539728332,0.0,0.4983277591973244,5.612126347032923,-5.101334763895047,0.005651478,1.1001290067754481
ridge_conditional_industry_ablation,validation,size_q1,9517,0.00668201265199302,-0.0032626427406198255,0.44909110013659764,254.83406163695417,-191.2413472279366,0.006099026,1.3325259695709148
ridge_conditional_industry_ablation,validation,size_q2,163,-0.013850299143607064,-0.018114829597789317,0.3006134969325153,3.474415141799259,-5.7320139022072105,0.0055546304,0.6061421345229773
ridge_conditional_industry_ablation,research_holdout,size_q1,6445,0.009854557749939078,0.005109150023223208,0.5474010861132661,164.31906429332332,-100.80643959496595,0.005981532,1.630045312120408
ridge_conditional_industry_ablation,research_holdout,size_q2,115,0.012913323693404198,0.005252100840336338,0.5478260869565217,2.769135493950661,-1.284103269209179,0.0056157922,2.156474140632043
