model_id,split,roundtrip_cost_bps,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
ridge_primary_alpha1,train,0,1215,24300,20.0,30.681765685908108,0.0035992561548162773,0.004256275878446647,0.5481481481481482,0.502880658436214,1.2818497278784566,1.2047796924693035,-0.8864470516376374,0.0035992561548162773,0.14223042038518935,-0.17612940932083027
ridge_primary_alpha1,validation,0,484,9680,20.0,10.067245140494338,0.007295493397135952,-0.003148214705405131,0.45454545454545453,0.4541322314049587,1.4592249802439534,1.36270509322559,-0.9318613785223753,0.007295493397135952,0.5879358423781728,-0.2782411699919512
ridge_primary_alpha1,research_holdout,0,328,6560,20.0,15.401247378301878,0.009436869828223041,0.009461389900963256,0.6219512195121951,0.5426829268292683,1.8725156022553702,1.5893532022269976,-0.636558230764735,0.009436869828223041,0.20247053780820568,-0.12737512789185884
logistic_primary_sgd_l2,train,0,1215,24300,20.0,16.453712828229072,0.003008967445286841,0.004346568930165867,0.5547325102880658,0.5021399176954733,1.2505160361256085,1.1791773367210496,-0.8744692206451592,0.003008967445286841,0.12159773445270139,-0.1681699068463701
logistic_primary_sgd_l2,validation,0,484,9680,20.0,8.910143528800646,0.006747865607892956,-0.0030098964171559133,0.44834710743801653,0.45640495867768593,1.4665836299187731,1.353109610011259,-0.8994125977308389,0.006747865607892955,0.577472155143967,-0.25017802162963865
logistic_primary_sgd_l2,research_holdout,0,328,6560,20.0,12.413814363948037,0.008522195202436982,0.00987544161438333,0.6585365853658537,0.5592987804878049,1.9389247688890616,1.6209079823957508,-0.5630342281791685,0.008522195202436982,0.12970377771869637,-0.13301114863838565
ridge_conditional_industry_ablation,train,0,1215,24300,20.0,28.372241084369847,0.003538274176664335,0.004807948442939125,0.5497942386831276,0.5051440329218106,1.2762898065844148,1.2004563894036082,-0.8912567424276725,0.003538274176664335,0.1407994502223513,-0.1731752020702344
ridge_conditional_industry_ablation,validation,0,484,9680,20.0,6.149572554712705,0.006336272277748928,-0.002765214582908954,0.45867768595041325,0.4465909090909091,1.3936764087412126,1.3113878714192446,-0.9280176163038604,0.006336272277748927,0.5854475528648078,-0.2707192240310104
ridge_conditional_industry_ablation,research_holdout,0,328,6560,20.0,18.096830951390587,0.00990817940900897,0.008198141952816113,0.6341463414634146,0.5474085365853658,1.9212707452468283,1.6366667773485544,-0.6344114627668023,0.00990817940900897,0.1827769796103127,-0.12417476087311423
ridge_primary_alpha1,train,20,1215,24300,20.0,1.7965243068837409,0.001599256154816277,0.0022562758784466473,0.5209876543209877,0.502880658436214,1.1167147964945014,1.2047796924693035,-0.9014412059575714,0.0035992561548162773,0.14023042038518935,-0.17812940932083027
ridge_primary_alpha1,validation,20,484,9680,20.0,3.211104799562702,0.00529549339713595,-0.005148214705405131,0.43388429752066116,0.4541322314049587,1.3115565519999224,1.36270509322559,-0.9388400413488345,0.007295493397135952,0.5859358423781728,-0.2802411699919512
ridge_primary_alpha1,research_holdout,20,328,6560,20.0,7.548242574632386,0.007436869828223041,0.007461389900963255,0.600609756097561,0.5426829268292683,1.6420274259661498,1.5893532022269976,-0.6625401639619668,0.009436869828223041,0.20047053780820567,-0.12937512789185884
logistic_primary_sgd_l2,train,20,1215,24300,20.0,0.5391561373095757,0.0010089674452868399,0.0023465689301658673,0.5300411522633744,0.5021399176954733,1.0780621063824707,1.1791773367210496,-0.8898223738592225,0.003008967445286841,0.11959773445270139,-0.1701699068463701
logistic_primary_sgd_l2,validation,20,484,9680,20.0,2.771232401956275,0.004747865607892953,-0.005009896417155914,0.4256198347107438,0.45640495867768593,1.3045862488059068,1.353109610011259,-0.9096292651601776,0.006747865607892955,0.575472155143967,-0.25217802162963865
logistic_primary_sgd_l2,research_holdout,20,328,6560,20.0,5.98966651171369,0.006522195202436979,0.00787544161438333,0.649390243902439,0.5592987804878049,1.6676100222572388,1.6209079823957508,-0.6006407990008322,0.008522195202436982,0.12770377771869637,-0.13501114863838565
