horizon,score_decile,sample_rows,trading_days,avg_return,median_return,win_rate,avg_drawdown_to_low,avg_score
3d,1,16491,56,-0.0029758540010979425,-0.0043555324060612355,0.42908252986477474,-0.027606096267959172,0.28454190152971787
3d,2,16462,56,-0.001501142503644042,-0.005166861919678689,0.445753857368485,-0.03557721917985016,0.3303218600337246
3d,3,16454,56,-0.00014843755909138337,-0.004048713690973482,0.4619545399295004,-0.03711627274904079,0.34765291447549385
3d,4,16462,56,0.0008243849363122004,-0.0031181671279219003,0.4704167172883003,-0.0381831349814488,0.35987169524926604
3d,5,16469,56,0.001301677565163417,-0.003563286129002252,0.4686987673811403,-0.03855255657595931,0.3702402450629549
3d,6,16450,56,0.0012813537620930523,-0.002584056608574581,0.4786018237082067,-0.038970535873357755,0.3800097593393325
3d,7,16456,56,0.001799497944586936,-0.002237927701461584,0.4797034516285853,-0.03945831396964427,0.3901706616403472
3d,8,16460,56,0.0023525788418159482,-0.0017559980770292527,0.4857837181044957,-0.03926964556479949,0.40101908676668147
3d,9,16455,56,0.0022645191283687414,-0.0011197754779295188,0.4890306897599514,-0.03917650439670333,0.41523026383700773
3d,10,16488,56,0.0012820237972145177,-0.0007327202101850561,0.493753032508491,-0.03895061493990574,0.4425307234970855
5d,1,15903,54,-0.005823687776170254,-0.008050686370293492,0.4064641891467019,-0.037536961348988936,0.2868093395150136
5d,2,15875,54,-0.003159246887231267,-0.00858090129672906,0.4346456692913386,-0.047712333065697506,0.33319902549916686
5d,3,15867,54,-0.0006009582667722263,-0.006990561347300139,0.4537089556942081,-0.049746820851837084,0.35075309655329995
5d,4,15875,54,0.000621435595850241,-0.005608765366387103,0.46525984251968505,-0.05096065179243298,0.36308393680266693
5d,5,15881,54,0.002009530404744786,-0.004731394880957307,0.4701215288709779,-0.05104889547654205,0.37353185769486186
5d,6,15863,54,0.002498262605610606,-0.004904362485296465,0.4685746706171594,-0.0513421464103628,0.3833379833651326
5d,7,15869,54,0.003487889224035224,-0.004185665539523931,0.47658957716302225,-0.05173775009629216,0.3935852683125884
5d,8,15873,54,0.0036886107895104446,-0.0042360981717419754,0.474957474957475,-0.05165552209202591,0.4044810599174609
5d,9,15869,54,0.0029823209180494283,-0.0042472222708499485,0.47161131766336883,-0.05165194330793498,0.4187521719485185
5d,10,15900,54,0.001657883871902762,-0.00560330638892742,0.4643396226415094,-0.05118259105194969,0.44623941446174775
10d,1,14432,49,-0.006571379745523742,-0.011394776752325697,0.41040742793791574,-0.05331659107993213,0.29265837426199426
10d,2,14407,49,-0.0021165661788886537,-0.012622631729524159,0.436454501284098,-0.06734804799418216,0.3388049091761771
10d,3,14400,49,0.0038034055077496125,-0.007718289759491681,0.46152777777777776,-0.06936658396942198,0.35625929835093156
10d,4,14407,49,0.006320042124430614,-0.006377614194841952,0.47122926355243977,-0.07042664125011094,0.3686734179639308
10d,5,14414,49,0.009359214666586534,-0.004110532489475738,0.4805744415151936,-0.07078014297171864,0.37914398251001524
10d,6,14396,49,0.010422987959987763,-0.002143525997705009,0.4904140038899694,-0.07160356906632923,0.3890687334426775
10d,7,14402,49,0.012174796089590247,-0.0023158602455675137,0.49014025829745866,-0.07130118596803671,0.3994608180652254
10d,8,14405,49,0.013118049563610581,-0.0017574038511083412,0.4914960083304408,-0.07115749423297109,0.41045890781652394
10d,9,14402,49,0.01151424723271041,-0.003727120121001848,0.4838911262324677,-0.0709232873286712,0.4249463916989034
10d,10,14429,49,0.009621111533846963,-0.004112108735804254,0.48229260517014344,-0.07000462692101385,0.4530280430240598
