metric,sample_rows,trading_days,daily_pearson_mean,daily_pearson_median,daily_spearman_mean,daily_spearman_median,positive_spearman_day_ratio
target_return,170505,58,0.027885463643501023,0.026647807471875694,0.012073690138771995,0.01334118385482546,0.5172413793103449
fwd_ret_3d_entry,164647,56,0.02612179114193813,0.025931307172918125,0.0168031337725995,0.025221630603753556,0.6071428571428571
fwd_ret_5d_entry,158775,54,0.03145048463942588,0.03786879702935363,0.019735635955854487,0.0034744823668608526,0.5
fwd_ret_10d_entry,144094,49,0.047771008956255814,0.04688102509117906,0.03801655090026922,0.03650297078697646,0.6530612244897959
