horizon,selection,sample_rows,trading_days,avg_signal_return,median_signal_return,signal_win_rate,avg_daily_equal_weight_return,daily_win_rate,baseline_all_avg_daily_return,excess_vs_all_daily
3d,top10,560,56,0.002056590480276207,0.000203574553035768,0.5,0.0020565904802762078,0.5892857142857143,0.0006978232535403238,0.0013587672267358838
3d,top20,1120,56,0.001857266987335784,0.0010024790241337511,0.5107142857142857,0.0018572669873357843,0.5535714285714286,0.0006978232535403238,0.0011594437337954606
3d,top50,2800,56,0.0012373285671045415,-0.00043705064962812346,0.4957142857142857,0.0012373285671045413,0.5714285714285714,0.0006978232535403238,0.0005395053135642175
3d,top100,5600,56,0.0015186216559748742,-0.0009206682237004049,0.49339285714285713,0.001518621655974874,0.6071428571428571,0.0006978232535403238,0.0008207984024345502
5d,top10,540,54,-0.0008810606122396419,-0.007475019963481377,0.4462962962962963,-0.0008810606122396412,0.5,0.0007873418442148103,-0.0016684024564544513
5d,top20,1080,54,7.354487433435664e-05,-0.0076231525720633075,0.45,7.354487433435727e-05,0.5370370370370371,0.0007873418442148103,-0.000713796969880453
5d,top50,2700,54,0.0005247723737807459,-0.006405278385986979,0.4585185185185185,0.0005247723737807459,0.5185185185185185,0.0007873418442148103,-0.00026256947043406436
5d,top100,5400,54,0.0008759953664223851,-0.0059354015037050845,0.46055555555555555,0.000875995366422386,0.5,0.0007873418442148103,8.865352220757575e-05
10d,top10,490,49,0.007719273781864809,-0.011545188312568733,0.45510204081632655,0.007719273781864808,0.5510204081632653,0.006814739666723109,0.0009045341151416985
10d,top20,980,49,0.009770711144441238,-0.010991543406701387,0.4642857142857143,0.009770711144441236,0.5714285714285714,0.006814739666723109,0.002955971477718127
10d,top50,2450,49,0.00983420392635973,-0.0040434808178247406,0.48244897959183675,0.009834203926359728,0.5714285714285714,0.006814739666723109,0.003019464259636619
10d,top100,4900,49,0.0096503180036317,-0.004586680916883856,0.48020408163265305,0.009650318003631702,0.6122448979591837,0.006814739666723109,0.002835578336908593
