scenario_id,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days
no_cost,20260407,0.03339927962376841,20260306,-0.03189121701940216,0.14792680057254137,0.08945482945960825,0.04050199325232806
basic_cost_no_slippage,20260407,0.03236613862939319,20260306,-0.03285908383567868,0.08430938735056603,0.03113862892095276,-0.013221789180578924
5bp_one_way_slippage,20260407,0.03133403000173749,20260306,-0.03382598351049495,0.02421758371420335,-0.024056056257852454,-0.06417169996848882
10bp_one_way_slippage,20260407,0.03030295219418422,20260306,-0.03479191749275214,-0.03254402185585592,-0.07629633670246394,-0.11249098218166709
15bp_one_way_slippage,20260407,0.02927290366320434,20260306,-0.03575688722845871,-0.08616000697166704,-0.12574037411085848,-0.15831547943665913
20bp_one_way_slippage,20260407,0.028243882868349245,20260306,-0.036720894160737136,-0.13680471623528145,-0.17253786069097876,-0.20177401831187802
10bp_slippage_plus_impact_capital_100k,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.042601254969109714,-0.08563913959214298,-0.12114172000547108
10bp_slippage_plus_impact_participation_10pct_no_partial_capital_100k,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.04671496030342137,-0.08956792179336082,-0.12491795640987635
10bp_slippage_plus_impact_participation_10pct_partial_zero_capital_100k,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.042998801530954256,-0.08601881526878918,-0.12150665372757452
capacity_100000_part_100bp_slip_5bp,20260407,0.02962660201916083,20260306,-0.033683354669167366,-0.021566259936068866,-0.06691643710965789,-0.10400110125554862
capacity_100000_part_100bp_slip_10bp,20260407,0.028645311837033366,20260306,-0.03464114134899665,-0.07170407805761536,-0.112984764319629,-0.14657915002776045
capacity_100000_part_100bp_slip_15bp,20260407,0.027665001119406302,20260306,-0.0355979720190561,-0.11926949056121505,-0.1567755618364537,-0.18713099187683446
capacity_100000_part_100bp_slip_20bp,20260407,0.026685668400548073,20260306,-0.03655384810998564,-0.16439466244587364,-0.1984015943566364,-0.22575320404498034
capacity_100000_part_300bp_slip_5bp,20260407,0.031135713578382095,20260306,-0.03399441258802827,0.005959578954860989,-0.041181282570997735,-0.08025185415088054
capacity_100000_part_300bp_slip_10bp,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.04930473479236486,-0.0920412783151473,-0.12729527804805463
capacity_100000_part_300bp_slip_15bp,20260407,0.02907503516478922,20260306,-0.035924936813598596,-0.1015326456704021,-0.14020309476525594,-0.1719321877099812
capacity_100000_part_300bp_slip_20bp,20260407,0.02804623781028768,20260306,-0.0368887544417259,-0.1508910265991148,-0.18580991319333373,-0.21428572593720718
capacity_100000_part_500bp_slip_5bp,20260407,0.031135713578382095,20260306,-0.03399441258802827,0.009512437061983903,-0.037794917030327446,-0.07700347844587752
capacity_100000_part_500bp_slip_10bp,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.0462295686911961,-0.08910434995927163,-0.12447238402986438
capacity_100000_part_500bp_slip_15bp,20260407,0.02907503516478922,20260306,-0.035924936813598596,-0.09889358287425187,-0.13767761844837523,-0.1694999090683882
capacity_100000_part_500bp_slip_20bp,20260407,0.02804623781028768,20260306,-0.0368887544417259,-0.1486495971430145,-0.18366066062316688,-0.21221164219397537
capacity_100000_part_1000bp_slip_5bp,20260407,0.031135713578382095,20260306,-0.03399441258802827,0.013030709408051733,-0.03444151650709104,-0.07378672447823886
capacity_100000_part_1000bp_slip_10bp,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.042998801530954256,-0.08601881526878918,-0.12150665372757452
capacity_100000_part_1000bp_slip_15bp,20260407,0.02907503516478922,20260306,-0.035924936813598596,-0.09592937289610981,-0.1348409894340974,-0.16676796020019602
capacity_100000_part_1000bp_slip_20bp,20260407,0.02804623781028768,20260306,-0.0368887544417259,-0.1459324291669999,-0.18105523387635225,-0.20969733869388363
capacity_300000_part_100bp_slip_5bp,20260304,0.02000245791269577,20260320,-0.023481440346038534,-0.04211757309502573,-0.07745220957657784,-0.10775941209644424
capacity_300000_part_100bp_slip_10bp,20260304,0.01904133648875726,20260320,-0.024174487466897362,-0.07724922039487081,-0.10987563163679515,-0.13779704734248455
capacity_300000_part_100bp_slip_15bp,20260304,0.018081174400260604,20260320,-0.024866842848320546,-0.11108317210936713,-0.14115084727994365,-0.16681531801845395
capacity_300000_part_100bp_slip_20bp,20260304,0.017121970211593365,20260320,-0.025558507525442607,-0.14366771176108528,-0.1713188333995289,-0.19484910162914226
capacity_300000_part_300bp_slip_5bp,20260407,0.029494924430241515,20260306,-0.0338047686887913,-0.027662819677470862,-0.0725471379934921,-0.10918414611570315
capacity_300000_part_300bp_slip_10bp,20260407,0.028513781735262866,20260306,-0.0347624186626857,-0.07748768674989126,-0.11833695806536404,-0.15151542128910656
capacity_300000_part_300bp_slip_15bp,20260407,0.027533618276035177,20260306,-0.03571911283915783,-0.12475623500331046,-0.16186304454099054,-0.191832257566514
capacity_300000_part_300bp_slip_20bp,20260407,0.026554432587290854,20260306,-0.0366748526484164,-0.1695998012527914,-0.20323747759204736,-0.23023067001427644
capacity_300000_part_500bp_slip_5bp,20260407,0.03057305182468084,20260306,-0.034117687087526806,-0.011590940485705081,-0.05771350004729181,-0.09543822817566416
capacity_300000_part_500bp_slip_10bp,20260407,0.029556225484567135,20260306,-0.035083292203650265,-0.06471363162576993,-0.10657180876635397,-0.14064456986842622
capacity_300000_part_500bp_slip_15bp,20260407,0.028540413985557945,20260306,-0.036047933584263545,-0.11497985557117563,-0.15289547690295346,-0.18359044743808328
capacity_300000_part_500bp_slip_20bp,20260407,0.027525615809121374,20260306,-0.03701161267145105,-0.16254330249824955,-0.19681608251727933,-0.22438897192172025
capacity_300000_part_1000bp_slip_5bp,20260407,0.030990568741486202,20260306,-0.034117687087526806,-0.0006819347207390747,-0.047313545937922474,-0.08588602011993052
capacity_300000_part_1000bp_slip_10bp,20260407,0.029959879096123677,20260306,-0.035083292203650265,-0.05566914113680699,-0.09793209899251232,-0.132721878966375
capacity_300000_part_1000bp_slip_15bp,20260407,0.028930218123741212,20260306,-0.036047933584263545,-0.10763042367048425,-0.14586090594492407,-0.17715778734870824
capacity_300000_part_1000bp_slip_20bp,20260407,0.027901584285116486,20260306,-0.03701161267145105,-0.1567323360063173,-0.1912429288900247,-0.21931675607253298
capacity_500000_part_100bp_slip_5bp,20260520,0.018023040153375698,20260227,-0.02134123340687003,-0.04477368976224849,-0.07439464379977057,-0.09856209746998335
capacity_500000_part_100bp_slip_10bp,20260520,0.01709321142541654,20260227,-0.022271573499168272,-0.07218491380592829,-0.09982308798737971,-0.12230844314361466
capacity_500000_part_100bp_slip_15bp,20260520,0.016164310811102832,20260227,-0.023200984973903577,-0.09879972730252207,-0.12454380297076217,-0.1454206803859046
capacity_500000_part_100bp_slip_20bp,20260520,0.015236336921525363,20260227,-0.024129469220729508,-0.12464156044890251,-0.14857674674423105,-0.16791597607055686
capacity_500000_part_300bp_slip_5bp,20260407,0.024980364319894376,20260306,-0.031526928530974364,-0.04488504085496958,-0.08563430861501875,-0.12117755752708448
capacity_500000_part_300bp_slip_10bp,20260407,0.0241371384447807,20260306,-0.032416238381459836,-0.08895205975394338,-0.12621858437898337,-0.15852360700641677
capacity_500000_part_300bp_slip_15bp,20260407,0.023294754132992986,20260306,-0.0333046606774003,-0.1309799006325374,-0.1649958580475842,-0.19427716882104584
capacity_500000_part_300bp_slip_20bp,20260407,0.022453210125303737,20260306,-0.03419219674683692,-0.17106321886150944,-0.20204685176408932,-0.2285063936874836
capacity_500000_part_500bp_slip_5bp,20260407,0.02940427773635554,20260306,-0.03388835073676412,-0.03183812428309252,-0.07640403772213111,-0.11273516526931693
capacity_500000_part_500bp_slip_10bp,20260407,0.028423236564577552,20260306,-0.034845906607423885,-0.08144866512848081,-0.12200308882500788,-0.1548973721400656
capacity_500000_part_500bp_slip_15bp,20260407,0.027443174471101284,20260306,-0.03580250682682354,-0.1285139041658846,-0.16534785613565317,-0.19505320247601765
capacity_500000_part_500bp_slip_20bp,20260407,0.02646408999097897,20260306,-0.03675815282487503,-0.17316461103695802,-0.20654995095775142,-0.2332982861974191
capacity_500000_part_1000bp_slip_5bp,20260407,0.03089065262471784,20260306,-0.03420254975299265,-0.011940762282993012,-0.057912177860619085,-0.0957114279758462
capacity_500000_part_1000bp_slip_10bp,20260407,0.02986007588437638,20260306,-0.03516805920598265,-0.06557138145974384,-0.10726342000107125,-0.14137558878106127
capacity_500000_part_1000bp_slip_15bp,20260407,0.02883052764147249,20260306,-0.03613260507209941,-0.11629009144106772,-0.15402852841669057,-0.18473299815568622
capacity_500000_part_1000bp_slip_20bp,20260407,0.027802006357140918,20260306,-0.03709618879312543,-0.16425506791958777,-0.1983430896354088,-0.22590024435598866
capacity_1000000_part_100bp_slip_5bp,20260520,0.015511883570718912,20260227,-0.019591019046654105,-0.03666809794425496,-0.05991486250004652,-0.07811757179979562
capacity_1000000_part_100bp_slip_10bp,20260520,0.01476120310213815,20260227,-0.02037096623756974,-0.055938554738244606,-0.07769798076105883,-0.0947292101097792
capacity_1000000_part_100bp_slip_15bp,20260520,0.014011271914058005,20260227,-0.021150134946140032,-0.07481455119960445,-0.09513637133219943,-0.11103374675959221
capacity_1000000_part_100bp_slip_20bp,20260520,0.013262088885213583,20260227,-0.021928526337313736,-0.09330434808175858,-0.11223688080415639,-0.12703700529032214
capacity_1000000_part_300bp_slip_5bp,20260304,0.01933145538189688,20260320,-0.022224340092524723,-0.049059240528326664,-0.08267704298006984,-0.11140017971887994
capacity_1000000_part_300bp_slip_10bp,20260304,0.018396488804178626,20260320,-0.022874193751569794,-0.08229704921481162,-0.11338135445941588,-0.13987520394661868
capacity_1000000_part_300bp_slip_15bp,20260304,0.0174624553735201,20260227,-0.023756971262550518,-0.11436371584107885,-0.14304908525806992,-0.16742944194968234
capacity_1000000_part_300bp_slip_20bp,20260304,0.016529353693621747,20260227,-0.024732957240224285,-0.14530084557900524,-0.1717155372947199,-0.1940929448296922
capacity_1000000_part_500bp_slip_5bp,20260407,0.022533589503696657,20260306,-0.029561713526643718,-0.049313268547594546,-0.08745620710330926,-0.12191554336772847
capacity_1000000_part_500bp_slip_10bp,20260407,0.021771459169505236,20260306,-0.030394872314023807,-0.09065607478758919,-0.12559312884524076,-0.1569784430372092
capacity_1000000_part_500bp_slip_15bp,20260407,0.021010089408707477,20260306,-0.031227199654107345,-0.13019387963665252,-0.16212954175840366,-0.19063481774461366
capacity_1000000_part_500bp_slip_20bp,20260407,0.020249479083341983,20260306,-0.03205869679088241,-0.1680058122216379,-0.1971329083046991,-0.22294135804593762
capacity_1000000_part_1000bp_slip_5bp,20260407,0.029237728784231247,20260306,-0.03404192118415837,-0.039464027236593924,-0.08344975701881363,-0.11922369858398474
capacity_1000000_part_1000bp_slip_10bp,20260407,0.028256874130863786,20260306,-0.03499930416557613,-0.0886831207677331,-0.12870031875219845,-0.16107698230046785
capacity_1000000_part_1000bp_slip_15bp,20260407,0.027276998266556753,20260306,-0.035955731764246344,-0.13537703380248434,-0.17171385900748326,-0.20093862091016335
capacity_1000000_part_1000bp_slip_20bp,20260407,0.026298099726949374,20260306,-0.0369112054095357,-0.17967550011910316,-0.21260113260128033,-0.23890354060986152
capacity_5000000_part_100bp_slip_5bp,20260513,0.00945255317634899,20260302,-0.007800201466293294,-0.02064254893909445,-0.030574100678576577,-0.035762662203477236
capacity_5000000_part_100bp_slip_10bp,20260513,0.009097917884014161,20260302,-0.008476097426572118,-0.02758747242730064,-0.03704901721124665,-0.04193143006493738
capacity_5000000_part_100bp_slip_15bp,20260513,0.008743636556749099,20260302,-0.009151318758070626,-0.03447811887611618,-0.043476007871880995,-0.048056306853561104
capacity_5000000_part_100bp_slip_20bp,20260513,0.008389708664874044,20260302,-0.009825866470330792,-0.0413149505995849,-0.0498554609665115,-0.0541807224237284
capacity_5000000_part_300bp_slip_5bp,20260520,0.013988207288985663,20260227,-0.017064076367907844,-0.03634743866645995,-0.05649252494124879,-0.06898026781353239
capacity_5000000_part_300bp_slip_10bp,20260520,0.013407310388339814,20260227,-0.017656379011575553,-0.05091334884582699,-0.0699207756368998,-0.08161174850229813
capacity_5000000_part_300bp_slip_15bp,20260520,0.012826993242533993,20260227,-0.018248090537904584,-0.06525122985228149,-0.08315064625231516,-0.09406504577957964
capacity_5000000_part_300bp_slip_20bp,20260520,0.01224725498407869,20260227,-0.0188392118313551,-0.07936477531809749,-0.09618517566457385,-0.10634277003257686
capacity_5000000_part_500bp_slip_5bp,20260520,0.015321386057635125,20260227,-0.01980758619401692,-0.04192042145453778,-0.06478435018106099,-0.08268512935921335
capacity_5000000_part_500bp_slip_10bp,20260520,0.014570910402658972,20260227,-0.020587298527479328,-0.06108302275696731,-0.08247276094921097,-0.09921204478534884
capacity_5000000_part_500bp_slip_15bp,20260520,0.013821183714334922,20260227,-0.021366232739413578,-0.07985342926852557,-0.09981833089630432,-0.1154334702124451
capacity_5000000_part_500bp_slip_20bp,20260520,0.013072204872031248,20260227,-0.02214438999403946,-0.09823985307537808,-0.11682786811483759,-0.13135519774875193
capacity_5000000_part_1000bp_slip_5bp,20260520,0.017677089967384194,20260227,-0.021707481261424952,-0.057227998575936856,-0.08591601579557429,-0.10935412857800586
capacity_5000000_part_1000bp_slip_10bp,20260520,0.016747630510328276,20260227,-0.022637427755261764,-0.08427652876046676,-0.11102301032524864,-0.1328115800618761
capacity_5000000_part_1000bp_slip_15bp,20260520,0.015819098602308145,20260227,-0.02356644623458029,-0.11053934290277811,-0.13543136202290929,-0.15564276281371203
capacity_5000000_part_1000bp_slip_20bp,20260520,0.014891492855552552,20260227,-0.024494538087817423,-0.1360395518873977,-0.15916076864225615,-0.17786462801840697
