scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days
capacity_100000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.01,5,True,True,True,True,True,0.0074214070829241585,0.00020891052491962096,0.44559585492227977,0.4827586206896552,-0.06415264976421053,1.0244974398028717,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.02962660201916083,20260306,-0.033683354669167366,-0.021566259936068866,-0.06691643710965789,-0.10400110125554862,465,114,1,0,0,20260225,20260320,18
capacity_100000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.01,10,True,True,True,True,True,-0.045112751896529524,-0.0007141507618059864,0.43350604490500866,0.41379310344827586,-0.07899589623455205,0.9211328155879448,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.028645311837033366,20260306,-0.03464114134899665,-0.07170407805761536,-0.112984764319629,-0.14657915002776045,465,114,1,0,0,20260225,20260320,18
capacity_100000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.01,15,True,True,True,True,True,-0.09490408003169581,-0.0016362906763425086,0.4214162348877375,0.3793103448275862,-0.11340820495927395,0.8294115242983396,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.027665001119406302,20260306,-0.0355979720190561,-0.11926949056121505,-0.1567755618364537,-0.18713099187683446,465,114,1,0,0,20260224,20260519,57
capacity_100000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.01,20,True,True,True,True,True,-0.14209597549417596,-0.0025575105975308575,0.41278065630397237,0.3793103448275862,-0.1581339665245659,0.7476586350074877,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.026685668400548073,20260306,-0.03655384810998564,-0.16439466244587364,-0.1984015943566364,-0.22575320404498034,465,114,1,0,0,20260224,20260519,57
capacity_100000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.03,5,True,True,True,True,True,0.03728084827662914,0.0007187246321556359,0.44559585492227977,0.5,-0.06374958611709725,1.0826174958551482,0.5334428792730082,580,58,10.0,0.9912193447006765,14,1,20260407,0.031135713578382095,20260306,-0.03399441258802827,0.005959578954860989,-0.041181282570997735,-0.08025185415088054,565,14,1,0,0,20260305,20260320,12
capacity_100000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.03,10,True,True,True,True,True,-0.02068418701849506,-0.0002729678900764128,0.43350604490500866,0.43103448275862066,-0.07823476023841602,0.9704858307193956,0.5334428792730082,580,58,10.0,0.9912193447006765,14,1,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.04930473479236486,-0.0920412783151473,-0.12729527804805463,565,14,1,0,0,20260225,20260320,18
capacity_100000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.03,15,True,True,True,True,True,-0.07540967574885338,-0.0012636705406562578,0.4214162348877375,0.39655172413793105,-0.09628674330909337,0.8711811976006268,0.5334428792730082,580,58,10.0,0.9912193447006765,14,1,20260407,0.02907503516478922,20260306,-0.035924936813598596,-0.1015326456704021,-0.14020309476525594,-0.1719321877099812,565,14,1,0,0,20260225,20260519,56
capacity_100000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.03,20,True,True,True,True,True,-0.12707671440426427,-0.002253384800925556,0.41278065630397237,0.3793103448275862,-0.14427743620315148,0.7829092052277514,0.5334428792730082,580,58,10.0,0.9912193447006765,14,1,20260407,0.02804623781028768,20260306,-0.0368887544417259,-0.1508910265991148,-0.18580991319333373,-0.21428572593720718,565,14,1,0,0,20260225,20260519,56
capacity_100000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.05,5,True,True,True,True,True,0.0409443271561607,0.0007795532466502331,0.44559585492227977,0.5,-0.06335228402906024,1.0895604016732365,0.5334428792730082,580,58,10.0,0.9963192672413793,4,1,20260407,0.031135713578382095,20260306,-0.03399441258802827,0.009512437061983903,-0.037794917030327446,-0.07700347844587752,575,4,1,0,0,20260305,20260320,12
capacity_100000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000,0.05,10,True,True,True,True,True,-0.01751644347265835,-0.00021729886301442267,0.43350604490500866,0.43103448275862066,-0.0772477922992062,0.9765211192695343,0.5334428792730082,580,58,10.0,0.9963192672413793,4,1,20260407,0.030104859907573923,20260306,-0.03496015667654036,-0.0462295686911961,-0.08910434995927163,-0.12447238402986438,575,4,1,0,0,20260225,20260320,18
